first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
David,Ospina,0,0,2,143,4,0,28.8,0,0,18,2.9,0,0,0,0.2
Petr,Cech,0,0,134,3097,37,0.1,819.8,0,2,660,82,12,0,2,13.7
Laurent,Koscielny,2,1,121,2821,37,53.9,831.2,239,19,723,112.7,10,1,4,11.2
Per,Mertesacker,0,0,1,38,1,0.1,17.8,0,0,5,1.8,0,0,0,0.2
Gabriel Armando,de Abreu,0,0,45,1517,18,84.5,295.8,119,2,296,50,5,0,6,0.8
Héctor,Bellerín,1,5,119,2503,34,508.3,437.6,395,12,569,133.8,10,0,4,13.9
Kieran,Gibbs,0,1,45,702,3,171.4,142.4,117,3,201,43.1,6,0,3,1.7
Mathieu,Debuchy,0,0,1,15,0,1.4,1,0,0,2,0.2,0,0,0,0.2
Carl,Jenkinson,0,0,2,82,1,2,19.4,0,0,12,2.1,0,0,0,0.1
Nacho,Monreal,0,3,115,3153,43,280.3,554,220,9,681,105.8,11,0,5,6.4
Calum,Chambers,2,1,83,2250,37,107,692.2,80,7,499,88,7,0,4,3.4
Alexis,Sánchez,24,11,264,3217,41,1278.3,1357.8,1896,32,834,453.4,13,0,6,29.7
Theo,Walcott,10,3,122,1916,26,280.5,541.8,1023,7,380,184.1,8,0,1,4.2
Mesut,Özil,8,11,167,2841,30,1649.3,834.4,734,19,729,322,12,0,2,7.5
Santiago,Cazorla,2,2,38,618,5,221.7,198.2,89,5,159,50.8,4,0,2,1.4
Aaron,Ramsey,1,4,56,1236,20,361.2,257.2,496,3,240,111.3,4,0,3,1.1
Jack,Wilshere,0,3,61,1950,45,544.4,308.4,321,2,312,116.8,5,0,4,0.5
Alex,Oxlade-Chamberlain,2,7,83,1564,22,519.9,435.4,416,3,393,137.5,4,0,1,1.4
Serge,Gnabry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis,Coquelin,0,1,52,1779,27,314.1,291.6,117,1,303,72.4,5,0,5,1.9
Alex,Iwobi,3,5,89,1456,20,467.8,326.4,592,8,352,138.7,9,0,1,1.1
Mohamed,Elneny,0,1,26,694,9,108.6,89,116,0,133,31.1,3,0,1,0.4
Joel,Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit,Xhaka,2,3,85,2483,32,626.2,488.8,193,7,506,130.8,10,2,5,3.2
Olivier,Giroud,12,5,116,1206,16,275.1,522.6,797,17,432,158.9,4,0,2,4.7
Danny,Welbeck,2,2,37,748,11,89.9,144.8,321,0,117,55.5,3,0,0,0.8
Yaya,Sanogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Takuma,Asano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur,Boruc,0,0,120,3150,63,10,815.4,0,7,657,82.4,9,0,2,6.2
Adam,Federici,0,0,8,180,3,0,34.4,0,1,37,3.5,1,0,1,0.1
Simon,Francis,0,1,89,2938,54,291.2,748.2,130,7,639,117.3,10,1,4,1.4
Steve,Cook,2,0,112,3420,67,66.2,1123,391,17,777,158.2,10,0,5,3.2
Charlie,Daniels,4,3,134,3060,53,528.3,698.2,302,14,692,152.9,10,0,1,9.9
Adam,Smith,1,5,104,3101,61,509.8,566.6,242,12,645,132.1,8,0,6,7
Tyrone,Mings,0,0,4,506,16,18.3,125.4,45,2,89,18.9,0,0,0,0
Nathan,Aké,3,1,55,834,20,55.5,373.2,147,8,267,57.5,3,0,1,6.1
Harry,Arter,1,4,84,2956,62,533,482,343,6,513,135.4,9,1,11,0.3
