name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Aaron_Cresswell,0,58,0,0,0,16,0,3,47,3.8,1,0,454,0,0,270,0,2,0,4.1,16089,18.8,0,2017-03-06T20:00:00Z,06 Mar 20:00,0,0,90,0,0,4,0,0,0,0,7,0,27,0,16427,0,1,0,2,1,18.0,1,-221,390,611,52,True,0,0
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,267,0,0,0,0.0,15728,0.0,0,2017-03-05T13:30:00Z,05 Mar 13:30,0,0,0,0,0,17,0,0,0,0,0,0,27,0,8563,0,0,0,2,3,0.0,0,-63,33,96,55,False,0,0
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,262,0,0,0,0.0,15601,0.0,0,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,0,0,0,9,0,0,0,0,0,0,27,0,39029,0,0,0,1,3,0.0,0,-92,56,148,76,False,0,0
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0.0,0,0,612,0,0,269,0,0,0,0.0,16258,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,19,0,0,0,0,0,0,27,0,144,0,0,0,2,0,0.0,0,4,9,5,45,False,0,0
Abdoulaye_Doucouré,0,2,0,0,0,21,0,0,1,0.0,0,0,482,0,0,268,0,0,1,6.6,16117,33.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,2,0,0,13,0,0,0,0,1,0,27,0,743,0,0,0,4,3,33.0,6,-7,5,12,46,True,0,0
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,270,0,0,0,0.0,15665,0.0,0,2017-03-06T20:00:00Z,06 Mar 20:00,0,0,0,0,0,20,0,0,0,0,0,0,27,0,1429,0,0,0,2,1,0.0,0,-3,6,9,55,False,0,0
Abel_Hernández,0,7,0,0,0,3,0,0,5,11.7,0,0,163,0,0,261,1,1,0,1.3,15749,1.2,1,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,23,0,0,8,0,0,0,0,1,0,27,0,38589,0,0,0,1,3,0.0,1,-659,823,1482,59,False,0,0
Adama_Diomande,0,6,0,0,0,1,0,0,5,0.8,0,0,164,0,0,261,0,1,0,0.4,15750,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,13,0,0,8,0,0,0,0,1,0,27,0,195454,2,0,0,1,3,4.0,1,-3021,5966,8987,45,False,0,0
Adama_Traoré,0,17,0,0,0,5,0,1,12,15.2,5,0,563,0,0,264,4,2,0,2.9,16205,11.8,1,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,1,1,14,0,0,0,0,5,0,27,0,8117,8,2,0,0,2,2.0,2,-545,180,725,48,False,0,0
Adam_Clayton,0,62,0,0,0,20,0,3,57,14.3,0,0,283,0,0,264,1,2,0,2.9,15894,14.8,1,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,0,0,14,0,0,0,0,12,0,27,0,46166,1,2,0,0,2,0.0,2,-911,1849,2760,43,False,0,0
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,263,0,0,0,0.0,15615,0.0,0,2017-03-04T12:30:00Z,04 Mar 12:30,0,0,0,0,0,11,0,0,0,0,0,0,27,0,4852,0,0,0,1,1,0.0,0,-90,15,105,44,False,0,0
Adam_Forshaw,0,0,0,0,0,0,0,0,0,0.0,0,0,286,0,0,264,0,0,0,0.0,15897,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,29985,0,0,0,0,2,0.0,0,-1059,1180,2239,45,False,0,0
Adam_Lallana,0,57,0,0,0,17,0,2,44,19.7,2,0,205,0,0,262,0,1,0,3.9,15792,8.8,1,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,90,1,0,1,0,0,0,0,8,0,27,0,645120,0,2,0,1,3,10.0,2,-47163,16461,63624,71,True,0,0
Adam_Matthews,0,0,0,0,0,0,0,0,0,0.0,0,0,345,0,0,265,0,0,0,0.0,15979,0.0,0,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,0,0,0,10,0,0,0,0,0,0,27,0,1001,0,0,0,2,0,0.0,0,-7,3,10,40,True,0,0
Adam_Reach,0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,264,0,0,0,0.0,15896,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,1016,0,0,0,0,2,0.0,0,-3,2,5,44,False,0,0
Adam_Smith,0,16,0,0,0,5,0,6,13,0.6,2,0,34,0,0,263,3,1,0,0.8,15619,7.8,0,2017-03-04T12:30:00Z,04 Mar 12:30,0,0,90,0,0,11,0,1,0,0,6,0,27,0,280804,2,0,0,1,1,0.0,2,-5501,3623,9124,45,False,0,0
Ademola_Lookman,0,0,0,0,0,0,0,0,0,0.0,0,0,627,0,0,267,0,0,0,0.0,16274,0.0,0,2017-03-05T13:30:00Z,05 Mar 13:30,0,0,0,0,0,17,0,0,0,0,0,0,27,0,5614,0,0,0,2,3,0.0,0,-444,501,945,54,False,0,0
Adlène_Guédioura,0,6,0,0,0,1,0,0,5,0.5,0,0,415,0,0,264,0,0,0,0.2,16049,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,16,0,0,14,0,0,0,0,2,0,27,0,3652,1,0,1,0,2,3.0,1,36,110,74,43,False,0,0
Adnan_Januzaj,0,20,0,0,0,9,0,3,13,43.3,4,0,261,0,0,265,1,2,0,5.9,15872,10.0,3,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,81,1,0,10,0,0,0,0,4,0,27,0,22849,3,0,1,2,0,6.0,2,-145,282,427,53,True,0,0
Adrian_Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,556,0,0,268,0,0,0,0.0,16197,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,13,0,0,0,0,0,0,27,0,11400,0,0,0,4,3,0.0,0,-113,60,173,40,True,0,0
Adrián_San Miguel del Castillo,0,0,0,0,0,0,0,0,0,0.0,0,0,450,0,0,270,0,0,0,0.0,16085,0.0,0,2017-03-06T20:00:00Z,06 Mar 20:00,0,0,0,0,0,4,0,0,0,0,0,0,27,0,74586,0,0,0,2,1,0.0,0,-497,32,529,46,True,0,0
Ahmed_Elmohamady,0,47,0,0,0,18,0,12,38,13.8,0,0,158,0,0,261,2,3,0,4.2,15744,25.8,1,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,0,0,8,0,0,0,0,4,0,27,0,9108,0,1,0,1,3,2.0,2,66,154,88,46,False,0,0
Ahmed_Musa,0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,261,0,0,0,0.0,15773,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,7,0,0,0,0,0,0,27,0,136848,0,0,0,1,3,0.0,0,-442,163,605,69,True,0,0
Aiden_O'Neill,0,0,0,0,0,0,0,0,0,0.0,0,0,531,0,0,266,0,0,0,0.0,16170,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,16,0,0,0,0,0,0,27,0,1306,0,0,0,2,3,0.0,0,-25,5,30,43,False,0,0
Ainsley_Maitland-Niles,0,0,0,0,0,0,0,0,0,0.0,0,0,593,0,0,262,0,0,0,0.0,16237,0.0,0,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,0,0,0,9,0,0,0,0,0,0,27,0,183,0,0,0,1,3,0.0,0,2,8,6,45,False,0,0
Alberto_Moreno,0,0,0,0,0,0,0,0,0,0.0,0,0,192,0,0,262,0,0,0,0.0,15778,0.0,0,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,0,0,0,1,0,0,0,0,0,0,27,0,65752,0,0,0,1,3,0.0,0,-202,157,359,44,True,0,0
Albert_Adomah,0,0,0,0,0,0,0,0,0,0.0,0,0,281,0,0,264,0,0,0,0.0,15892,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,1334,0,0,0,0,2,0.0,0,-2,5,7,54,False,0,0
Aleix_García Serrano,0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,265,0,0,0,0.0,16221,0.0,0,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,0,0,0,15,0,0,0,0,0,0,27,0,702,0,0,0,2,0,0.0,0,13,27,14,50,False,0,0
Aleix_García Serrano,0,0,0,0,0,0,0,0,0,0.0,0,0,578,0,0,277,0,0,0,0.0,16222,0.0,0,2017-03-08T20:00:00Z,08 Mar 20:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,702,0,0,0,0,0,0.0,0,13,27,14,50,True,0,0
Aleksandar_Kolarov,0,96,0,0,3,43,1,8,85,11.5,4,0,220,0,0,265,0,0,0,5.2,15809,40.4,1,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,90,0,0,15,0,0,0,0,12,0,27,0,145817,0,4,0,2,0,0.0,9,9747,14048,4301,58,False,0,0
Aleksandar_Kolarov,0,95,0,0,0,28,1,9,87,3.1,0,0,220,0,0,277,1,0,0,3.4,15810,21.0,0,2017-03-08T20:00:00Z,08 Mar 20:00,0,0,90,0,0,14,0,0,0,0,8,0,27,0,145817,0,0,1,0,0,10.0,6,9747,14048,4301,58,True,0,0
Alexander_Manninger,0,0,0,0,0,0,0,0,0,0.0,0,0,524,0,0,262,0,0,0,0.0,16162,0.0,0,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,0,0,0,1,0,0,0,0,0,0,27,0,15854,0,0,0,1,3,0.0,0,-13,95,108,40,True,0,0
Alexis_Sánchez,1,21,1,0,0,13,0,0,14,16.3,0,0,12,0,0,262,1,1,0,5.4,15597,17.4,1,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,45,0,0,9,0,0,0,0,1,0,27,0,1249393,2,0,0,1,3,20.0,4,-61086,29608,90694,116,False,0,0
Alex_Baptiste,0,0,0,0,0,0,0,0,0,0.0,0,0,522,0,0,264,0,0,0,0.0,16160,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,27,0,2557,0,0,0,0,2,0.0,0,-8,7,15,40,False,0,0
Alex_Bruce,0,0,0,0,0,0,0,0,0,0.0,0,0,154,0,0,261,0,0,0,0.0,15740,0.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,0,0,0,8,0,0,0,0,0,0,27,0,5427,0,0,0,1,3,0.0,0,-68,28,96,40,False,0,0
