assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,26,0,0,0,5,0,2,22,4.9,1,0,16,0,0,8,0,3,0,3.0,16,2.2,0,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,60,0,0,9,0,0,0,0,2,0,1,0,163170,2,0,1,4,3,23.0,2,0,0,0,80,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,13,0,0,0,0.0,541,0.0,0,2016-08-20T16:30:00Z,20 Aug 17:30,0,0,0,0,0,8,0,0,0,0,0,0,2,0,96836,0,0,0,0,0,0.0,0,-74173,1610,75783,79,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,28,0,0,0,0.0,1081,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,3,0,61959,0,0,0,3,1,0.0,0,-35326,148,35474,78,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,31,0,0,0,0.0,1631,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,13,0,0,0,0,0,0,4,0,51872,0,0,0,1,2,0.0,0,-10374,159,10533,78,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,43,0,0,0,0.0,2212,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,5,0,48310,0,0,0,4,1,0.0,0,-3690,73,3763,78,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,51,0,0,0,0.0,2796,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,4,0,0,0,0,0,0,6,0,44419,0,0,0,0,3,0.0,0,-3950,64,4014,77,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,61,0,0,0,0.0,3382,0.0,0,2016-10-02T15:30:00Z,02 Oct 16:30,0,0,0,0,0,3,0,0,0,0,0,0,7,0,41937,0,0,0,1,0,0.0,0,-2546,32,2578,77,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,71,0,0,0,0.0,3971,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,8,0,40481,0,0,0,2,3,0.0,0,-1519,49,1568,77,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,81,0,0,0,0.0,4563,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,9,0,39727,0,0,0,0,0,0.0,0,-793,47,840,77,True,0,0
1,20,1,0,0,13,0,0,20,21.8,0,0,16,0,0,97,1,0,0,4.8,5157,16.0,2,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,14,0,0,15,0,0,0,0,0,0,10,0,39726,1,0,2,4,1,10.0,4,-89,396,485,76,False,0,0
0,17,0,0,0,2,0,2,14,2.4,0,0,16,0,0,101,0,0,0,0.5,5755,0.0,0,2016-11-06T12:00:00Z,06 Nov 12:00,0,0,26,0,0,17,0,0,0,0,2,0,11,0,42014,0,0,2,1,1,4.0,1,1987,2418,431,76,True,0,0
0,48,0,0,0,-1,0,1,40,8.8,0,0,16,0,0,113,3,1,0,1.1,6354,0.4,0,2016-11-19T12:30:00Z,19 Nov 12:30,0,0,90,0,0,11,0,0,0,0,5,0,12,0,42010,6,0,0,1,1,2.0,1,-261,807,1068,76,False,0,1
0,13,1,0,0,7,0,1,11,21.6,0,0,16,0,0,121,0,0,0,5.1,6955,3.0,2,2016-11-27T14:15:00Z,27 Nov 14:15,0,0,16,0,0,2,0,0,0,0,0,0,13,0,42872,0,0,1,1,3,26.0,1,669,1203,534,76,True,0,0
0,19,1,2,0,0,0,0,18,12.5,1,0,16,0,0,140,0,1,0,5.9,7559,8.8,1,2016-12-03T17:30:00Z,03 Dec 17:30,0,0,25,0,0,20,0,0,0,0,2,0,14,0,42755,1,0,1,5,1,38.0,1,-269,733,1002,76,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,141,0,0,0,0.0,8164,0.0,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,0,0,0,14,0,0,0,0,0,0,15,0,42097,0,0,0,1,3,0.0,0,-827,401,1228,76,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,156,0,0,0,0.0,8774,0.0,0,2016-12-13T19:45:00Z,13 Dec 19:45,0,0,0,0,0,6,0,0,0,0,0,0,16,0,40594,0,0,0,1,2,0.0,0,-1542,61,1603,76,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,164,0,0,0,0.0,9388,0.0,0,2016-12-18T16:00:00Z,18 Dec 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,39663,0,0,0,1,2,0.0,0,-961,22,983,76,False,0,0
0,31,0,0,0,10,0,0,30,23.0,0,0,16,0,0,171,0,0,0,5.5,10004,10.8,2,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,17,0,0,19,0,0,0,0,5,0,18,0,39169,1,1,0,0,1,21.0,0,-577,75,652,76,True,0,1
0,21,0,0,0,4,0,0,19,2.7,0,0,16,0,0,181,0,0,0,0.8,10622,1.4,0,2017-01-01T16:00:00Z,01 Jan 16:00,0,0,19,0,0,5,0,0,0,0,2,0,19,0,39611,0,1,1,0,2,4.0,1,280,478,198,76,True,0,0
0,79,0,0,0,12,0,3,74,7.8,3,0,16,0,0,191,1,3,0,5.2,11244,7.2,0,2017-01-03T19:45:00Z,03 Jan 19:45,0,0,90,1,0,2,0,0,0,0,10,0,20,0,39688,2,1,2,3,3,37.0,1,-26,321,347,76,False,0,1
0,69,0,1,0,7,1,1,59,18.4,1,0,16,0,0,207,2,0,0,5.3,11868,11.6,1,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,90,0,0,16,0,0,0,0,4,0,21,0,42005,1,0,0,4,0,23.0,3,1992,2883,891,76,False,0,0
0,79,0,0,0,17,0,1,72,31.3,5,0,16,0,0,211,0,1,0,10.8,12499,17.2,2,2017-01-22T14:15:00Z,22 Jan 14:15,0,0,90,0,1,3,0,0,0,0,7,0,22,0,42207,4,0,1,1,2,59.0,2,1,806,805,76,True,0,0
0,14,0,0,0,2,0,1,12,0.1,0,0,16,0,0,221,0,2,0,0.0,13133,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,19,0,0,18,0,0,0,0,1,0,23,0,42044,0,0,1,2,1,1.0,1,-372,589,961,76,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,231,0,0,0,0.0,13776,0.0,0,2017-02-04T12:30:00Z,04 Feb 12:30,0,0,0,0,0,4,0,0,0,0,0,0,24,0,40050,0,0,0,1,3,0.0,0,-2035,30,2065,76,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,241,0,0,0,0.0,14425,0.0,0,2017-02-11T12:30:00Z,11 Feb 12:30,0,0,0,0,0,7,0,0,0,0,0,0,25,0,39311,0,0,0,0,2,0.0,0,-826,49,875,76,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,262,0,0,0,0.0,15601,0.0,0,2017-03-04T17:30:00Z,04 Mar 17:30,0,0,0,0,0,9,0,0,0,0,0,0,27,0,39029,0,0,0,1,3,0.0,0,-92,56,148,76,False,0,0
0,90,0,0,0,10,0,4,79,22.3,1,0,16,0,0,289,1,3,0,7.5,16572,17.0,1,2017-03-18T12:30:00Z,18 Mar 12:30,0,0,90,0,1,19,0,0,0,0,2,0,29,0,39265,2,0,2,1,3,36.0,2,130,184,54,76,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,16,0,0,291,0,0,0,0.0,17226,0.0,0,2017-04-02T15:00:00Z,02 Apr 16:00,0,0,0,0,0,10,0,0,0,0,0,0,30,0,39430,0,0,0,2,2,0.0,0,20,123,103,76,True,0,0
0,11,0,0,0,3,0,0,10,0.8,0,0,16,0,0,301,0,0,0,1.0,17883,1.0,0,2017-04-05T18:45:00Z,05 Apr 19:45,0,0,10,0,0,20,0,0,0,0,1,0,31,0,39321,0,0,0,0,3,8.0,1,-132,32,164,76,True,0,0
0,26,0,0,0,3,0,1,24,13.3,1,0,16,0,0,312,1,2,0,2.1,18544,5.2,1,2017-04-10T19:00:00Z,10 Apr 20:00,0,0,32,0,0,5,0,0,0,0,2,0,32,0,39302,1,0,0,0,3,2.0,1,-48,32,80,76,False,0,0
1,67,0,0,0,26,0,4,61,27.6,0,0,16,0,0,324,2,1,0,7.1,19206,23.6,2,2017-04-17T19:00:00Z,17 Apr 20:00,0,0,90,0,0,12,0,0,0,0,11,0,33,0,39346,2,1,0,2,1,20.0,5,-59,45,104,76,False,0,0
0,14,0,0,0,4,0,0,13,12.5,0,0,16,0,0,271,0,0,0,1.8,19870,3.2,1,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,16,0,0,8,0,0,0,0,1,0,34,0,39600,0,0,0,0,1,2.0,1,122,207,85,76,True,0,0
0,39,0,0,0,9,0,2,31,28.0,1,0,16,0,0,348,1,2,0,6.6,20609,10.2,2,2017-04-30T15:30:00Z,30 Apr 16:30,0,0,90,1,1,17,0,0,0,0,7,0,35,0,39919,3,0,1,0,2,28.0,2,172,268,96,76,False,0,0
0,60,0,1,0,12,1,1,53,20.3,2,0,16,0,0,351,0,0,0,6.1,21292,13.8,1,2017-05-07T15:00:00Z,07 May 16:00,0,0,90,0,0,11,0,0,0,0,6,0,36,0,43160,2,1,0,0,2,27.0,3,3154,3402,248,76,True,0,0
1,55,1,0,0,24,1,2,48,17.3,0,0,16,0,0,257,2,0,0,6.8,21291,21.6,1,2017-05-10T18:45:00Z,10 May 19:45,0,0,90,0,0,13,0,0,0,0,6,0,36,0,43160,0,1,2,2,0,29.0,6,3154,3402,248,76,False,0,0
