assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,6,0,0,0,0.0,285,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,1,0,2522,0,0,0,1,1,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,19,0,0,0,0.0,810,0.0,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,0,0,0,15,0,0,0,0,0,0,2,0,2413,0,0,0,2,1,0.0,0,-246,26,272,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,30,0,0,0,0.0,1350,0.0,0,2016-08-28T12:30:00Z,28 Aug 13:30,0,0,0,0,0,19,0,0,0,0,0,0,3,0,2272,0,0,0,0,0,0.0,0,-220,107,327,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,36,0,0,0,0.0,1900,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,5,0,0,0,0,0,0,4,0,2006,0,0,0,2,1,0.0,0,-368,290,658,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,42,0,0,0,0.0,2481,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,0,0,0,6,0,0,0,0,0,0,5,0,1769,0,0,0,1,3,0.0,0,-240,9,249,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,55,0,0,0,0.0,3065,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,17,0,0,0,0,0,0,6,0,1558,0,0,0,2,1,0.0,0,-215,7,222,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,70,0,0,0,0.0,3651,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,7,0,1472,0,0,0,1,1,0.0,0,-88,10,98,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,77,0,0,0,0.0,4240,0.0,0,2016-10-16T12:30:00Z,16 Oct 13:30,0,0,0,0,0,18,0,0,0,0,0,0,8,0,1396,0,0,0,1,0,0.0,0,-77,4,81,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,81,0,0,0,0.0,4832,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1322,0,0,0,0,0,0.0,0,-74,1,75,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,94,0,0,0,0.0,5426,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,2,0,0,0,0,0,0,10,0,1277,0,0,0,0,2,0.0,0,-45,2,47,44,True,0,0
