assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,39,0,0,0,0.0,2173,0.0,0,2016-09-11T15:00:00Z,11 Sep 16:00,0,0,0,0,0,4,0,0,0,0,0,0,4,0,174,0,0,0,2,2,0.0,0,130,164,34,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,48,0,0,0,0.0,2754,0.0,0,2016-09-18T13:15:00Z,18 Sep 14:15,0,0,0,0,0,13,0,0,0,0,0,0,5,0,228,0,0,0,0,1,0.0,0,7,27,20,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,58,0,0,0,0.0,3338,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,10,0,0,0,0,0,0,6,0,261,0,0,0,3,1,0.0,0,-10,18,28,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,67,0,0,0,0.0,3924,0.0,0,2016-10-01T11:30:00Z,01 Oct 12:30,0,0,0,0,0,9,0,0,0,0,0,0,7,0,285,0,0,0,2,1,0.0,0,-8,21,29,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,71,0,0,0,0.0,4513,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,1,0,0,0,0,0,0,8,0,330,0,0,0,2,3,0.0,0,-8,23,31,45,False,0,0
0,50,0,0,1,30,1,10,43,0.5,2,0,558,0,0,89,1,0,0,1.9,5105,18.8,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,18,0,0,0,0,8,0,9,0,363,0,0,0,0,0,0.0,7,1,27,26,45,True,0,0
0,65,0,0,0,19,0,14,55,0.3,1,0,558,0,0,96,0,3,0,3.2,5699,31.2,0,2016-10-31T20:00:00Z,31 Oct 20:00,0,0,90,0,0,14,1,0,0,0,9,0,10,0,762,0,2,0,1,3,0.0,-1,324,349,25,45,False,0,0
0,67,0,0,0,18,0,6,54,0.7,2,0,558,0,0,109,0,3,0,2.3,6297,18.6,0,2016-11-06T15:00:00Z,06 Nov 15:00,0,0,90,0,0,11,0,0,0,0,10,0,11,0,853,0,0,0,3,1,4.0,1,56,117,61,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,112,0,0,0,0.0,6896,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,6,0,0,0,0,0,0,12,0,909,0,0,0,1,1,0.0,0,2,57,55,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,129,0,0,0,0.0,7497,0.0,0,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,0,0,0,5,0,0,0,0,0,0,13,0,890,0,0,0,4,5,0.0,0,-46,20,66,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,558,0,0,138,0,0,0,0.0,8101,0.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,0,0,0,17,0,0,0,0,0,0,14,0,819,0,0,0,0,5,0.0,0,-82,8,90,45,False,0,0
0,35,0,0,0,27,1,10,31,0.3,0,0,558,0,0,147,0,0,0,2.9,8706,24.6,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,90,0,0,15,0,0,0,0,5,0,15,0,801,0,0,1,0,3,4.0,6,-46,11,57,45,True,0,0
0,62,0,0,0,12,0,6,48,0.5,0,0,558,0,0,153,0,3,0,6.2,9316,24.2,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,90,0,0,19,0,0,0,0,4,0,16,0,882,0,0,0,1,3,37.0,1,64,79,15,45,False,0,0
0,67,0,0,0,16,0,5,54,1.1,0,0,558,0,0,165,0,3,0,2.8,9930,17.2,0,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,90,0,0,12,0,0,0,0,9,0,17,0,885,0,1,1,0,3,10.0,1,-5,29,34,45,False,0,0
0,67,0,0,0,14,0,5,55,10.6,1,0,558,0,0,179,0,4,0,3.5,10546,14.2,1,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,90,0,0,20,0,0,0,0,6,0,18,0,890,1,0,1,4,1,10.0,0,-9,40,49,45,True,0,0
0,37,0,0,0,12,0,2,30,0.3,0,0,558,0,0,189,1,3,0,0.8,11164,8.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,90,0,0,2,0,0,0,0,4,0,19,0,879,1,1,0,3,0,0.0,1,-21,34,55,45,True,0,0
0,47,1,0,3,31,0,10,36,13.2,0,0,558,0,0,192,1,1,1,9.1,11786,60.6,1,2017-01-03T20:00:00Z,03 Jan 20:00,0,0,90,0,0,5,0,0,0,0,5,0,20,0,857,0,1,0,2,1,17.0,11,-29,26,55,45,False,0,0
0,52,0,0,0,22,0,11,45,0.3,1,0,558,0,0,207,0,4,0,3.6,12410,33.4,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,90,0,0,1,0,0,0,0,10,0,21,0,2160,1,2,0,4,0,2.0,0,1127,1507,380,45,True,0,0
0,21,0,0,0,15,0,12,16,0.3,0,0,558,0,0,215,0,2,0,3.7,13041,26.6,0,2017-01-21T12:30:00Z,21 Jan 12:30,0,0,90,0,0,9,0,0,0,0,1,0,22,0,2084,0,2,1,3,2,10.0,1,-111,122,233,45,False,0,0
0,45,0,0,0,30,0,10,39,0.3,0,0,558,0,0,226,0,1,1,9.6,13675,60.4,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,90,0,0,13,0,0,0,0,4,0,23,0,2593,0,1,0,1,2,35.0,8,428,620,192,45,True,0,0
0,32,0,0,0,18,0,4,27,0.3,1,0,558,0,0,236,0,2,0,2.5,14318,15.8,0,2017-02-05T13:30:00Z,05 Feb 13:30,0,0,90,0,0,10,0,0,0,0,2,0,24,0,4883,0,3,1,1,2,9.0,1,2165,2468,303,45,False,0,0
0,47,0,0,3,47,1,13,41,0.0,1,0,558,0,0,249,1,0,1,8.7,14967,67.8,0,2017-02-12T16:00:00Z,12 Feb 16:00,0,0,90,0,0,8,0,0,0,0,8,0,25,0,11501,0,1,0,0,2,19.0,15,6448,6902,454,45,True,1,0
