assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,10,0,0,0,0,0,0,7,1.8,0,0,353,0,0,5,2,1,0,0.5,353,0.0,0,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,63,0,0,10,0,0,0,0,4,0,1,0,4055,4,0,1,1,2,7.0,2,0,0,0,50,False,0,0
1,24,0,0,0,15,0,0,15,16.7,5,0,353,0,0,19,0,2,0,4.4,878,14.0,1,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,80,1,1,12,0,0,0,0,1,0,2,0,4541,8,1,0,2,1,13.0,5,146,431,285,50,True,0,0
0,5,0,0,0,7,0,1,3,10.6,2,0,353,0,0,26,0,1,0,2.6,1418,7.2,1,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,27,0,0,13,0,0,0,0,3,0,3,0,7452,2,1,0,1,1,8.0,1,2212,2982,770,50,False,0,0
0,11,0,0,0,-1,0,0,6,0.9,2,0,353,0,0,40,3,3,0,2.3,1968,0.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,72,0,0,6,0,0,0,0,4,0,4,0,6826,4,0,0,3,0,24.0,1,-832,710,1542,50,True,0,1
0,5,0,0,0,6,0,0,3,0.1,2,0,353,0,0,49,0,0,0,1.1,2549,3.0,0,2016-09-18T15:30:00Z,18 Sep 16:30,0,0,28,0,0,17,0,0,0,0,2,0,5,0,6086,0,1,1,0,1,8.0,1,-782,150,932,50,False,0,0
0,18,0,0,0,1,0,3,14,4.0,0,0,353,0,0,57,1,3,0,3.3,3133,4.6,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,76,0,0,5,0,0,0,0,5,0,6,0,5265,6,0,0,3,2,24.0,2,-871,210,1081,50,True,0,0
1,18,2,0,0,19,0,1,14,25.3,2,0,353,0,0,66,1,1,0,5.4,3719,22.6,2,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,90,0,0,19,0,0,0,0,1,0,7,0,4995,5,0,0,1,1,6.0,5,-303,196,499,50,True,0,0
0,15,0,0,0,4,0,0,11,13.8,4,0,353,0,0,79,0,2,0,2.9,4308,6.4,1,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,0,0,14,0,0,0,0,5,0,8,0,5198,9,1,1,0,2,9.0,2,115,476,361,50,False,0,0
0,18,0,0,0,11,1,2,14,16.1,1,0,353,0,0,90,0,0,0,3.9,4900,16.4,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,74,0,1,20,0,0,0,0,3,0,9,0,4809,2,1,0,0,1,6.0,3,-422,79,501,50,False,0,0
1,14,0,0,0,15,0,0,10,2.5,0,0,353,0,0,97,0,4,0,0.6,5494,0.0,0,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,83,1,0,1,0,0,0,0,4,0,10,0,4620,2,1,0,4,1,4.0,5,-232,152,384,49,True,0,0
0,12,0,0,0,3,0,3,8,2.5,1,0,353,0,0,102,1,1,0,3.7,6092,5.4,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,90,2,0,2,0,0,0,0,7,0,11,0,5360,6,1,0,2,1,29.0,2,595,980,385,49,False,0,0
1,16,0,0,0,15,1,2,10,12.1,1,0,353,0,0,117,2,0,0,6.6,6691,21.2,1,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,90,0,0,7,0,0,0,0,3,0,12,0,6572,2,0,0,0,3,33.0,6,1058,1471,413,49,True,0,0
0,8,0,0,0,7,0,2,5,11.0,0,0,353,0,0,126,0,1,0,3.0,7292,7.2,1,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,78,0,0,9,0,0,0,0,3,0,13,0,7870,4,1,0,0,2,12.0,2,1162,1658,496,49,False,0,0
1,18,0,0,1,23,0,1,8,42.3,6,0,353,0,0,137,0,1,0,11.1,7896,10.6,3,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,84,0,2,8,0,0,0,0,5,0,14,0,9907,2,0,2,1,2,58.0,6,1904,2419,515,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,147,0,0,0,0.0,8501,0.0,0,2016-12-10T15:00:00Z,10 Dec 15:00,0,0,0,0,0,16,0,0,0,0,0,0,15,0,7771,0,0,0,0,3,0.0,0,-2240,778,3018,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,152,0,0,0,0.0,9111,0.0,0,2016-12-14T19:45:00Z,14 Dec 19:45,0,0,0,0,0,4,0,0,0,0,0,0,16,0,6311,0,0,0,1,0,0.0,0,-1490,92,1582,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,167,0,0,0,0.0,9725,0.0,0,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,17,0,5347,0,0,0,0,1,0.0,0,-976,59,1035,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,177,0,0,0,0.0,10341,0.0,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,11,0,0,0,0,0,0,18,0,4583,0,0,0,1,3,0.0,0,-775,28,803,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,182,0,0,0,0.0,10959,0.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,19,0,4278,0,0,0,1,4,0.0,0,-309,31,340,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,197,0,0,0,0.0,11581,0.0,0,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,0,0,0,9,0,0,0,0,0,0,20,0,4027,0,0,0,2,2,0.0,0,-254,8,262,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,206,0,0,0,0.0,12205,0.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,0,0,0,14,0,0,0,0,0,0,21,0,3651,0,0,0,3,1,0.0,0,-378,22,400,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,220,0,0,0,0.0,12836,0.0,0,2017-01-21T15:00:00Z,21 Jan 15:00,0,0,0,0,0,19,0,0,0,0,0,0,22,0,3471,0,0,0,0,2,0.0,0,-185,7,192,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,225,0,0,0,0.0,13470,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,17,0,0,0,0,0,0,23,0,3387,0,0,0,0,0,0.0,0,-89,14,103,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,232,0,0,0,0.0,14113,0.0,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,0,0,0,5,0,0,0,0,0,0,24,0,3317,0,0,0,4,0,0.0,0,-71,3,74,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,248,0,0,0,0.0,14762,0.0,0,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,0,0,0,13,0,0,0,0,0,0,25,0,3232,0,0,0,4,0,0.0,0,-86,9,95,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,253,0,0,0,0.0,15313,0.0,0,2017-02-25T15:00:00Z,25 Feb 15:00,0,0,0,0,0,6,0,0,0,0,0,0,26,0,3175,0,0,0,0,2,0.0,0,-57,5,62,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,265,0,0,0,0.0,15987,0.0,0,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,0,0,0,10,0,0,0,0,0,0,27,0,3133,0,0,0,2,0,0.0,0,-42,3,45,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,287,0,0,0,0.0,16909,0.0,0,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,29,0,3077,0,0,0,0,0,0.0,0,-26,2,28,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,300,0,0,0,0.0,17563,0.0,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,30,0,3051,0,0,0,0,1,0.0,0,-26,5,31,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,304,0,0,0,0.0,18220,0.0,0,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,0,0,0,8,0,0,0,0,0,0,31,0,3041,0,0,0,0,2,0.0,0,-10,0,10,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,317,0,0,0,0.0,18881,0.0,0,2017-04-09T12:30:00Z,09 Apr 13:30,0,0,0,0,0,11,0,0,0,0,0,0,32,0,3029,0,0,0,3,0,0.0,0,-12,4,16,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,327,0,0,0,0.0,19543,0.0,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,0,0,0,20,0,0,0,0,0,0,33,0,3001,0,0,0,2,2,0.0,0,-28,2,30,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,353,0,0,278,0,0,0,0.0,20280,0.0,0,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,0,0,0,12,0,0,0,0,0,0,34,0,2996,0,0,0,0,1,0.0,0,-5,2,7,47,False,0,0
