assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,642,0,0,236,0,0,0,0.0,14402,0.0,0,2017-02-05T13:30:00Z,05 Feb 13:30,0,0,0,0,0,10,0,0,0,0,0,0,24,0,578,0,0,0,1,2,0.0,0,502,596,94,50,False,0,0
0,3,0,0,0,0,0,1,2,1.5,0,0,642,0,0,249,1,0,0,0.2,15051,0.0,0,2017-02-12T16:00:00Z,12 Feb 16:00,0,0,19,0,0,8,0,0,0,0,0,0,25,0,1522,2,0,0,0,2,0.0,1,766,973,207,50,True,0,0
0,9,0,0,0,3,0,0,9,4.0,0,0,642,0,0,251,0,1,0,0.4,15578,0.2,0,2017-02-25T15:00:00Z,25 Feb 15:00,0,0,15,0,0,4,0,0,0,0,1,0,26,0,2639,0,0,0,1,3,0.0,1,755,1072,317,50,False,0,0
0,11,0,0,0,3,0,0,10,1.3,3,0,642,0,0,266,0,0,0,1.6,16290,6.0,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,18,0,0,3,0,0,0,0,3,0,27,0,3403,4,0,0,2,3,9.0,1,602,1086,484,50,True,0,0
0,10,0,0,0,-1,0,0,6,1.1,0,0,642,0,0,276,0,2,0,2.0,16551,0.0,0,2017-03-11T15:00:00Z,11 Mar 15:00,0,0,46,0,0,7,0,0,0,0,2,0,28,0,3882,3,0,1,1,2,22.0,1,319,843,524,50,False,0,0
0,23,0,0,0,2,0,0,19,3.0,3,0,642,0,0,281,3,1,0,0.5,17198,0.0,0,2017-03-18T17:30:00Z,18 Mar 17:30,0,0,55,0,0,2,0,0,0,0,3,0,29,0,4038,2,0,0,0,2,2.0,1,26,607,581,50,False,0,0
0,17,0,0,0,0,1,1,13,1.7,0,0,642,0,0,299,2,0,0,2.7,17852,0.0,0,2017-04-02T12:30:00Z,02 Apr 13:30,0,0,90,1,0,12,0,0,0,0,2,0,30,0,4481,2,0,1,0,0,26.0,2,231,781,550,50,True,0,0
1,16,1,0,0,8,1,0,9,12.6,4,0,642,0,0,306,3,0,0,4.6,18509,17.2,1,2017-04-05T18:45:00Z,05 Apr 19:45,0,0,74,1,0,17,0,0,0,0,2,0,31,0,5143,10,1,0,3,1,16.0,4,597,976,379,50,True,0,1
0,23,0,0,0,9,0,2,21,13.0,7,0,642,0,0,320,3,1,0,3.3,19170,9.8,0,2017-04-08T14:00:00Z,08 Apr 15:00,0,0,90,0,2,20,0,0,0,0,6,0,32,0,7754,6,0,0,0,1,10.0,2,2496,2980,484,50,False,0,0
0,3,0,0,0,2,0,0,3,4.8,0,0,642,0,0,329,0,0,0,1.1,19832,2.2,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,10,0,1,18,0,0,0,0,1,0,33,0,8976,2,0,0,0,1,4.0,1,1020,2111,1091,50,False,0,0
1,16,0,0,0,17,1,0,13,18.9,2,0,642,0,0,339,0,0,0,8.4,20564,29.2,1,2017-04-22T14:00:00Z,22 Apr 15:00,0,0,90,1,1,14,0,0,0,0,0,0,34,0,8121,5,2,0,0,2,36.0,5,-1027,1133,2160,50,True,0,0
1,34,0,0,0,17,0,2,28,15.3,1,0,642,0,0,343,2,1,0,6.0,21235,5.6,1,2017-04-30T11:00:00Z,30 Apr 12:00,0,0,90,2,0,11,0,0,0,0,5,0,35,0,9589,4,1,0,1,1,39.0,5,1297,2278,981,50,False,0,0
1,13,1,0,0,22,1,2,11,24.9,1,0,642,0,0,359,1,0,0,5.5,21966,26.2,2,2017-05-06T16:30:00Z,06 May 17:30,0,0,90,0,1,6,0,0,0,0,4,0,36,0,15256,4,2,1,0,1,4.0,5,5492,6587,1095,50,True,0,0
0,23,0,0,0,4,1,3,22,4.4,0,0,642,0,0,367,2,0,0,1.9,22958,6.4,0,2017-05-13T14:00:00Z,13 May 15:00,0,0,90,1,0,15,0,0,0,0,4,0,37,0,22376,7,3,0,2,0,8.0,2,6959,8550,1591,50,False,0,0
0,38,0,0,2,36,0,1,36,16.0,1,0,642,0,0,379,1,1,1,9.7,23647,38.2,1,2017-05-21T14:00:00Z,21 May 15:00,0,0,90,0,0,19,0,0,0,0,4,0,38,0,29004,3,1,1,1,2,43.0,8,6436,9021,2585,50,True,0,0
