assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,10,0,0,0,0.0,85,0.0,0,2016-08-15T19:00:00Z,15 Aug 20:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,72946,0,0,0,1,2,0.0,0,0,0,0,70,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,17,0,0,0,0.0,610,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,2,0,63148,0,0,0,2,1,0.0,0,-12796,302,13098,70,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,21,0,0,0,0.0,1150,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,3,0,0,0,0,0,0,3,0,51806,0,0,0,0,3,0.0,0,-12329,201,12530,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,39,0,0,0,0.0,1700,0.0,0,2016-09-11T15:00:00Z,11 Sep 16:00,0,0,0,0,0,16,0,0,0,0,0,0,4,0,39675,0,0,0,2,2,0.0,0,-12556,78,12634,69,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,41,0,0,0,0.0,2281,0.0,0,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,0,0,0,9,0,0,0,0,0,0,5,0,34646,0,0,0,2,1,0.0,0,-5146,12,5158,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,51,0,0,0,0.0,2865,0.0,0,2016-09-24T16:30:00Z,24 Sep 17:30,0,0,0,0,0,1,0,0,0,0,0,0,6,0,31615,0,0,0,0,3,0.0,0,-3153,8,3161,69,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,63,0,0,0,0.0,3451,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,7,0,30144,0,0,0,2,0,0.0,0,-1551,7,1558,69,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,73,0,0,0,0.0,4040,0.0,0,2016-10-15T11:30:00Z,15 Oct 12:30,0,0,0,0,0,8,0,0,0,0,0,0,8,0,28928,0,0,0,0,3,0.0,0,-1301,7,1308,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,84,0,0,0,0.0,4632,0.0,0,2016-10-23T15:00:00Z,23 Oct 16:00,0,0,0,0,0,11,0,0,0,0,0,0,9,0,28323,0,0,0,0,4,0.0,0,-655,7,662,69,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,85,0,0,95,0,0,0,0.0,5226,0.0,0,2016-10-30T16:00:00Z,30 Oct 16:00,0,0,0,0,0,13,0,0,0,0,0,0,10,0,27854,0,0,0,2,0,0.0,0,-523,5,528,69,False,0,0
