assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,12,0,0,0,7,0,3,9,0.9,2,0,637,0,0,221,1,1,0,0.7,13754,3.4,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,69,0,0,1,0,0,0,0,5,0,23,0,678,3,1,1,2,1,3.0,2,645,682,37,60,False,0,0
1,33,2,0,3,52,0,0,26,37.8,2,0,637,0,0,239,0,1,1,15.5,14397,66.0,2,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,80,0,3,3,0,0,0,0,5,0,24,0,3854,3,0,0,1,2,51.0,11,3090,3318,228,60,True,1,1
0,34,1,0,0,9,0,1,29,22.2,2,0,637,0,0,245,5,2,0,3.1,15046,3.4,1,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,90,0,2,11,0,0,0,0,8,0,25,0,21879,9,2,1,0,2,5.0,2,17334,18889,1555,60,False,0,0
0,16,0,0,0,2,0,0,9,1.8,2,0,637,0,0,259,3,1,0,1.6,15573,0.0,0,2017-02-25T17:30:00Z,25 Feb 17:30,0,0,81,0,0,20,0,0,0,0,5,0,26,0,40604,3,0,1,1,1,19.0,2,17642,20557,2915,60,True,0,0
0,22,0,0,0,8,0,4,15,4.8,3,0,637,0,0,268,0,4,0,4.3,16285,10.8,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,90,1,1,13,0,0,0,0,9,0,27,0,33350,4,0,2,4,3,27.0,2,-7449,2951,10400,60,True,0,0
0,30,0,0,0,7,0,0,27,4.5,1,0,637,0,0,282,1,1,0,3.0,17193,4.8,0,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,90,1,0,5,0,0,0,0,5,0,29,0,21322,6,1,1,0,1,21.0,2,-2438,926,3364,60,False,0,0
0,31,0,0,0,15,1,2,29,21.8,3,0,637,0,0,300,2,0,0,11.6,17847,14.2,1,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,86,0,1,15,0,0,0,0,2,0,30,0,20494,1,0,0,0,1,80.0,2,-939,1632,2571,59,True,0,0
1,35,1,0,3,46,1,1,28,34.0,2,0,637,0,0,307,1,0,1,11.7,18504,53.4,2,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,78,0,1,19,0,0,0,0,5,0,31,0,19471,4,0,1,0,2,30.0,11,-1060,909,1969,59,True,1,1
0,25,0,0,0,6,0,2,20,26.2,4,0,637,0,0,318,2,4,0,4.8,19165,11.2,2,2017-04-08T11:30:00Z,08 Apr 12:30,0,0,90,1,0,17,0,0,0,0,6,0,32,0,25530,6,0,0,0,4,11.0,2,5871,7066,1195,59,False,0,0
0,33,0,0,0,4,1,0,23,2.5,4,0,637,0,0,329,1,0,0,3.0,19827,6.4,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,77,1,0,16,0,0,0,0,4,0,33,0,31156,4,0,1,0,1,21.0,2,5432,7610,2178,59,True,0,0
0,40,0,0,0,6,0,1,33,7.5,1,0,637,0,0,335,2,2,0,2.4,20559,0.0,0,2017-04-22T14:00:00Z,22 Apr 15:00,0,0,90,0,0,7,0,0,0,0,5,0,34,0,25184,6,1,0,0,2,17.0,2,-6084,1380,7464,59,False,0,0
0,18,0,0,0,2,0,0,14,3.9,0,0,637,0,0,349,2,1,0,1.8,21230,1.0,0,2017-05-01T19:00:00Z,01 May 20:00,0,0,90,1,0,9,0,0,0,0,0,0,35,0,22108,1,0,0,1,0,13.0,2,-3164,1026,4190,59,True,0,0
0,38,0,0,0,11,0,6,33,5.1,1,0,637,0,0,356,1,2,0,3.0,21961,11.2,0,2017-05-06T14:00:00Z,06 May 15:00,0,0,82,0,0,8,0,0,0,0,9,0,36,0,21485,4,0,1,0,3,14.0,2,-703,1864,2567,59,False,0,0
0,4,0,0,0,4,0,0,4,0.5,0,0,637,0,0,363,0,0,0,1.9,22952,0.2,0,2017-05-12T18:45:00Z,12 May 19:45,0,0,10,0,0,6,0,0,0,0,3,0,37,0,21731,0,0,0,0,1,18.0,1,208,2104,1896,59,False,0,0
0,18,0,0,0,3,0,0,14,1.5,0,0,637,0,0,273,0,3,0,1.1,22951,0.0,0,2017-05-15T19:00:00Z,15 May 20:00,0,0,70,0,0,4,0,0,0,0,3,0,37,0,21731,4,0,0,3,4,10.0,2,208,2104,1896,59,False,0,0
0,20,0,0,0,1,0,1,17,11.3,4,0,637,0,0,380,3,5,0,3.9,23642,4.0,1,2017-05-21T14:00:00Z,21 May 15:00,0,0,73,0,0,10,0,0,0,0,3,0,38,0,19395,7,0,1,5,0,24.0,2,-2384,317,2701,58,True,0,0
