assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,3,0,0,0,0.0,145,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,17,0,0,0,0,0,0,1,0,1866,0,0,0,1,1,0.0,0,0,0,0,60,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,18,0,0,0,0.0,670,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,1969,0,0,0,2,1,0.0,0,-280,121,401,60,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,23,0,0,0,0.0,1210,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,3,0,1744,0,0,0,0,1,0.0,0,-365,79,444,59,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,40,0,0,0,0.0,1760,0.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,0,0,0,15,0,0,0,0,0,0,4,0,1646,0,0,0,3,0,0.0,0,-211,86,297,59,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,42,0,0,0,0.0,2341,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,0,0,0,12,0,0,0,0,0,0,5,0,1634,0,0,0,1,3,0.0,0,-80,92,172,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,52,0,0,0,0.0,2925,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1670,0,0,0,0,1,0.0,0,-63,104,167,58,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,62,0,0,0,0.0,3511,0.0,0,2016-09-30T19:00:00Z,30 Sep 20:00,0,0,0,0,0,5,0,0,0,0,0,0,7,0,1666,0,0,0,1,1,0.0,0,-70,58,128,58,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,76,0,0,0,0.0,4100,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,10,0,0,0,0,0,0,8,0,1704,0,0,0,1,1,0.0,0,-60,58,118,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,83,0,0,0,0.0,4692,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,3,0,0,0,0,0,0,9,0,1739,0,0,0,1,2,0.0,0,-16,56,72,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,92,0,0,0,0.0,5286,0.0,0,2016-10-30T13:30:00Z,30 Oct 13:30,0,0,0,0,0,20,0,0,0,0,0,0,10,0,1756,0,0,0,0,2,0.0,0,-30,50,80,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,104,0,0,0,0.0,5884,0.0,0,2016-11-05T17:30:00Z,05 Nov 17:30,0,0,0,0,0,4,0,0,0,0,0,0,11,0,1795,0,0,0,0,5,0.0,0,-16,60,76,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,112,0,0,0,0.0,6483,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,12,0,1879,0,0,0,1,1,0.0,0,-5,76,81,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,128,0,0,0,0.0,7084,0.0,0,2016-11-27T16:30:00Z,27 Nov 16:30,0,0,0,0,0,13,0,0,0,0,0,0,13,0,1896,0,0,0,0,1,0.0,0,-24,28,52,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,133,0,0,0,0.0,7688,0.0,0,2016-12-04T16:00:00Z,04 Dec 16:00,0,0,0,0,0,11,0,0,0,0,0,0,14,0,1931,0,0,0,1,1,0.0,0,-1,39,40,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,148,0,0,0,0.0,8293,0.0,0,2016-12-10T12:30:00Z,10 Dec 12:30,0,0,0,0,0,18,0,0,0,0,0,0,15,0,1962,0,0,0,2,3,0.0,0,-17,46,63,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,156,0,0,0,0.0,8903,0.0,0,2016-12-13T19:45:00Z,13 Dec 19:45,0,0,0,0,0,1,0,0,0,0,0,0,16,0,1966,0,0,0,1,2,0.0,0,-20,33,53,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,163,0,0,0,0.0,9517,0.0,0,2016-12-19T20:00:00Z,19 Dec 20:00,0,0,0,0,0,9,0,0,0,0,0,0,17,0,1964,0,0,0,1,0,0.0,0,-27,20,47,57,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,175,0,0,0,0.0,10133,0.0,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,18,0,2000,0,0,0,2,0,0.0,0,-12,44,56,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,184,0,0,0,0.0,10751,0.0,0,2016-12-30T20:00:00Z,30 Dec 20:00,0,0,0,0,0,7,0,0,0,0,0,0,19,0,2007,0,0,0,2,2,0.0,0,-25,32,57,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,145,0,0,193,0,0,0,0.0,11373,0.0,0,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,0,0,0,13,0,0,0,0,0,0,20,0,2007,0,0,0,0,3,0.0,0,-19,22,41,57,True,0,0
0,3,0,0,0,3,0,0,1,0.3,1,0,145,0,0,203,0,0,0,0.3,11997,1.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,8,1,0,2,0,0,0,0,1,0,21,0,2463,0,0,0,1,3,2.0,1,418,557,139,56,True,0,0
0,8,0,0,0,4,0,1,6,2.0,0,0,145,0,0,213,0,1,0,2.5,12628,6.4,0,2017-01-22T16:30:00Z,22 Jan 16:30,0,0,32,0,0,4,0,0,0,0,1,0,22,0,2494,1,1,0,0,2,17.0,1,12,173,161,56,False,0,0
0,14,0,0,0,-4,1,0,8,2.1,0,0,145,0,0,229,3,0,0,0.1,13262,0.0,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,68,1,0,11,0,0,0,0,3,0,23,0,2745,4,0,0,0,0,4.0,1,207,357,150,56,False,0,1
