assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,5,0,0,0,0.0,349,0.0,0,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,936,0,0,0,1,2,0.0,0,0,0,0,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,19,0,0,0,0.0,874,0.0,0,2016-08-21T12:30:00Z,21 Aug 13:30,0,0,0,0,0,12,0,0,0,0,0,0,2,0,763,0,0,0,2,1,0.0,0,-209,8,217,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,26,0,0,0,0.0,1414,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,13,0,0,0,0,0,0,3,0,618,0,0,0,1,1,0.0,0,-163,13,176,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,40,0,0,0,0.0,1964,0.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,0,0,0,6,0,0,0,0,0,0,4,0,539,0,0,0,3,0,0.0,0,-95,17,112,49,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,49,0,0,0,0.0,2545,0.0,0,2016-09-18T15:30:00Z,18 Sep 16:30,0,0,0,0,0,17,0,0,0,0,0,0,5,0,492,0,0,0,0,1,0.0,0,-55,8,63,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,57,0,0,0,0.0,3129,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,5,0,0,0,0,0,0,6,0,462,0,0,0,3,2,0.0,0,-39,6,45,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,66,0,0,0,0.0,3715,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,19,0,0,0,0,0,0,7,0,443,0,0,0,1,1,0.0,0,-27,11,38,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,79,0,0,0,0.0,4304,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,14,0,0,0,0,0,0,8,0,433,0,0,0,0,2,0.0,0,-25,22,47,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,90,0,0,0,0.0,4896,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,20,0,0,0,0,0,0,9,0,419,0,0,0,0,1,0.0,0,-21,12,33,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,349,0,0,97,0,0,0,0.0,5490,0.0,0,2016-10-29T11:30:00Z,29 Oct 12:30,0,0,0,0,0,1,0,0,0,0,0,0,10,0,414,0,0,0,4,1,0.0,0,-10,14,24,48,True,0,0
