assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,3,0,0,0,0.0,130,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,17,0,0,0,0,0,0,1,0,31608,0,0,0,1,1,0.0,0,0,0,0,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,18,0,0,0,0.0,655,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,30066,0,0,0,2,1,0.0,0,-3725,231,3956,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,23,0,0,0,0.0,1195,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,3,0,28243,0,0,0,0,1,0.0,0,-3478,310,3788,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,40,0,0,0,0.0,1745,0.0,0,2016-09-12T19:00:00Z,12 Sep 20:00,0,0,0,0,0,15,0,0,0,0,0,0,4,0,26677,0,0,0,3,0,0.0,0,-3152,388,3540,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,42,0,0,0,0.0,2326,0.0,0,2016-09-17T16:30:00Z,17 Sep 17:30,0,0,0,0,0,12,0,0,0,0,0,0,5,0,25934,0,0,0,1,3,0.0,0,-1517,260,1777,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,52,0,0,0,0.0,2910,0.0,0,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,6,0,30590,0,0,0,0,1,0.0,0,3363,6098,2735,39,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,62,0,0,0,0.0,3496,0.0,0,2016-09-30T19:00:00Z,30 Sep 20:00,0,0,0,0,0,5,0,0,0,0,0,0,7,0,38943,0,0,0,1,1,0.0,0,6390,9006,2616,39,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,76,0,0,0,0.0,4085,0.0,0,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,0,0,0,10,0,0,0,0,0,0,8,0,45784,0,0,0,1,1,0.0,0,4406,7022,2616,39,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,83,0,0,0,0.0,4677,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,3,0,0,0,0,0,0,9,0,50228,0,0,0,1,2,0.0,0,3138,5255,2117,39,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,92,0,0,0,0.0,5271,0.0,0,2016-10-30T13:30:00Z,30 Oct 13:30,0,0,0,0,0,20,0,0,0,0,0,0,10,0,52604,0,0,0,0,2,0.0,0,1108,3195,2087,39,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,104,0,0,0,0.0,5869,0.0,0,2016-11-05T17:30:00Z,05 Nov 17:30,0,0,0,0,0,4,0,0,0,0,0,0,11,0,58968,0,0,0,0,5,0.0,0,4762,7563,2801,39,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,130,0,0,112,0,0,0,0.0,6468,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,12,0,65204,0,0,0,1,1,0.0,0,4048,6995,2947,39,True,0,0
