assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,44,0,0,0,14,0,5,35,12.8,2,0,216,0,0,7,1,3,0,4.7,216,26.8,1,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,90,0,0,18,0,0,0,0,2,0,1,0,65856,0,1,0,3,3,7.0,1,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,14,0,0,0,0.0,727,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,6,0,0,0,0,0,0,2,0,96753,0,0,0,0,1,0.0,0,7592,15541,7949,45,True,0,0
0,70,0,0,1,40,1,3,64,20.7,0,0,216,0,0,28,0,0,0,5.3,1243,24.4,1,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,90,0,1,1,0,0,0,0,4,0,3,0,83308,0,6,0,0,4,8.0,7,-16700,2809,19509,45,True,0,0
0,36,0,0,0,13,0,2,30,11.4,1,0,216,0,0,35,0,5,0,3.5,1774,7.2,1,2017-09-09T11:30:00Z,09 Sep 12:30,0,0,90,0,0,11,0,0,0,0,1,0,4,0,92073,0,0,0,0,5,16.0,0,3480,12965,9485,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,44,0,0,0,0.0,2318,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,4,0,0,0,0,0,0,5,0,106334,0,0,0,1,1,0.0,0,11080,19750,8670,45,True,0,0
1,41,0,0,0,27,0,8,32,36.4,0,0,216,0,0,53,2,2,0,8.7,2864,28.8,3,2017-09-23T16:30:00Z,23 Sep 17:30,0,0,90,0,0,9,0,0,0,0,4,0,6,0,100307,0,2,0,3,2,22.0,4,-8130,5416,13546,45,False,0,0
0,55,1,0,0,19,0,0,46,46.2,0,0,216,0,0,70,1,1,0,6.5,3414,15.0,3,2017-10-01T15:30:00Z,01 Oct 16:30,0,0,90,0,3,13,0,0,0,0,3,0,7,0,111429,0,0,0,1,1,4.0,2,8585,16005,7420,45,False,0,0
0,57,0,0,1,30,1,6,47,3.3,0,0,216,0,0,75,0,0,0,2.6,3968,20.8,0,2017-10-14T11:30:00Z,14 Oct 12:30,0,0,90,0,0,12,0,0,0,0,4,0,8,0,108211,0,2,0,0,0,2.0,7,-4755,5330,10085,45,True,0,0
0,71,0,0,0,17,0,0,69,17.8,0,0,216,0,0,89,0,4,0,5.2,4525,21.6,0,2017-10-22T15:00:00Z,22 Oct 16:00,0,0,90,0,3,17,0,0,0,0,8,0,9,0,128675,0,0,0,1,4,13.0,0,18284,22480,4196,45,False,0,0
0,79,0,0,0,30,1,2,70,17.9,0,0,216,0,0,97,1,0,0,4.1,5084,13.4,1,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,90,0,0,8,0,0,0,0,4,0,10,0,155173,0,3,0,0,3,10.0,6,23970,32085,8115,45,True,0,0
0,46,0,0,0,14,0,6,34,1.1,1,0,216,0,0,109,0,1,0,2.1,5647,20.0,0,2017-11-04T17:30:00Z,04 Nov 17:30,0,0,90,0,0,20,0,0,0,0,5,0,11,0,181553,1,1,0,4,1,0.0,2,23839,28835,4996,45,False,0,0
0,51,0,0,0,25,1,5,48,14.3,0,0,216,0,0,117,1,0,0,3.2,6213,10.4,1,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,90,0,0,14,0,0,0,0,5,0,12,0,228076,1,0,1,0,3,7.0,6,43306,50610,7304,46,True,0,0
0,61,0,0,0,20,0,3,49,8.2,0,0,216,0,0,123,1,1,0,3.2,6782,24.0,0,2017-11-25T17:30:00Z,25 Nov 17:30,0,0,90,0,1,5,0,0,0,0,8,0,13,0,241780,1,4,0,1,1,0.0,2,12051,23131,11080,46,True,0,0
0,56,0,0,1,38,1,6,47,12.6,2,0,216,0,0,140,0,0,0,4.6,7352,25.4,1,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,90,0,0,15,0,0,0,0,6,0,14,0,257465,0,4,0,3,0,8.0,7,14490,20654,6164,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,143,0,0,0,0.0,7923,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,15,0,322068,0,0,0,5,1,0.0,0,61955,66271,4316,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,154,0,0,0,0.0,8497,0.0,0,2017-12-10T14:15:00Z,10 Dec 14:15,0,0,0,0,0,7,0,0,0,0,0,0,16,0,259888,0,0,0,1,1,0.0,0,-63435,10062,73497,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,166,0,0,0,0.0,9074,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,19,0,0,0,0,0,0,17,0,195747,0,0,0,0,0,0.0,0,-64227,327,64554,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,172,0,0,0,0.0,9652,0.0,0,2017-12-17T16:30:00Z,17 Dec 16:30,0,0,0,0,0,2,0,0,0,0,0,0,18,0,157417,0,0,0,4,0,0.0,0,-38392,198,38590,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,181,0,0,0,0.0,10232,0.0,0,2017-12-22T19:45:00Z,22 Dec 19:45,0,0,0,0,0,1,0,0,0,0,0,0,19,0,128162,0,0,0,3,3,0.0,0,-29343,268,29611,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,195,0,0,0,0.0,10817,0.0,0,2017-12-26T17:30:00Z,26 Dec 17:30,0,0,0,0,0,16,0,0,0,0,0,0,20,0,107333,0,0,0,0,5,0.0,0,-20866,86,20952,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,205,0,0,0,0.0,11403,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,21,0,92127,0,0,0,1,2,0.0,0,-15233,100,15333,44,True,0,0
