assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,1,0,0,0,0.0,9,0.0,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,0,0,0,9,0,0,0,0,0,0,1,0,14005,0,0,0,3,4,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,16,0,0,0,0.0,520,0.0,0,2017-08-19T16:30:00Z,19 Aug 17:30,0,0,0,0,0,15,0,0,0,0,0,0,2,0,16350,0,0,0,0,1,0.0,0,-1794,436,2230,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,28,0,0,0,0.0,1036,0.0,0,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,0,0,0,10,0,0,0,0,0,0,3,0,13634,0,0,0,0,4,0.0,0,-3340,196,3536,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,31,0,0,0,0.0,1567,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,4,0,11158,0,0,0,0,3,0.0,0,-2764,15,2779,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,49,0,0,0,0.0,2111,0.0,0,2017-09-17T12:30:00Z,17 Sep 13:30,0,0,0,0,0,5,0,0,0,0,0,0,5,0,10280,0,0,0,0,0,0.0,0,-1018,5,1023,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,60,0,0,0,0.0,2657,0.0,0,2017-09-25T19:00:00Z,25 Sep 20:00,0,0,0,0,0,19,0,0,0,0,0,0,6,0,9584,0,0,0,0,2,0.0,0,-851,7,858,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,68,0,0,0,0.0,3207,0.0,0,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,0,0,0,3,0,0,0,0,0,0,7,0,9080,0,0,0,0,2,0.0,0,-615,7,622,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,80,0,0,0,0.0,3761,0.0,0,2017-10-14T16:30:00Z,14 Oct 17:30,0,0,0,0,0,18,0,0,0,0,0,0,8,0,8723,0,0,0,1,2,0.0,0,-469,5,474,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,82,0,0,0,0.0,4318,0.0,0,2017-10-22T12:30:00Z,22 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,9,0,8584,0,0,0,5,2,0.0,0,-194,5,199,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,9,0,0,91,0,0,0,0.0,4877,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,10,0,8420,0,0,0,1,2,0.0,0,-221,6,227,45,True,0,0
