assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,49,0,0,0,24,1,3,41,5.3,1,0,310,0,0,6,1,0,0,3.9,310,14.2,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,16,0,0,0,0,5,0,1,0,523597,1,1,1,0,0,19.0,6,0,0,0,50,True,0,0
0,31,0,0,0,15,0,2,28,17.8,1,0,310,0,0,15,2,2,0,3.9,821,7.0,1,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,90,0,1,20,0,0,0,0,5,0,2,0,586136,0,1,2,2,3,14.0,1,22720,42344,19624,50,True,0,0
0,38,0,0,0,19,1,6,26,3.3,0,0,310,0,0,24,3,0,0,1.6,1337,12.4,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,90,0,0,8,0,0,0,0,6,0,3,0,564431,1,0,0,0,0,0.0,6,-29176,22046,51222,50,False,0,0
0,42,0,0,0,9,0,7,26,6.7,0,0,310,0,0,36,2,2,0,5.2,1868,34.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,90,0,1,18,0,0,0,0,4,0,4,0,586251,2,1,0,2,0,11.0,1,12120,51811,39691,50,True,0,0
0,46,0,0,0,20,1,4,34,2.9,0,0,310,0,0,42,0,0,0,4.5,2412,13.4,0,2017-09-16T11:30:00Z,16 Sep 12:30,0,0,90,0,0,6,0,0,0,0,3,0,5,0,550234,3,0,0,1,0,29.0,6,-38859,16045,54904,50,False,0,0
0,38,0,0,0,7,0,2,26,5.5,0,0,310,0,0,55,1,1,0,1.2,2958,6.6,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,82,0,1,12,0,0,0,0,5,0,6,0,521836,1,0,0,1,0,0.0,2,-31806,18595,50401,50,True,0,0
0,65,0,0,0,16,0,3,54,47.2,2,0,310,1,0,65,1,2,0,9.1,3508,17.0,3,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,90,0,2,15,0,0,0,0,6,0,7,0,515231,2,2,2,1,2,27.0,1,-9455,23161,32616,50,False,0,0
0,53,0,0,0,13,0,5,42,17.8,1,0,310,0,0,77,0,2,0,3.6,4062,16.8,1,2017-10-15T15:00:00Z,15 Oct 16:00,0,0,90,0,1,13,0,0,0,0,4,0,8,0,486003,2,1,1,2,2,1.0,1,-30808,15011,45819,50,True,0,0
0,49,0,0,0,25,1,3,37,32.2,0,0,310,0,0,86,0,0,0,4.8,4619,15.0,2,2017-10-21T16:30:00Z,21 Oct 17:30,0,0,90,0,2,19,0,0,0,0,6,0,9,0,471987,1,0,1,0,1,1.0,6,-14841,8925,23766,50,True,0,0
0,56,0,0,0,10,0,2,43,2.8,0,0,310,0,0,93,1,1,0,1.9,5178,12.2,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,90,0,0,3,0,0,0,0,7,0,10,0,460877,0,0,0,1,1,4.0,2,-12395,11784,24179,50,False,0,0
