assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,4,0,0,0,0.0,179,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,0,0,0,6,0,0,0,0,0,0,1,0,816,0,0,0,3,0,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,18,0,0,0,0.0,690,0.0,0,2017-08-20T12:30:00Z,20 Aug 13:30,0,0,0,0,0,13,0,0,0,0,0,0,2,0,688,0,0,0,0,1,0.0,0,-151,14,165,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,24,0,0,0,0.0,1206,0.0,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,3,0,589,0,0,0,0,0,0.0,0,-102,6,108,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,40,0,0,0,0.0,1737,0.0,0,2017-09-11T19:00:00Z,11 Sep 20:00,0,0,0,0,0,20,0,0,0,0,0,0,4,0,531,0,0,0,0,2,0.0,0,-61,8,69,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,43,0,0,0,0.0,2281,0.0,0,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,0,0,0,9,0,0,0,0,0,0,5,0,511,0,0,0,1,1,0.0,0,-23,7,30,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,51,0,0,0,0.0,2827,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,4,0,0,0,0,0,0,6,0,483,0,0,0,0,0,0.0,0,-31,8,39,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,63,0,0,0,0.0,3377,0.0,0,2017-09-30T11:30:00Z,30 Sep 12:30,0,0,0,0,0,17,0,0,0,0,0,0,7,0,456,0,0,0,4,0,0.0,0,-32,6,38,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,78,0,0,0,0.0,3931,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,8,0,437,0,0,0,0,2,0.0,0,-21,4,25,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,83,0,0,0,0.0,4488,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,9,0,427,0,0,0,1,2,0.0,0,-11,5,16,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,97,0,0,0,0.0,5047,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,10,0,0,0,0,0,0,10,0,418,0,0,0,0,3,0.0,0,-10,4,14,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,103,0,0,0,0.0,5610,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,19,0,0,0,0,0,0,11,0,412,0,0,0,0,1,0.0,0,-7,1,8,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,112,0,0,0,0.0,6176,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,2,0,0,0,0,0,0,12,0,408,0,0,0,0,4,0.0,0,-6,6,12,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,122,0,0,0,0.0,6745,0.0,0,2017-11-26T16:00:00Z,26 Nov 16:00,0,0,0,0,0,11,0,0,0,0,0,0,13,0,403,0,0,0,2,1,0.0,0,-6,2,8,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,135,0,0,0,0.0,7315,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,1,0,0,0,0,0,0,14,0,396,0,0,0,0,5,0.0,0,-7,0,7,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,145,0,0,0,0.0,7886,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,15,0,386,0,0,0,0,2,0.0,0,-10,2,12,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,153,0,0,0,0.0,8460,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,16,0,379,0,0,0,0,2,0.0,0,-7,4,11,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,163,0,0,0,0.0,9037,0.0,0,2017-12-12T20:00:00Z,12 Dec 20:00,0,0,0,0,0,5,0,0,0,0,0,0,17,0,377,0,0,0,3,1,0.0,0,-2,2,4,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,179,0,0,0,0.0,9615,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,18,0,372,0,0,0,4,1,0.0,0,-5,2,7,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,187,0,0,0,0.0,10195,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,14,0,0,0,0,0,0,19,0,365,0,0,0,1,1,0.0,0,-7,0,7,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,194,0,0,0,0.0,10780,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,20,0,362,0,0,0,1,1,0.0,0,-3,0,3,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,204,0,0,0,0.0,11366,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,4,0,0,0,0,0,0,21,0,357,0,0,0,0,0,0.0,0,-6,2,8,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,215,0,0,0,0.0,11892,0.0,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,0,0,0,9,0,0,0,0,0,0,22,0,353,0,0,0,0,3,0.0,0,-4,1,5,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,224,0,0,0,0.0,12544,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,20,0,0,0,0,0,0,23,0,351,0,0,0,4,1,0.0,0,-4,4,8,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,238,0,0,0,0.0,13142,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,15,0,0,0,0,0,0,24,0,350,0,0,0,0,2,0.0,0,-1,3,4,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,241,0,0,0,0.0,13745,0.0,0,2018-01-30T20:00:00Z,30 Jan 20:00,0,0,0,0,0,10,0,0,0,0,0,0,25,0,348,0,0,0,3,0,0.0,0,-2,2,4,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,258,0,0,0,0.0,14358,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,12,0,0,0,0,0,0,26,0,346,0,0,0,0,2,0.0,0,-2,0,2,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,263,0,0,0,0.0,14983,0.0,0,2018-02-11T12:00:00Z,11 Feb 12:00,0,0,0,0,0,2,0,0,0,0,0,0,27,0,345,0,0,0,1,4,0.0,0,-2,1,3,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,280,0,0,0,0.0,15610,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,19,0,0,0,0,0,0,28,0,346,0,0,0,2,1,0.0,0,0,4,4,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,289,0,0,0,0.0,16240,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,17,0,0,0,0,0,0,29,0,347,0,0,0,0,2,0.0,0,1,1,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,295,0,0,0,0.0,16873,0.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,0,0,0,16,0,0,0,0,0,0,30,0,382,0,0,0,0,0,0.0,0,-1,0,1,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,303,0,0,0,0.0,17422,0.0,0,2018-03-17T15:00:00Z,17 Mar 15:00,0,0,0,0,0,6,0,0,0,0,0,0,31,0,382,0,0,0,2,0,0.0,0,0,1,1,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,317,0,0,0,0.0,17774,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,13,0,0,0,0,0,0,32,0,380,0,0,0,0,1,0.0,0,-1,0,1,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,323,0,0,0,0.0,18411,0.0,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,0,0,0,3,0,0,0,0,0,0,33,0,380,0,0,0,1,1,0.0,0,-1,0,1,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,333,0,0,0,0.0,19137,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,34,0,383,0,0,0,0,1,0.0,0,1,2,1,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,353,0,0,0,0.0,20336,0.0,0,2018-04-28T14:00:00Z,28 Apr 15:00,0,0,0,0,0,7,0,0,0,0,0,0,36,0,382,0,0,0,2,0,0.0,0,0,2,2,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,367,0,0,0,0.0,21063,0.0,0,2018-05-06T12:30:00Z,06 May 13:30,0,0,0,0,0,11,0,0,0,0,0,0,37,0,384,0,0,0,0,0,0.0,0,2,4,2,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,344,0,0,0,0.0,21062,0.0,0,2018-05-09T18:45:00Z,09 May 19:45,0,0,0,0,0,5,0,0,0,0,0,0,37,0,384,0,0,0,1,1,0.0,0,2,4,2,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,179,0,0,373,0,0,0,0.0,22000,0.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,1,0,0,0,0,0,0,38,0,386,0,0,0,1,0,0.0,0,1,3,2,45,True,0,0
