assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,9,0,0,0,4,0,1,7,0.0,1,0,481,0,0,2,0,0,0,0.3,481,2.6,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,23,0,0,11,0,0,0,0,1,0,1,0,3785,0,0,0,2,0,0.0,1,0,0,0,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,481,0,0,13,0,0,0,0.0,992,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,2,0,3053,0,0,0,0,2,0.0,0,-965,50,1015,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,481,0,0,27,0,0,0,0.0,1508,0.0,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,3,0,2239,0,0,0,0,0,0.0,0,-826,17,843,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,481,0,0,32,0,0,0,0.0,2039,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,4,0,1801,0,0,0,1,3,0.0,0,-448,25,473,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,481,0,0,41,0,0,0,0.0,2583,0.0,0,2017-09-15T19:00:00Z,15 Sep 20:00,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1577,0,0,0,1,2,0.0,0,-226,5,231,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,481,0,0,59,0,0,0,0.0,3129,0.0,0,2017-09-24T15:00:00Z,24 Sep 16:00,0,0,0,0,0,13,0,0,0,0,0,0,6,0,1393,0,0,0,0,1,0.0,0,-191,12,203,53,True,0,0
0,26,0,0,0,5,0,0,20,6.3,1,0,481,0,0,68,1,2,0,1.1,3679,2.2,0,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,75,1,0,1,0,0,0,0,3,0,7,0,1343,3,1,0,0,2,2.0,2,-64,41,105,53,False,0,0
0,4,0,0,0,5,0,0,3,0.8,0,0,481,0,0,71,0,1,0,2.3,4233,5.4,0,2017-10-15T12:30:00Z,15 Oct 13:30,0,0,5,0,0,7,0,0,0,0,0,0,8,0,1399,0,1,0,1,1,17.0,1,26,129,103,53,True,0,0
0,5,0,0,0,2,0,1,4,0.3,0,0,481,0,0,90,0,0,0,0.2,4790,1.2,0,2017-10-20T19:00:00Z,20 Oct 20:00,0,0,14,0,0,20,0,0,0,0,2,0,9,0,1364,1,0,0,3,0,0.0,1,-52,23,75,53,False,0,0
0,4,0,0,0,2,0,0,3,1.3,0,0,481,0,0,93,0,0,0,0.2,5349,1.0,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,6,0,0,14,0,0,0,0,0,0,10,0,1336,1,0,0,1,1,0.0,1,-52,39,91,53,True,0,0
