assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
1,18,0,0,1,26,0,0,14,2.8,1,0,234,0,0,7,1,2,1,8.2,234,24.6,0,2017-08-12T11:30:00Z,12 Aug 12:30,0,0,85,1,0,18,0,0,0,0,5,0,1,0,874608,3,0,4,3,3,55.0,11,0,0,0,90,False,0,0
0,12,0,0,0,0,0,0,9,12.3,1,0,234,0,0,14,1,0,0,5.1,745,10.4,1,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,29,1,0,6,0,0,0,0,2,0,2,0,1293309,3,0,0,0,1,28.0,1,175914,193660,17746,91,True,0,0
1,20,1,2,0,39,1,2,16,25.3,1,0,234,0,0,28,1,0,1,19.9,1261,70.4,1,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,90,2,3,1,0,0,0,0,5,0,3,0,1158692,0,1,0,0,4,103.0,11,-184736,27792,212528,90,True,1,0
0,15,0,0,0,4,0,0,11,13.8,3,0,234,0,0,35,0,1,0,4.7,1792,7.8,1,2017-09-09T11:30:00Z,09 Sep 12:30,0,0,45,0,0,11,0,0,0,0,3,0,4,0,1422941,4,0,0,0,5,25.0,1,177596,238283,60687,91,False,0,0
0,43,0,0,3,27,0,0,34,35.8,3,0,234,0,0,44,2,1,1,17.4,2336,51.2,3,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,90,1,0,4,0,0,0,0,1,0,5,0,1571656,1,0,1,1,1,87.0,10,122769,224328,101559,91,True,0,0
0,36,0,1,0,20,0,1,21,15.9,0,0,234,0,0,53,0,2,1,13.0,2882,35.4,1,2017-09-23T16:30:00Z,23 Sep 17:30,0,0,90,1,0,9,0,0,0,0,6,0,6,0,1749987,2,0,1,3,2,79.0,7,137514,193538,56024,92,False,0,0
0,35,0,1,0,10,0,1,28,25.8,1,0,234,0,0,70,0,1,0,4.1,3432,5.2,1,2017-10-01T15:30:00Z,01 Oct 16:30,0,0,83,0,1,13,0,0,0,0,7,0,7,0,1825218,1,0,1,1,1,10.0,2,47197,110496,63299,92,False,0,0
0,20,0,0,0,4,1,1,18,29.0,7,0,234,0,0,75,1,0,0,6.8,3986,10.4,2,2017-10-14T11:30:00Z,14 Oct 12:30,0,0,77,2,1,12,0,0,0,0,3,0,8,0,1716950,7,0,3,0,0,29.0,3,-125132,51519,176651,92,True,0,0
0,28,0,0,0,21,0,0,21,24.2,2,0,234,0,0,89,0,4,1,13.5,4543,46.2,2,2017-10-22T15:00:00Z,22 Oct 16:00,0,0,90,0,0,17,0,0,0,0,5,0,9,0,1656590,8,0,0,1,4,65.0,7,-68975,35518,104493,92,False,0,0
1,36,0,1,0,5,1,0,27,16.9,1,0,234,0,0,97,0,0,0,10.2,5102,27.8,1,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,80,0,0,8,0,0,1,0,0,0,10,0,1884658,5,0,0,0,3,57.0,4,210999,246328,35329,92,True,0,0
0,29,1,0,3,48,0,0,19,37.6,0,0,234,0,0,109,0,1,2,17.3,5665,76.6,3,2017-11-04T17:30:00Z,04 Nov 17:30,0,0,90,0,1,20,0,0,0,0,2,0,11,0,1978650,1,0,0,4,1,59.0,15,79912,118529,38617,93,False,0,0
0,23,0,0,3,40,1,0,18,27.3,1,0,234,0,0,117,1,0,2,16.2,6231,68.2,2,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,79,0,0,14,0,0,0,0,2,0,12,0,2285001,6,0,1,0,3,66.0,16,280935,291072,10137,95,True,1,0
0,42,0,0,0,23,0,0,32,26.7,4,0,234,0,0,123,1,1,1,15.6,6800,41.2,2,2017-11-25T17:30:00Z,25 Nov 17:30,0,0,90,0,0,5,0,0,0,0,2,0,13,0,2417627,6,0,2,1,1,88.0,7,116541,153845,37304,96,True,0,0
0,7,0,0,2,40,0,0,6,14.8,0,0,234,0,0,140,0,0,2,11.7,7370,68.4,1,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,23,0,0,15,0,0,0,0,3,0,14,0,2624122,1,0,0,3,0,34.0,13,192297,200439,8142,97,False,0,0
