assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,2,0,0,0,0.0,68,0.0,0,2017-08-12T16:30:00Z,12 Aug 17:30,0,0,0,0,0,11,0,0,0,0,0,0,1,0,596,0,0,0,2,0,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,13,0,0,0,0.0,579,0.0,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,0,0,0,9,0,0,0,0,0,0,2,0,510,0,0,0,0,2,0.0,0,-119,15,134,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,27,0,0,0,0.0,1095,0.0,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,0,0,0,18,0,0,0,0,0,0,3,0,442,0,0,0,0,0,0.0,0,-75,13,88,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,32,0,0,0,0.0,1626,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,4,0,419,0,0,0,1,3,0.0,0,-31,9,40,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,41,0,0,0,0.0,2170,0.0,0,2017-09-15T19:00:00Z,15 Sep 20:00,0,0,0,0,0,2,0,0,0,0,0,0,5,0,403,0,0,0,1,2,0.0,0,-19,5,24,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,59,0,0,0,0.0,2716,0.0,0,2017-09-24T15:00:00Z,24 Sep 16:00,0,0,0,0,0,13,0,0,0,0,0,0,6,0,385,0,0,0,0,1,0.0,0,-21,11,32,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,68,0,0,0,0.0,3266,0.0,0,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,0,0,0,1,0,0,0,0,0,0,7,0,375,0,0,0,0,2,0.0,0,-15,6,21,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,71,0,0,0,0.0,3820,0.0,0,2017-10-15T12:30:00Z,15 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,8,0,361,0,0,0,1,1,0.0,0,-18,4,22,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,90,0,0,0,0.0,4377,0.0,0,2017-10-20T19:00:00Z,20 Oct 20:00,0,0,0,0,0,20,0,0,0,0,0,0,9,0,357,0,0,0,3,0,0.0,0,-6,5,11,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,93,0,0,0,0.0,4936,0.0,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,0,0,0,14,0,0,0,0,0,0,10,0,347,0,0,0,1,1,0.0,0,-14,3,17,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,107,0,0,0,0.0,5499,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,11,0,337,0,0,0,1,0,0.0,0,-10,2,12,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,113,0,0,0,0.0,6065,0.0,0,2017-11-20T20:00:00Z,20 Nov 20:00,0,0,0,0,0,15,0,0,0,0,0,0,12,0,337,0,0,0,2,2,0.0,0,-3,6,9,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,124,0,0,0,0.0,6634,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,12,0,0,0,0,0,0,13,0,339,0,0,0,0,1,0.0,0,-1,2,3,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,131,0,0,0,0.0,7204,0.0,0,2017-11-28T19:45:00Z,28 Nov 19:45,0,0,0,0,0,6,0,0,0,0,0,0,14,0,336,0,0,0,0,0,0.0,0,-4,3,7,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,143,0,0,0,0.0,7775,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,15,0,329,0,0,0,5,1,0.0,0,-7,2,9,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,153,0,0,0,0.0,8349,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,16,0,330,0,0,0,0,2,0.0,0,-3,6,9,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,68,0,0,169,0,0,0,0.0,8926,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,17,0,0,0,0,0,0,17,0,328,0,0,0,0,2,0.0,0,-3,0,3,45,False,0,0
