assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,59,0,0,0,18,0,12,49,2.1,0,0,11,0,0,1,2,3,0,2.1,11,19.2,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,66,0,0,9,0,0,0,0,7,0,1,0,95869,0,1,0,3,4,0.0,1,0,0,0,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,16,0,0,0,0.0,522,0.0,0,2017-08-19T16:30:00Z,19 Aug 17:30,0,0,0,0,0,15,0,0,0,0,0,0,2,0,97016,0,0,0,0,1,0.0,0,-9481,4039,13520,50,False,0,0
0,64,0,0,0,12,0,6,46,0.3,0,0,11,0,1,28,2,4,0,2.8,1038,9.8,0,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,90,0,0,10,0,0,0,0,7,0,3,0,70122,0,1,0,0,4,18.0,-1,-28439,684,29123,49,False,1,1
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,31,0,0,0,0.0,1569,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,4,0,60021,0,0,0,0,3,0.0,0,-11708,1393,13101,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,49,0,0,0,0.0,2113,0.0,0,2017-09-17T12:30:00Z,17 Sep 13:30,0,0,0,0,0,5,0,0,0,0,0,0,5,0,51774,0,0,0,0,0,0.0,0,-8967,321,9288,48,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,60,0,0,0,0.0,2659,0.0,0,2017-09-25T19:00:00Z,25 Sep 20:00,0,0,0,0,0,19,0,0,0,0,0,0,6,0,45313,0,0,0,0,2,0.0,0,-7035,497,7532,47,True,0,0
0,99,0,0,0,30,1,3,88,27.2,1,0,11,0,0,68,0,0,0,5.0,3209,22.6,2,2017-10-01T11:00:00Z,01 Oct 12:00,0,0,90,0,0,3,0,0,0,0,8,0,7,0,41876,0,1,0,0,2,0.0,6,-3965,766,4731,47,True,0,0
0,3,0,0,0,5,0,2,1,0.0,0,0,11,0,0,80,0,1,0,0.5,3763,5.0,0,2017-10-14T16:30:00Z,14 Oct 17:30,0,0,5,0,0,18,0,0,0,0,2,0,8,0,44923,1,1,0,1,2,0.0,1,2238,5090,2852,47,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,82,0,0,0,0.0,4320,0.0,0,2017-10-22T12:30:00Z,22 Oct 13:30,0,0,0,0,0,7,0,0,0,0,0,0,9,0,43352,0,0,0,5,2,0.0,0,-1853,587,2440,47,False,0,0
0,4,0,0,0,3,0,0,3,0.1,0,0,11,0,0,91,0,0,0,0.3,4879,2.4,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,12,0,0,16,0,0,0,0,0,0,10,0,40897,0,0,0,1,2,0.0,1,-2818,590,3408,47,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,110,0,0,0,0.0,5442,0.0,0,2017-11-05T14:15:00Z,05 Nov 14:15,0,0,0,0,0,11,0,0,0,0,0,0,11,0,39552,0,0,0,1,3,0.0,0,-1618,307,1925,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,111,0,0,0,0.0,6008,0.0,0,2017-11-18T12:30:00Z,18 Nov 12:30,0,0,0,0,0,17,0,0,0,0,0,0,12,0,36780,0,0,0,0,2,0.0,0,-2958,115,3073,46,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,130,0,0,0,0.0,6577,0.0,0,2017-11-26T14:00:00Z,26 Nov 14:00,0,0,0,0,0,4,0,0,0,0,0,0,13,0,35515,0,0,0,1,0,0.0,0,-1357,90,1447,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,135,0,0,0,0.0,7147,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,8,0,0,0,0,0,0,14,0,35043,0,0,0,0,5,0.0,0,-589,178,767,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,141,0,0,0,0.0,7718,0.0,0,2017-12-02T17:30:00Z,02 Dec 17:30,0,0,0,0,0,12,0,0,0,0,0,0,15,0,34427,0,0,0,3,1,0.0,0,-696,158,854,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,160,0,0,0,0.0,8292,0.0,0,2017-12-10T12:00:00Z,10 Dec 12:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,34037,0,0,0,1,1,0.0,0,-557,234,791,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,170,0,0,0,0.0,8869,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,20,0,0,0,0,0,0,17,0,33721,0,0,0,0,0,0.0,0,-403,171,574,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,171,0,0,0,0.0,9447,0.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,0,0,0,13,0,0,0,0,0,0,18,0,33307,0,0,0,0,1,0.0,0,-483,121,604,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,11,0,0,181,0,0,0,0.0,10027,0.0,0,2017-12-22T19:45:00Z,22 Dec 19:45,0,0,0,0,0,10,0,0,0,0,0,0,19,0,32884,0,0,0,3,3,0.0,0,-558,170,728,45,True,0,0
