assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,21,0,0,0,2,1,0,13,2.8,0,0,160,0,0,5,1,0,0,2.1,160,0.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,76,0,0,15,0,0,0,0,2,0,1,0,77226,2,0,1,0,1,19.0,2,0,0,0,75,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,20,0,0,0,0.0,671,0.0,0,2017-08-21T19:00:00Z,21 Aug 20:00,0,0,0,0,0,11,0,0,0,0,0,0,2,0,59296,0,0,0,1,1,0.0,0,-23264,931,24195,75,False,0,0
0,16,0,0,0,4,0,0,14,5.7,0,0,160,0,0,22,0,2,0,1.1,1187,0.0,0,2017-08-27T12:30:00Z,27 Aug 13:30,0,0,62,0,0,5,0,0,0,0,1,0,3,0,38990,3,1,1,0,2,6.0,2,-20664,189,20853,74,False,0,0
0,13,0,0,0,2,0,0,10,2.2,1,0,160,0,0,33,0,2,0,2.3,1718,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,45,1,0,17,0,0,0,0,1,0,4,0,33888,0,0,1,3,0,22.0,1,-5818,630,6448,74,True,0,0
0,8,0,0,0,2,0,0,8,1.9,0,0,160,0,0,50,0,3,0,2.0,2262,3.2,0,2017-09-17T15:00:00Z,17 Sep 16:00,0,0,24,0,0,12,0,0,0,0,0,0,5,0,30228,1,0,0,0,4,15.0,1,-4002,300,4302,73,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,52,0,0,0,0.0,2808,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,2,0,0,0,0,0,0,6,0,28000,0,0,0,1,2,0.0,0,-2576,1057,3633,73,True,0,0
0,5,0,0,0,2,0,0,4,0.5,0,0,160,0,0,69,0,0,0,0.0,3358,0.0,0,2017-10-01T13:15:00Z,01 Oct 14:15,0,0,8,0,0,4,0,0,0,0,0,0,7,0,25316,0,0,1,1,0,1.0,1,-2957,550,3507,72,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,71,0,0,0,0.0,3912,0.0,0,2017-10-15T12:30:00Z,15 Oct 13:30,0,0,0,0,0,3,0,0,0,0,0,0,8,0,23893,0,0,0,1,1,0.0,0,-1622,412,2034,72,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,82,0,0,0,0.0,4469,0.0,0,2017-10-22T12:30:00Z,22 Oct 13:30,0,0,0,0,0,1,0,0,0,0,0,0,9,0,23091,0,0,0,5,2,0.0,0,-922,189,1111,72,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,96,0,0,0,0.0,5028,0.0,0,2017-10-29T16:00:00Z,29 Oct 16:00,0,0,0,0,0,9,0,0,0,0,0,0,10,0,22336,0,0,0,0,2,0.0,0,-899,279,1178,71,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,160,0,0,102,0,0,0,0.0,5591,0.0,0,2017-11-05T16:30:00Z,05 Nov 16:30,0,0,0,0,0,18,0,0,0,0,0,0,11,0,21919,0,0,0,2,3,0.0,0,-543,172,715,71,True,0,0
