assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,20,0,0,0,24,0,0,10,3.8,0,0,211,0,0,1,3,2,1,7.0,211,29.6,0,2017-08-11T18:45:00Z,11 Aug 19:45,0,0,71,0,0,1,0,0,0,0,4,0,1,0,42847,3,0,1,3,4,37.0,6,0,0,0,55,False,0,0
0,17,0,1,1,28,1,0,14,14.1,0,0,211,0,0,13,1,0,1,7.6,722,34.2,1,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,75,1,0,3,0,0,0,0,3,0,2,0,98054,1,0,1,0,2,28.0,7,21585,29814,8229,55,True,1,0
0,12,0,0,0,7,0,2,9,2.3,0,0,211,0,0,25,1,0,0,2.4,1238,14.2,0,2017-08-26T16:30:00Z,26 Aug 17:30,0,0,59,1,0,12,0,0,0,0,4,0,3,0,193328,2,3,0,0,2,7.0,1,67513,92361,24848,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,34,0,0,0,0.0,1769,0.0,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,0,0,0,5,0,0,0,0,0,0,4,0,223289,0,0,0,2,1,0.0,0,13055,46716,33661,55,True,0,0
0,8,0,0,0,-2,0,0,7,10.8,0,0,211,0,0,43,2,0,0,1.0,2313,0.0,1,2017-09-16T14:00:00Z,16 Sep 15:00,0,0,21,0,0,8,0,0,0,0,1,0,5,0,217725,1,0,0,1,1,0.0,0,-10459,22746,33205,55,False,0,1
0,16,0,0,0,27,0,1,9,10.5,0,0,211,0,0,53,0,3,1,8.9,2859,38.2,1,2017-09-23T16:30:00Z,23 Sep 17:30,0,0,73,1,0,10,0,0,0,0,5,0,6,0,206453,4,0,0,3,2,40.0,6,-16114,24150,40264,55,True,0,0
0,26,0,1,0,-1,1,0,18,15.3,1,0,211,0,0,61,1,0,0,1.9,3409,0.0,1,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,68,0,0,2,0,0,0,0,1,0,7,0,265471,4,0,1,0,0,4.0,2,51793,75621,23828,56,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,74,0,0,0,0.0,3963,0.0,0,2017-10-16T19:00:00Z,16 Oct 20:00,0,0,0,0,0,19,0,0,0,0,0,0,8,0,293683,0,0,0,1,1,0.0,0,22333,51940,29607,56,True,0,0
0,20,1,0,3,41,0,0,14,25.4,0,0,211,0,0,88,0,1,1,13.4,4520,46.4,2,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,67,1,1,16,0,0,0,0,5,0,9,0,258800,2,2,0,2,1,62.0,9,-36106,5929,42035,56,False,1,0
0,3,0,0,0,3,0,1,2,1.3,0,0,211,0,0,96,0,0,0,0.2,5079,1.0,0,2017-10-29T16:00:00Z,29 Oct 16:00,0,0,15,0,0,7,0,0,0,0,1,0,10,0,294759,0,0,0,0,2,0.0,1,32150,50630,18480,56,True,0,0
0,8,0,1,0,-4,0,0,8,1.7,1,0,211,0,0,106,2,1,0,2.0,5642,1.6,0,2017-11-04T12:30:00Z,04 Nov 12:30,0,0,57,2,0,15,0,0,0,0,3,0,11,0,274029,2,0,0,2,2,17.0,1,-22445,10061,32506,56,False,0,0
0,2,0,0,0,3,0,0,0,0.0,0,0,211,0,0,116,0,0,0,0.0,6208,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,7,0,0,11,0,0,0,0,0,0,12,0,254043,0,0,0,2,0,0.0,1,-21937,8708,30645,56,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,129,0,0,0,0.0,6777,0.0,0,2017-11-24T20:00:00Z,24 Nov 20:00,0,0,0,0,0,20,0,0,0,0,0,0,13,0,248779,0,0,0,1,1,0.0,0,-6529,14895,21424,56,False,0,0
0,28,0,1,0,0,0,3,21,6.0,0,0,211,0,0,132,1,1,0,2.3,7347,10.6,0,2017-11-28T19:45:00Z,28 Nov 19:45,0,0,82,1,0,17,0,0,0,0,4,0,14,0,230744,2,0,1,1,2,6.0,2,-18728,5379,24107,55,True,0,0
0,4,0,0,0,5,0,0,4,20.8,1,0,211,0,0,146,0,0,0,4.7,7918,6.4,2,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,2,0,0,4,0,0,0,0,0,0,15,0,223797,1,0,0,0,1,20.0,1,-7839,7421,15260,55,True,0,0
1,9,0,0,0,13,0,0,6,1.3,0,0,211,0,0,156,0,0,0,0.6,8492,2.4,0,2017-12-09T17:30:00Z,09 Dec 17:30,0,0,17,0,0,13,0,0,0,0,0,0,16,0,210908,1,1,0,3,2,2.0,4,-14012,5102,19114,55,False,0,0
1,18,0,0,3,70,0,2,17,26.2,0,0,211,0,0,168,1,1,2,23.2,9069,96.6,2,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,90,0,0,14,0,0,0,0,3,0,17,0,206343,5,3,0,4,1,109.0,16,-5404,5623,11027,54,False,1,0
0,3,0,0,0,5,0,0,2,1.3,0,0,211,0,0,176,0,1,0,0.3,9647,2.0,0,2017-12-16T12:30:00Z,16 Dec 12:30,0,0,13,0,0,6,0,0,0,0,1,0,18,0,337317,0,1,0,3,0,0.0,1,126829,133157,6328,55,True,0,0
0,6,0,0,0,1,0,0,5,3.1,0,0,211,0,0,185,2,0,0,0.3,10227,0.0,0,2017-12-23T19:45:00Z,23 Dec 19:45,0,0,23,0,0,12,0,0,0,0,1,0,19,0,324433,0,0,0,2,2,2.0,1,-16405,30534,46939,55,True,0,0
0,22,0,0,0,6,0,0,16,13.7,1,0,211,0,0,199,0,2,0,4.3,10812,12.2,1,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,72,0,0,18,0,0,0,0,0,0,20,0,315453,2,0,0,1,2,17.0,2,-10987,21714,32701,55,False,0,0
0,5,0,0,0,1,0,0,3,1.0,0,0,211,0,0,205,0,1,0,2.2,11398,1.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,17,0,0,10,0,0,0,0,2,0,21,0,306992,2,0,0,1,2,20.0,1,-10761,23306,34067,55,False,0,0
0,31,0,0,0,9,1,0,29,5.8,4,0,211,0,0,215,2,0,0,1.9,11924,3.2,0,2018-01-01T15:00:00Z,01 Jan 15:00,0,0,90,1,0,8,0,0,0,0,5,0,22,0,301419,6,1,1,0,3,10.0,2,-6336,21666,28002,55,True,0,0
0,26,0,1,0,7,1,0,18,2.5,4,0,211,0,0,222,1,0,0,7.3,12576,7.4,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,72,0,0,5,0,0,0,0,4,0,23,0,299685,2,3,1,0,0,63.0,1,-5070,36265,41335,55,False,0,1
0,20,0,0,0,2,1,1,16,12.0,0,0,211,0,0,235,1,0,0,4.3,13174,8.4,1,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,64,0,0,18,0,0,0,0,8,0,24,0,307227,5,0,1,0,2,23.0,2,5814,31988,26174,55,True,0,0
0,21,0,0,0,2,0,1,16,17.8,1,0,211,0,0,245,0,2,0,2.2,13777,4.2,1,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,57,0,0,7,0,0,0,0,2,0,25,0,299769,3,0,0,1,2,0.0,1,-9163,16485,25648,55,False,0,0
0,2,0,0,0,2,0,0,2,0.3,0,0,211,0,0,256,0,0,0,0.2,14390,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,10,0,0,16,0,0,0,0,1,0,26,0,279220,1,0,0,1,1,2.0,1,-21062,5881,26943,54,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,264,0,0,0,0.0,15015,0.0,0,2018-02-10T17:30:00Z,10 Feb 17:30,0,0,0,0,0,11,0,0,0,0,0,0,27,0,234136,0,0,0,1,5,0.0,0,-45608,2352,47960,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,276,0,0,0,0.0,15642,0.0,0,2018-02-24T12:30:00Z,24 Feb 12:30,0,0,0,0,0,15,0,0,0,0,0,0,28,0,198154,0,0,0,1,1,0.0,0,-36138,276,36414,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,284,0,0,0,0.0,16272,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,2,0,0,0,0,0,0,29,0,188134,0,0,0,1,1,0.0,0,-9971,223,10194,53,True,0,0
0,23,0,0,0,2,0,0,16,7.7,0,0,211,0,0,299,0,1,0,4.4,16905,3.2,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,59,0,0,19,0,0,0,0,2,0,30,0,183130,1,0,0,4,1,33.0,1,-5363,1002,6365,53,False,0,0
0,15,0,0,0,3,0,0,9,2.1,0,0,211,0,0,312,1,0,0,0.1,17806,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,55,0,0,3,0,0,0,0,3,0,32,0,184490,0,0,0,2,0,0.0,1,713,3828,3115,53,False,0,0
1,10,1,0,0,17,0,3,7,20.9,1,0,211,0,0,326,1,1,0,5.0,18443,23.4,2,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,33,1,0,13,0,0,0,0,2,0,33,0,185160,0,0,0,2,1,6.0,4,385,3380,2995,53,True,0,0
0,8,0,0,0,4,0,0,7,0.4,0,0,211,0,0,331,0,2,0,0.2,19191,1.4,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,45,0,0,4,0,0,0,0,1,0,34,0,193575,1,1,0,1,2,0.0,1,6698,9468,2770,53,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,346,0,0,0,0.0,19192,0.0,0,2018-04-19T18:45:00Z,19 Apr 19:45,0,0,0,0,0,14,0,0,0,0,0,0,34,0,193575,0,0,0,0,0,0.0,0,6698,9468,2770,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,352,0,0,0,0.0,20368,0.0,0,2018-04-28T14:00:00Z,28 Apr 15:00,0,0,0,0,0,6,0,0,0,0,0,0,36,0,179102,0,0,0,0,5,0.0,0,-5571,76,5647,53,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,366,0,0,0,0.0,21125,0.0,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,0,0,0,20,0,0,0,0,0,0,37,0,175129,0,0,0,2,0,0.0,0,-3947,86,4033,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,304,0,0,0,0.0,21124,0.0,0,2018-05-09T18:45:00Z,09 May 19:45,0,0,0,0,0,1,0,0,0,0,0,0,37,0,175129,0,0,0,1,3,0.0,0,-3947,86,4033,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,211,0,0,379,0,0,0,0.0,22032,0.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,17,0,0,0,0,0,0,38,0,172232,0,0,0,4,5,0.0,0,-2931,73,3004,53,False,0,0
