assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,102,0,0,1,30,1,5,93,13.2,0,0,377,0,0,10,0,0,0,4.1,377,24.2,1,2017-08-13T12:30:00Z,13 Aug 13:30,0,0,90,0,0,13,0,0,0,0,3,0,1,0,595743,0,1,0,2,0,4.0,7,0,0,0,60,False,0,0
0,76,0,0,0,10,0,4,69,1.3,0,0,377,0,0,19,1,2,0,2.2,888,14.4,0,2017-08-20T15:00:00Z,20 Aug 16:00,0,0,90,0,0,5,0,0,0,0,3,0,2,0,708691,0,0,1,2,1,6.0,0,16661,36712,20051,60,True,0,1
0,77,0,0,0,19,0,5,68,2.0,1,0,377,0,0,29,0,1,0,3.2,1404,21.6,0,2017-08-27T15:00:00Z,27 Aug 16:00,0,0,90,0,0,4,0,0,0,0,3,0,3,0,716063,0,1,0,1,1,8.0,2,-11941,29944,41885,60,True,1,0
0,50,0,0,0,23,1,7,40,0.5,2,0,377,0,0,33,1,0,0,2.2,1935,20.6,0,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,90,0,0,7,0,0,0,0,4,0,4,0,700520,0,0,1,3,0,1.0,5,-28573,12734,41307,60,False,0,1
0,89,0,0,1,27,1,1,80,31.9,0,0,377,0,0,46,2,0,0,5.7,2479,18.6,2,2017-09-16T16:30:00Z,16 Sep 17:30,0,0,90,0,1,16,0,0,0,0,6,0,5,0,687932,0,3,1,0,0,6.0,6,-18920,10563,29483,60,True,0,1
0,45,0,0,0,15,0,7,32,0.1,0,0,377,0,0,58,0,2,0,2.5,3025,24.0,0,2017-09-23T11:30:00Z,23 Sep 12:30,0,0,90,0,0,20,0,0,0,0,4,0,6,0,682683,0,2,1,3,2,1.0,1,-10795,16045,26840,60,False,0,0
0,82,0,0,0,22,1,4,64,0.9,1,0,377,0,0,63,1,0,0,2.1,3575,20.2,0,2017-09-30T11:30:00Z,30 Sep 12:30,0,0,90,0,0,8,0,0,0,0,2,0,7,0,663928,0,0,0,4,0,0.0,6,-22569,12236,34805,60,False,0,0
0,92,0,0,1,28,1,3,84,2.5,1,0,377,0,0,79,0,0,0,2.9,4129,20.2,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,90,0,0,2,0,0,0,0,4,0,8,0,641021,0,1,1,0,1,6.0,7,-26437,6768,33205,60,True,0,0
0,35,0,0,0,14,0,4,32,0.3,0,0,377,0,0,89,1,1,0,1.0,4686,9.6,0,2017-10-22T15:00:00Z,22 Oct 16:00,0,0,90,0,0,10,0,0,0,0,5,0,9,0,647044,0,0,0,1,4,0.0,2,2965,18339,15374,60,True,0,0
0,45,0,0,0,12,0,5,31,0.8,0,0,377,0,0,98,1,1,0,1.8,5245,16.6,0,2017-10-28T11:30:00Z,28 Oct 12:30,0,0,90,0,0,12,0,0,0,0,6,0,10,0,630277,0,2,1,0,1,1.0,2,-19419,7896,27315,60,False,0,0
