first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Petr,Cech,0,0,24,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,1.5,50
Bernd,Leno,0,0,8,315,4,0.0,73.4,0.0,0,55,7.3,0,0,0,1.6,48
Laurent,Koscielny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54
Héctor,Bellerín,0,4,36,855,12,129.2,196.8,138.0,3,194,46.4,2,0,1,10.2,54
Nacho,Monreal,1,1,30,630,8,75.1,149.2,161.0,2,124,38.5,2,0,1,1.6,55
Rob,Holding,0,0,14,411,4,2.6,91.4,11.0,3,78,10.6,1,0,1,0.6,44
Shkodran,Mustafi,1,0,29,900,13,33.6,273.6,103.0,1,173,41.1,2,0,2,1.3,54
Sead,Kolasinac,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,49
Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Stephan,Lichtsteiner,0,0,3,160,3,18.7,13.4,3.0,0,8,3.5,0,0,1,1.0,46
Sokratis,Papastathopoulos,0,0,5,488,9,12.1,92.2,6.0,0,60,11.1,0,0,3,1.2,51
Mesut,Özil,3,1,43,656,9,223.6,197.6,97.0,7,153,51.9,2,0,0,6.1,84
Aaron,Ramsey,1,3,33,520,6,185.2,164.2,156.0,1,115,50.6,3,0,0,1.6,74
Alex,Iwobi,1,2,22,413,7,86.4,103.8,108.0,0,90,29.7,0,0,0,1.2,55
Mohamed,Elneny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.5,43
Granit,Xhaka,2,1,32,834,12,178.1,232.2,48.0,2,148,46.0,2,0,4,3.3,53
Henrikh,Mkhitaryan,1,1,22,442,9,101.7,95.8,177.0,2,79,37.4,0,0,0,5.4,68
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,44
Ainsley,Maitland-Niles,0,0,1,34,1,10.3,10.8,0.0,0,7,2.1,0,0,0,0.3,44
Danny,Welbeck,1,1,18,137,3,56.7,73.6,62.0,3,62,19.2,0,0,0,0.7,65
Alexandre,Lacazette,4,4,52,715,9,144.1,238.2,325.0,7,168,70.4,2,0,0,13.5,97
Pierre-Emerick,Aubameyang,7,2,63,688,9,129.5,298.6,309.0,11,247,73.7,3,0,0,15.3,109
Lucas,Torreira,0,2,22,614,6,51.5,116.2,14.0,1,112,18.2,2,0,2,1.5,49
Matteo,Guendouzi,0,0,10,478,10,47.2,89.8,16.0,0,85,15.3,0,0,2,2.1,45
Emiliano,Martínez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
Emile,Smith-Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Zech,Medley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Asmir,Begovic,0,0,37,900,12,0.0,165.6,0.0,2,175,16.7,4,0,0,4.4,45
Artur,Boruc,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,6.2,40
Simon,Francis,0,1,26,552,7,76.5,141.2,22.0,0,135,23.9,3,0,0,0.4,44
Steve,Cook,1,1,42,900,12,14.4,278.0,95.0,3,216,38.7,4,0,1,8.7,46
Charlie,Daniels,0,0,14,360,3,76.6,68.2,33.0,0,70,17.7,2,0,1,4.7,42
Adam,Smith,1,0,36,846,9,56.0,158.6,47.0,0,168,26.2,4,1,0,1.0,45
Tyrone,Mings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Nathan,Aké,1,0,41,900,12,10.5,251.6,114.0,4,197,37.6,4,0,0,4.6,50
Jack,Simpson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,39
Marc,Pugh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,43
Andrew,Surman,0,0,9,357,7,55.7,47.4,15.0,0,49,11.8,1,0,1,0.2,47
Junior,Stanislas,1,0,13,87,2,40.8,49.8,31.0,3,36,12.1,0,0,0,0.1,60
Dan,Gosling,0,0,12,517,7,66.4,84.6,42.0,0,46,19.2,1,0,3,0.1,49
Jordon,Ibe,0,0,3,49,2,47.2,11.6,8.0,0,7,6.7,0,0,0,0.2,51
Lewis,Cook,0,0,15,365,3,34.5,38.6,18.0,0,64,9.2,3,0,0,0.2,48
Ryan,Fraser,3,5,62,859,12,340.2,292.6,180.0,9,247,81.3,4,0,1,23.6,61
Emerson,Hyndman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
David,Brooks,3,0,36,633,7,125.2,166.4,228.0,2,121,52.0,4,0,1,2.2,51
