assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,5,0,0,0,0.0,240,0.0,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,0,0,0,19,0,0,0,0,0,0,1,0,22078,0,0,0,0,4,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,15,0,0,0,0.0,765,0.0,0,2018-08-20T19:00:00Z,20 Aug 20:00,0,0,0,0,0,7,0,0,0,0,0,0,2,0,23454,0,0,0,2,0,0.0,0,-3273,965,4238,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,25,0,0,0,0.0,1292,0.0,0,2018-08-25T16:30:00Z,25 Aug 17:30,0,0,0,0,0,3,0,0,0,0,0,0,3,0,21173,0,0,0,0,1,0.0,0,-3113,509,3622,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,37,0,0,0,0.0,1823,0.0,0,2018-09-01T11:30:00Z,01 Sep 12:30,0,0,0,0,0,11,0,0,0,0,0,0,4,0,19066,0,0,0,2,1,0.0,0,-2595,280,2875,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,48,0,0,0,0.0,2360,0.0,0,2018-09-15T11:30:00Z,15 Sep 12:30,0,0,0,0,0,17,0,0,0,0,0,0,5,0,17896,0,0,0,2,1,0.0,0,-1625,271,1896,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,58,0,0,0,0.0,2897,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,0,0,0,16,0,0,0,0,0,0,6,0,17373,0,0,0,0,3,0.0,0,-835,205,1040,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,64,0,0,0,0.0,3435,0.0,0,2018-09-29T16:30:00Z,29 Sep 17:30,0,0,0,0,0,6,0,0,0,0,0,0,7,0,16901,0,0,0,1,1,0.0,0,-649,338,987,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,76,0,0,0,0.0,3974,0.0,0,2018-10-07T15:30:00Z,07 Oct 16:30,0,0,0,0,0,13,0,0,0,0,0,0,8,0,16377,0,0,0,0,0,0.0,0,-620,118,738,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,240,0,0,86,0,0,0,0.0,4516,0.0,0,2018-10-20T16:30:00Z,20 Oct 17:30,0,0,0,0,0,10,0,0,0,0,0,0,9,0,16158,0,0,0,1,0,0.0,0,-412,202,614,42,False,0,0
0,61,0,0,0,13,0,1,54,39.3,2,0,240,0,0,96,1,1,0,6.1,5062,16.6,3,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,90,0,1,5,0,0,0,0,3,0,10,0,16030,2,0,1,1,4,5.0,2,-239,175,414,42,True,0,0
