assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,64,0,0,0,8,1,4,51,3.6,0,0,35,0,0,2,2,0,0,1.5,35,8.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,5,0,0,0,0,7,0,1,0,17574,1,0,1,0,2,3.0,3,0,0,0,50,True,0,0
0,46,1,0,0,16,0,1,40,21.9,0,0,35,0,0,20,0,1,0,3.2,560,10.0,2,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,90,0,0,19,0,0,0,0,4,0,2,0,19664,0,0,0,2,1,0.0,2,-377,2087,2464,50,False,0,0
0,41,0,0,0,13,0,2,38,13.6,0,0,35,0,0,22,1,2,0,2.4,1087,10.2,1,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,75,0,0,8,0,0,0,0,4,0,3,0,17896,1,0,0,2,2,0.0,2,-2136,1601,3737,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,34,0,0,0,0.0,1618,0.0,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,0,0,0,6,0,0,0,0,0,0,4,0,16104,0,0,0,0,2,0.0,0,-2062,774,2836,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,41,0,0,0,0.0,2155,0.0,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,0,0,0,11,0,0,0,0,0,0,5,0,14737,0,0,0,2,4,0.0,0,-1744,756,2500,49,True,0,0
0,62,0,0,0,12,0,5,55,4.8,0,0,35,0,0,53,0,4,0,3.3,2692,16.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,90,0,0,4,0,0,0,0,4,0,6,0,12687,1,0,0,0,4,12.0,2,-2186,236,2422,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,62,0,0,0,0.0,3230,0.0,0,2018-10-01T19:00:00Z,01 Oct 20:00,0,0,0,0,0,7,0,0,0,0,0,0,7,0,12012,0,0,0,1,2,0.0,0,-868,336,1204,48,True,0,0
0,17,0,0,0,0,0,1,17,11.8,0,0,35,0,0,80,1,0,0,1.4,3769,2.4,1,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,12,0,0,18,0,0,0,0,1,0,8,0,11386,0,0,0,4,0,0.0,0,-741,185,926,48,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,82,0,0,0,0.0,4311,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,9,0,10737,0,0,0,0,0,0.0,0,-842,231,1073,48,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,35,0,0,94,0,0,0,0.0,4857,0.0,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,0,0,0,9,0,0,0,0,0,0,10,0,10292,0,0,0,3,0,0.0,0,-559,186,745,47,False,0,0
