assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,15,0,0,0,21,1,0,10,0.0,0,0,24,0,0,2,0,0,0,1.0,24,10.0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,5,0,0,0,0,3,0,1,1,220212,0,0,0,0,2,0.0,6,0,0,0,45,True,0,0
0,21,0,0,0,16,0,0,9,0.0,0,0,24,0,0,20,0,1,0,2.6,549,25.6,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,90,0,0,19,0,0,0,0,6,0,2,4,250753,0,0,0,2,1,0.0,3,3152,12926,9774,45,False,0,0
0,27,0,0,0,4,0,1,21,0.0,0,0,24,2,0,22,0,2,0,0.0,1076,0.0,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,90,0,0,8,0,0,0,0,7,0,3,1,260020,0,0,0,2,2,0.0,1,853,20007,19154,45,True,0,0
0,20,0,0,0,18,0,2,9,0.0,0,0,24,0,0,34,0,2,0,3.6,1607,35.6,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,90,0,0,6,0,0,0,0,11,0,4,4,255193,0,0,0,0,2,0.0,2,-8140,8282,16422,45,False,0,0
0,26,0,0,0,20,0,0,15,0.0,0,0,24,0,0,41,0,2,0,3.9,2144,38.8,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,90,0,0,11,0,0,0,0,13,0,5,5,261224,0,0,0,2,4,0.0,2,1741,19472,17731,45,True,0,0
0,20,0,0,0,10,0,1,12,0.0,0,0,24,0,0,53,0,4,0,0.7,2681,7.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,90,0,0,4,0,0,0,0,8,0,6,1,266485,0,0,0,0,4,0.0,0,3063,13190,10127,45,False,0,0
0,24,0,0,0,10,0,0,15,0.0,0,0,24,0,0,62,0,1,0,0.7,3219,6.8,0,2018-10-01T19:00:00Z,01 Oct 20:00,0,0,90,0,0,7,0,0,0,0,7,0,7,1,257515,0,0,0,1,2,0.0,2,-8874,2003,10877,45,True,0,0
0,21,0,0,0,25,1,1,14,0.0,0,0,24,0,0,80,0,0,0,1.5,3758,14.6,0,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,90,0,0,18,0,0,0,0,9,0,8,2,249791,0,0,0,4,0,0.0,6,-7968,1168,9136,45,False,0,0
0,27,0,0,2,29,1,0,21,0.0,0,0,24,0,1,82,0,0,0,2.1,4300,21.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,90,0,0,16,0,0,0,0,14,0,9,4,255762,0,0,0,0,0,0.0,9,2659,10335,7676,45,True,0,0
0,16,0,0,0,22,1,0,12,0.0,0,0,24,0,0,94,0,0,0,0.6,4846,6.2,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,90,0,0,9,0,0,0,0,8,0,10,1,256493,0,0,0,3,0,0.0,6,463,5945,5482,45,False,0,0
0,30,0,0,0,15,0,1,16,0.0,0,0,24,0,1,102,0,2,0,2.9,5394,29.2,0,2018-11-03T12:30:00Z,03 Nov 12:30,0,0,90,0,0,14,0,0,0,0,6,0,11,4,252291,0,0,0,2,1,0.0,2,-4639,4076,8715,45,True,0,0
0,25,0,0,0,18,0,0,22,0.0,0,0,24,0,0,119,0,2,0,4.4,5944,44.4,0,2018-11-10T15:00:00Z,10 Nov 15:00,0,0,90,0,0,15,0,0,0,0,8,0,12,5,258599,0,0,0,1,2,0.0,2,3948,8113,4165,45,False,0,0
