assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,33,0,0,0,9,0,5,22,0.7,0,0,311,0,0,7,1,2,0,4.5,311,18.4,0,2018-08-11T11:30:00Z,11 Aug 12:30,0,0,90,0,0,17,0,0,0,0,6,0,1,0,10582,1,1,1,2,1,26.0,1,0,0,0,45,True,0,0
0,40,0,0,0,25,1,7,26,0.1,0,0,311,0,0,13,0,0,0,1.7,836,16.4,0,2018-08-18T11:30:00Z,18 Aug 12:30,0,0,90,0,0,5,0,0,0,0,6,0,2,0,15091,0,1,0,0,0,0.0,6,1589,2770,1181,45,False,0,0
0,20,0,0,0,14,0,10,12,0.6,0,0,311,0,0,27,0,2,0,2.5,1363,22.2,0,2018-08-26T15:00:00Z,26 Aug 16:00,0,0,90,0,0,6,0,0,0,0,5,0,3,0,17978,0,1,0,2,1,2.0,1,1014,3115,2101,45,True,0,0
0,13,0,0,0,11,0,7,8,0.1,0,0,311,0,0,38,1,2,0,1.7,1894,16.8,0,2018-09-01T16:30:00Z,01 Sep 17:30,0,0,80,0,0,13,0,0,0,0,5,0,4,0,17708,0,1,0,1,2,0.0,1,-827,947,1774,45,False,0,0
0,15,0,0,0,15,0,1,12,0.4,0,0,311,0,0,46,0,2,1,5.7,2431,39.2,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,45,0,0,1,0,0,0,0,4,0,5,0,16876,1,0,0,2,1,17.0,6,-1114,248,1362,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,311,0,0,55,0,0,0,0.0,2968,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,0,0,0,7,0,0,0,0,0,0,6,0,18823,0,0,0,0,0,0.0,0,1265,2229,964,45,False,0,0
0,29,0,0,0,14,0,11,21,0.3,0,0,311,0,0,68,0,2,0,2.6,3506,23.6,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,90,0,0,11,0,0,0,0,4,0,7,0,17737,0,1,0,2,0,2.0,1,-1033,298,1331,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,311,0,0,77,0,0,0,0.0,4045,0.0,0,2018-10-06T16:30:00Z,06 Oct 17:30,0,0,0,0,0,14,0,0,0,0,0,0,8,0,17099,0,0,0,2,3,0.0,0,-731,160,891,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,311,0,0,88,0,0,0,0.0,4587,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,3,0,0,0,0,0,0,9,0,15232,0,0,0,1,0,0.0,0,-1877,140,2017,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,311,0,0,98,0,0,0,0.0,5133,0.0,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,10,0,14024,0,0,0,0,0,0.0,0,-1292,21,1313,45,False,0,0
