assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,2,0,0,0,0.0,41,0.0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3650,0,0,0,0,2,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,20,0,0,0,0.0,566,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,2,0,2967,0,0,0,2,1,0.0,0,-935,10,945,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,22,0,0,0,0.0,1093,0.0,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,0,0,0,8,0,0,0,0,0,0,3,0,2582,0,0,0,2,2,0.0,0,-485,12,497,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,34,0,0,0,0.0,1624,0.0,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,0,0,0,6,0,0,0,0,0,0,4,0,2490,0,0,0,0,2,0.0,0,-233,7,240,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,41,0,0,0,0.0,2161,0.0,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,0,0,0,11,0,0,0,0,0,0,5,0,2486,0,0,0,2,4,0.0,0,-186,6,192,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,53,0,0,0,0.0,2698,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,0,0,0,4,0,0,0,0,0,0,6,0,2490,0,0,0,0,4,0.0,0,-120,6,126,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,62,0,0,0,0.0,3236,0.0,0,2018-10-01T19:00:00Z,01 Oct 20:00,0,0,0,0,0,7,0,0,0,0,0,0,7,0,2467,0,0,0,1,2,0.0,0,-76,0,76,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,80,0,0,0,0.0,3775,0.0,0,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,0,0,0,18,0,0,0,0,0,0,8,0,2465,0,0,0,4,0,0.0,0,-47,1,48,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,82,0,0,0,0.0,4317,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,9,0,2481,0,0,0,0,0,0.0,0,-61,3,64,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,41,0,0,94,0,0,0,0.0,4863,0.0,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,0,0,0,9,0,0,0,0,0,0,10,0,2470,0,0,0,3,0,0.0,0,-42,3,45,45,False,0,0
