assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,12,0,0,0,3,0,0,10,23.2,0,0,524,0,0,9,0,0,0,2.8,524,4.4,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,16,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0.0,1,0,0,0,45,True,0,0
0,0,0,0,0,1,0,0,0,0.0,0,0,524,0,0,12,1,0,0,0.0,1049,0.0,0,2018-08-19T12:30:00Z,19 Aug 13:30,0,0,1,1,0,4,0,0,0,0,0,0,2,0,25782,0,0,0,3,1,0.0,1,10081,14813,4732,45,False,0,0
0,0,0,0,0,3,0,0,0,0.0,0,0,524,0,0,29,0,0,0,1.0,1576,3.0,0,2018-08-26T12:30:00Z,26 Aug 13:30,0,0,1,0,0,7,0,0,0,0,0,0,3,0,43873,0,0,0,1,2,7.0,1,10980,21597,10617,45,True,0,0
0,8,0,0,0,-4,0,1,6,2.3,0,0,524,0,0,39,2,0,0,0.6,2107,0.0,0,2018-09-02T15:00:00Z,02 Sep 16:00,0,0,20,0,0,17,0,0,0,0,1,0,4,0,63285,2,0,0,1,2,4.0,0,12207,24436,12229,45,True,0,1
0,2,0,0,0,3,0,0,2,0.3,1,0,524,0,0,49,0,0,0,0.3,2644,1.0,0,2018-09-15T16:30:00Z,15 Sep 17:30,0,0,2,0,0,14,0,0,0,0,1,0,5,0,77899,1,0,0,2,1,2.0,1,9621,24390,14769,45,True,0,0
0,4,0,0,0,1,0,0,3,1.3,0,0,524,0,0,56,0,0,0,3.5,3181,1.0,0,2018-09-22T11:30:00Z,22 Sep 12:30,0,0,10,1,0,9,0,0,0,0,1,0,6,0,90285,0,0,1,1,1,33.0,1,9293,20683,11390,45,False,0,0
0,2,0,2,0,-5,0,0,2,1.3,0,0,524,0,0,61,1,2,0,2.3,3719,0.0,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,18,1,0,1,0,0,0,0,1,0,7,0,93145,1,1,1,0,2,22.0,1,2313,11583,9270,45,False,0,0
0,9,0,0,0,4,0,0,7,0.9,0,0,524,0,0,80,0,0,0,0.5,4258,4.2,0,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,35,0,0,2,0,0,0,0,3,0,8,0,101736,0,0,0,4,0,0.0,1,6406,15519,9113,45,True,0,0
0,28,1,0,0,6,1,2,25,17.4,1,0,524,0,0,90,2,0,0,2.4,4800,2.4,1,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,74,1,0,20,0,0,0,0,5,0,9,0,103178,3,0,1,2,0,4.0,2,575,14162,13587,45,False,0,0
0,42,0,0,0,32,1,1,29,38.3,0,0,524,0,0,100,3,0,1,12.8,5346,42.4,3,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,82,0,0,10,0,0,0,0,5,0,10,0,119724,3,3,2,0,3,47.0,6,14007,22798,8791,45,True,0,0
0,22,1,0,0,13,0,1,17,33.7,2,0,524,0,0,108,0,1,0,9.8,5894,13.2,3,2018-11-03T15:00:00Z,03 Nov 15:00,0,0,84,1,0,15,0,0,0,0,10,0,11,0,194544,3,0,0,0,1,51.0,2,69810,79544,9734,46,False,0,0
0,33,0,0,0,9,0,1,23,25.6,1,0,524,0,0,120,2,1,0,5.6,6444,10.6,2,2018-11-10T15:00:00Z,10 Nov 15:00,0,0,90,3,0,16,0,0,0,0,6,0,12,0,210787,1,2,0,1,1,20.0,2,17446,33518,16072,46,False,0,0
0,11,0,0,0,3,0,0,6,10.9,0,0,524,0,0,128,0,3,0,1.5,6996,0.2,1,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,33,0,0,12,0,0,0,0,2,0,13,0,219547,0,0,1,3,0,4.0,1,7045,28613,21568,46,True,0,0
0,34,0,1,0,-5,0,1,23,17.1,1,0,524,0,0,136,2,2,0,3.5,7549,1.8,1,2018-12-01T15:00:00Z,01 Dec 15:00,0,0,90,0,0,11,0,0,0,0,5,0,14,0,228059,7,1,1,0,2,16.0,1,7817,20255,12438,46,False,0,1
0,14,0,0,0,9,0,1,7,14.7,1,0,524,0,0,146,2,2,0,4.2,8105,9.6,1,2018-12-04T20:00:00Z,04 Dec 20:00,0,0,74,0,1,13,0,0,0,0,2,0,15,0,226442,1,2,1,2,1,18.0,2,-1349,15922,17271,46,True,0,0
0,12,0,0,0,5,0,2,7,10.7,2,0,524,0,0,156,2,1,0,2.8,8663,5.4,1,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,73,1,0,8,0,0,0,0,1,0,16,0,220069,2,0,0,2,2,12.0,2,-6187,12359,18546,46,False,0,0
0,10,0,0,0,3,0,0,7,12.2,0,0,524,0,0,169,0,2,0,1.9,9222,2.6,1,2018-12-15T15:00:00Z,15 Dec 15:00,0,0,13,0,0,5,0,0,0,0,1,0,17,0,232666,1,0,0,2,3,4.0,1,9041,23060,14019,46,True,0,0
0,6,0,0,0,3,0,1,5,0.8,0,0,524,0,0,179,0,0,0,0.3,9784,2.0,0,2018-12-22T15:00:00Z,22 Dec 15:00,0,0,4,0,0,19,0,0,0,0,1,0,18,0,221195,0,0,0,2,0,0.0,1,-11059,9325,20384,46,False,0,0
0,1,0,0,0,2,0,0,1,0.3,0,0,524,0,0,190,0,0,0,0.8,10349,0.0,0,2018-12-26T19:30:00Z,26 Dec 19:30,0,0,8,0,0,6,0,0,0,0,1,0,19,0,215868,0,0,1,2,1,10.0,1,-5996,12569,18565,46,True,0,0
0,27,0,0,0,4,0,0,18,13.8,2,0,524,0,0,200,2,1,0,7.1,10917,8.8,1,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,15,0,0,0,0,2,0,20,0,218766,4,1,1,1,1,48.0,2,1335,14368,13033,46,True,0,0
0,2,0,0,0,3,0,0,2,1.3,0,0,524,0,0,202,0,0,0,0.1,11485,0.0,0,2019-01-02T19:45:00Z,02 Jan 19:45,0,0,1,0,0,2,0,0,0,0,1,0,21,0,232239,0,0,0,3,3,0.0,1,12387,34136,21749,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,524,0,0,215,0,0,0,0.0,12055,0.0,0,2019-01-12T15:00:00Z,12 Jan 15:00,0,0,0,0,0,7,0,0,0,0,0,0,22,0,231553,0,0,0,2,1,0.0,0,-2206,26329,28535,46,False,0,0
0,5,0,0,0,2,0,0,4,10.7,0,0,524,0,0,229,1,0,0,1.2,12629,1.2,1,2019-01-19T15:00:00Z,19 Jan 15:00,0,0,34,1,0,4,0,0,0,0,0,0,23,0,215775,0,0,0,0,0,0.0,1,-15617,14542,30159,46,True,0,0
0,6,0,1,0,-4,0,0,4,10.3,1,0,524,0,0,240,0,2,0,1.5,13208,0.2,1,2019-01-30T20:00:00Z,30 Jan 20:00,0,0,29,1,0,17,0,0,0,0,2,0,24,0,214448,1,0,1,1,2,4.0,0,-2584,15521,18105,46,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,524,0,0,241,0,0,0,0.0,13844,0.0,0,2019-02-02T15:00:00Z,02 Feb 15:00,0,0,0,0,0,3,0,0,0,0,0,0,25,0,212889,0,0,0,0,0,0.0,0,-2407,12546,14953,46,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,524,0,0,259,0,0,0,0.0,14445,0.0,0,2019-02-09T15:00:00Z,09 Feb 15:00,0,0,0,0,0,8,0,0,0,0,0,0,26,0,185309,0,0,0,0,1,0.0,0,-26344,2715,29059,46,True,0,0
