assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,6,0,0,0,0.0,520,0.0,0,2018-08-10T19:00:00Z,10 Aug 20:00,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0.0,0,0,0,0,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,11,0,0,0,0.0,1045,0.0,0,2018-08-19T15:00:00Z,19 Aug 16:00,0,0,0,0,0,3,0,0,0,0,0,0,2,0,450,0,0,0,2,3,0.0,0,47,67,20,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,26,0,0,0,0.0,1572,0.0,0,2018-08-27T19:00:00Z,27 Aug 20:00,0,0,0,0,0,17,0,0,0,0,0,0,3,0,594,0,0,0,3,0,0.0,0,-21,56,77,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,32,0,0,0,0.0,2103,0.0,0,2018-09-02T15:00:00Z,02 Sep 16:00,0,0,0,0,0,4,0,0,0,0,0,0,4,0,709,0,0,0,2,0,0.0,0,-4,65,69,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,49,0,0,0,0.0,2640,0.0,0,2018-09-15T16:30:00Z,15 Sep 17:30,0,0,0,0,0,18,0,0,0,0,0,0,5,0,840,0,0,0,2,1,0.0,0,-10,64,74,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,59,0,0,0,0.0,3177,0.0,0,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,0,0,0,20,0,0,0,0,0,0,6,0,864,0,0,0,1,1,0.0,0,-23,25,48,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,69,0,0,0,0.0,3715,0.0,0,2018-09-29T11:30:00Z,29 Sep 12:30,0,0,0,0,0,19,0,0,0,0,0,0,7,0,900,0,0,0,1,3,0.0,0,-15,22,37,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,77,0,0,0,0.0,4254,0.0,0,2018-10-06T16:30:00Z,06 Oct 17:30,0,0,0,0,0,15,0,0,0,0,0,0,8,0,949,0,0,0,2,3,0.0,0,-1,37,38,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,84,0,0,0,0.0,4796,0.0,0,2018-10-20T11:30:00Z,20 Oct 12:30,0,0,0,0,0,6,0,0,0,0,0,0,9,0,1002,0,0,0,2,2,0.0,0,-9,42,51,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,97,0,0,0,0.0,5342,0.0,0,2018-10-28T16:00:00Z,28 Oct 16:00,0,0,0,0,0,8,0,0,0,0,0,0,10,0,1016,0,0,0,1,2,0.0,0,-19,15,34,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,520,0,0,102,0,0,0,0.0,5890,0.0,0,2018-11-03T12:30:00Z,03 Nov 12:30,0,0,0,0,0,2,0,0,0,0,0,0,11,0,1031,0,0,0,2,1,0.0,0,-18,16,34,50,False,0,0
