assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,32,0,0,1,33,1,8,30,0.1,0,0,143,0,0,3,0,0,0,1.9,143,18.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,9,0,0,0,0,5,0,1,0,67303,0,2,0,2,0,0.0,7,0,0,0,50,False,0,0
0,39,0,0,0,13,0,6,37,0.3,1,0,143,0,0,15,1,2,0,1.1,668,10.8,0,2018-08-20T19:00:00Z,20 Aug 20:00,0,0,90,0,0,12,0,1,0,0,6,0,2,0,83156,1,0,0,2,0,0.0,1,694,5381,4687,50,True,0,0
0,36,0,0,2,21,0,7,34,10.4,0,0,143,0,0,29,0,2,0,3.5,1195,24.6,1,2018-08-26T12:30:00Z,26 Aug 13:30,0,0,90,0,0,18,0,0,0,0,5,0,3,0,86968,0,2,0,1,2,0.0,3,-1189,5887,7076,50,False,0,0
0,49,0,0,0,16,0,6,45,0.8,1,0,143,0,0,35,0,2,0,2.3,1726,22.6,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,90,0,0,16,0,0,0,0,4,0,4,0,90614,1,0,0,2,0,0.0,1,248,6634,6386,50,True,0,0
0,54,0,0,2,27,1,8,47,0.3,0,0,143,0,0,44,0,0,0,2.3,2263,22.6,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,90,0,0,10,0,0,0,0,5,0,5,0,85338,0,0,0,1,0,0.0,8,-6469,1807,8276,50,False,0,0
0,66,0,1,0,23,1,3,57,11.9,0,0,143,0,0,55,0,0,0,3.3,2800,11.8,1,2018-09-22T14:00:00Z,22 Sep 15:00,0,0,90,0,0,15,0,0,0,0,12,0,6,0,94251,1,0,1,0,0,9.0,6,5983,9354,3371,50,True,0,0
0,73,0,0,0,9,0,8,62,1.1,0,0,143,0,0,62,1,2,0,1.5,3338,14.0,0,2018-10-01T19:00:00Z,01 Oct 20:00,0,0,90,0,0,2,0,1,0,0,8,0,7,0,100643,0,0,0,1,2,0.0,0,4593,8002,3409,50,False,0,1
0,102,0,0,0,19,0,4,90,11.5,0,0,143,0,0,73,0,1,0,3.7,3877,23.0,1,2018-10-06T14:00:00Z,06 Oct 15:00,0,0,90,0,0,20,0,0,0,0,12,0,8,0,97676,0,1,0,1,0,2.0,2,-3090,2347,5437,50,True,0,0
0,39,0,0,0,18,0,8,34,0.1,1,0,143,0,0,85,1,2,0,2.6,4419,23.6,0,2018-10-21T15:00:00Z,21 Oct 16:00,0,0,90,0,0,8,0,0,0,0,7,0,9,0,93235,0,1,0,0,2,2.0,1,-5252,1589,6841,50,False,0,0
0,51,0,0,0,16,0,3,50,0.8,0,0,143,0,0,93,0,2,0,1.6,4965,15.0,0,2018-10-28T13:30:00Z,28 Oct 13:30,0,0,90,0,0,1,0,0,0,0,10,0,10,0,88264,0,0,0,2,2,0.0,1,-5208,371,5579,50,True,0,0
