assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,3,0,0,0,0.0,187,0.0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,7,0,0,0,0,0,0,1,0,5634,0,0,0,2,0,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,19,0,0,0,0.0,712,0.0,0,2018-08-18T14:00:00Z,18 Aug 15:00,0,0,0,0,0,17,0,0,0,0,0,0,2,0,5330,0,0,0,1,3,0.0,0,-618,104,722,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,23,0,0,0,0.0,1239,0.0,0,2018-08-26T15:00:00Z,26 Aug 16:00,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4771,0,0,0,2,4,0.0,0,-669,131,800,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,31,0,0,0,0.0,1770,0.0,0,2018-09-01T14:00:00Z,01 Sep 15:00,0,0,0,0,0,3,0,0,0,0,0,0,4,0,5030,0,0,0,2,2,0.0,0,-109,1056,1165,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,45,0,0,0,0.0,2307,0.0,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,0,0,0,13,0,0,0,0,0,0,5,0,4210,0,0,0,0,3,0.0,0,-777,100,877,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,56,0,0,0,0.0,2844,0.0,0,2018-09-22T11:30:00Z,22 Sep 12:30,0,0,0,0,0,18,0,0,0,0,0,0,6,0,3815,0,0,0,1,1,0.0,0,-411,43,454,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,65,0,0,0,0.0,3382,0.0,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,0,0,0,8,0,0,0,0,0,0,7,0,3591,0,0,0,0,3,0.0,0,-248,22,270,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,74,0,0,0,0.0,3921,0.0,0,2018-10-07T11:00:00Z,07 Oct 12:00,0,0,0,0,0,1,0,0,0,0,0,0,8,0,3450,0,0,0,5,1,0.0,0,-161,19,180,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,83,0,0,0,0.0,4463,0.0,0,2018-10-20T14:00:00Z,20 Oct 15:00,0,0,0,0,0,5,0,0,0,0,0,0,9,0,3372,0,0,0,2,4,0.0,0,-97,95,192,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,94,0,0,0,0.0,5009,0.0,0,2018-10-27T14:00:00Z,27 Oct 15:00,0,0,0,0,0,2,0,0,0,0,0,0,10,0,3324,0,0,0,3,0,0.0,0,-68,47,115,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,106,0,0,0,0.0,5557,0.0,0,2018-11-05T20:00:00Z,05 Nov 20:00,0,0,0,0,0,10,0,0,0,0,0,0,11,0,3226,0,0,0,0,1,0.0,0,-97,46,143,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,117,0,0,0,0.0,6107,0.0,0,2018-11-11T12:00:00Z,11 Nov 12:00,0,0,0,0,0,12,0,0,0,0,0,0,12,0,3189,0,0,0,0,2,0.0,0,-45,43,88,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,125,0,0,0,0.0,6659,0.0,0,2018-11-24T15:00:00Z,24 Nov 15:00,0,0,0,0,0,16,0,0,0,0,0,0,13,0,3142,0,0,0,2,3,0.0,0,-59,51,110,44,True,0,0
0,3,0,0,0,2,0,1,3,0.6,0,0,187,0,0,133,0,1,0,0.5,7212,2.0,0,2018-12-02T12:00:00Z,02 Dec 12:00,0,0,14,0,0,6,0,0,0,0,1,0,14,0,3122,1,0,0,0,2,2.0,1,-17,33,50,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,144,0,0,0,0.0,7768,0.0,0,2018-12-05T19:45:00Z,05 Dec 19:45,0,0,0,0,0,11,0,0,0,0,0,0,15,0,3099,0,0,0,1,1,0.0,0,-26,30,56,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,158,0,0,0,0.0,8326,0.0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,3077,0,0,0,1,4,0.0,0,-26,13,39,44,False,0,0
0,6,0,0,0,5,0,0,4,0.8,1,0,187,0,0,163,0,0,0,0.4,8885,3.0,0,2018-12-15T17:30:00Z,15 Dec 17:30,0,0,13,0,0,19,0,0,0,0,1,0,17,0,3044,1,1,0,2,0,0.0,1,-48,29,77,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,178,0,0,0,0.0,9447,0.0,0,2018-12-22T15:00:00Z,22 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,18,0,3013,0,0,0,0,0,0.0,0,-38,26,64,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,184,0,0,0,0.0,10012,0.0,0,2018-12-26T12:30:00Z,26 Dec 12:30,0,0,0,0,0,20,0,0,0,0,0,0,19,0,2985,0,0,0,1,1,0.0,0,-31,25,56,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,194,0,0,0,0.0,10580,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,20,0,2937,0,0,0,0,1,0.0,0,-53,21,74,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,187,0,0,201,0,0,0,0.0,11148,0.0,0,2019-01-01T15:00:00Z,01 Jan 15:00,0,0,0,0,0,1,0,0,0,0,0,0,21,0,2898,0,0,0,1,4,0.0,0,-49,25,74,43,False,0,0
0,7,0,0,0,4,0,0,5,5.1,1,0,187,0,0,212,0,0,0,1.1,11718,3.4,0,2019-01-12T15:00:00Z,12 Jan 15:00,0,0,13,0,1,4,0,0,0,0,0,0,22,0,2879,1,0,0,1,2,2.0,1,-37,70,107,43,False,0,0
