assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,1,0,0,0,0.0,6,0.0,0,2018-08-12T15:00:00Z,12 Aug 16:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,29752,0,0,0,2,0,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,14,0,0,0,0.0,531,0.0,0,2018-08-18T16:30:00Z,18 Aug 17:30,0,0,0,0,0,6,0,0,0,0,0,0,2,0,34584,0,0,0,2,3,0.0,0,-3242,1182,4424,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,21,0,0,0,0.0,1058,0.0,0,2018-08-25T14:00:00Z,25 Aug 15:00,0,0,0,0,0,19,0,0,0,0,0,0,3,0,31627,0,0,0,1,3,0.0,0,-4118,658,4776,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,33,0,0,0,0.0,1589,0.0,0,2018-09-02T12:30:00Z,02 Sep 13:30,0,0,0,0,0,5,0,0,0,0,0,0,4,0,29855,0,0,0,3,2,0.0,0,-2865,377,3242,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,46,0,0,0,0.0,2126,0.0,0,2018-09-15T14:00:00Z,15 Sep 15:00,0,0,0,0,0,15,0,0,0,0,0,0,5,0,28592,0,0,0,2,1,0.0,0,-1982,298,2280,44,False,0,0
0,36,0,0,0,9,0,6,31,0.5,0,0,6,0,0,51,1,0,0,1.3,2663,12.0,0,2018-09-23T15:00:00Z,23 Sep 16:00,0,0,51,0,0,8,0,0,0,0,4,0,6,0,27951,1,0,0,0,2,0.0,1,-1096,194,1290,44,True,0,0
0,45,0,0,3,31,1,10,40,0.9,1,0,6,0,0,61,0,0,0,2.6,3201,23.0,0,2018-09-29T14:00:00Z,29 Sep 15:00,0,0,90,0,0,18,0,0,0,0,9,0,7,0,27855,0,0,0,0,2,2.0,9,-516,487,1003,44,True,0,0
0,61,0,0,0,15,0,5,51,0.0,0,0,6,0,0,74,1,1,0,2.3,3740,23.0,0,2018-10-07T11:00:00Z,07 Oct 12:00,0,0,90,0,0,9,0,0,0,0,6,0,8,0,31920,0,1,0,5,1,0.0,2,3076,3896,820,44,False,0,0
0,61,0,0,0,8,0,3,53,0.3,1,0,6,0,0,81,1,1,0,2.6,4282,18.8,0,2018-10-22T19:00:00Z,22 Oct 20:00,0,0,90,0,0,11,0,0,0,0,3,0,9,0,35317,0,0,1,1,3,7.0,1,2838,4259,1421,44,True,0,1
0,73,0,0,0,15,0,7,66,0.9,0,0,6,0,0,93,0,2,0,1.8,4828,14.6,0,2018-10-28T13:30:00Z,28 Oct 13:30,0,0,90,0,0,7,0,0,0,0,2,0,10,0,37179,0,0,0,2,2,2.0,1,1489,2794,1305,44,False,0,0
0,82,0,0,2,23,0,10,75,0.8,0,0,6,0,0,101,0,1,0,3.5,5376,34.4,0,2018-11-03T17:30:00Z,03 Nov 17:30,0,0,90,0,0,12,0,0,0,0,6,0,11,0,37398,0,2,0,1,1,0.0,4,-16,1739,1755,44,True,0,0
0,90,0,0,0,15,0,2,85,1.0,1,0,6,0,0,111,1,1,0,2.3,5926,21.6,0,2018-11-11T16:30:00Z,11 Nov 16:30,0,0,90,0,0,20,0,0,0,0,11,0,12,0,48849,1,0,0,1,1,0.0,2,9765,10810,1045,44,True,0,0
