name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron_Connolly_534,0,0,2,0,0.6,534,63,1,0,0.1,0.2,2019-09-28T14:00:00Z,25,6,0,0,0,0,7,0,32699,0,2,0.0,1,8437,13439,5002,45,False,0
Aaron_Cresswell_376,0,0,20,0,3.9,376,62,2,1,8.8,40.8,2019-09-28T14:00:00Z,90,3,0,0,0,0,7,0,46782,2,2,43.0,7,22176,24766,2590,49,False,0
Aaron_Lennon_430,0,0,0,0,0.0,430,61,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,2,0,0,0,0,7,0,7381,2,2,0.0,0,-471,223,694,48,False,0
Aaron_Mooy_516,0,0,9,0,0.8,516,63,1,0,2.7,26.2,2019-09-28T14:00:00Z,64,6,0,0,0,0,7,0,11427,0,2,0.0,2,-538,357,895,49,False,0
Aaron_Ramsdale_494,0,0,17,0,0.0,494,62,2,0,3.0,30.2,2019-09-28T14:00:00Z,90,19,0,0,0,0,7,4,51706,2,2,0.0,2,21429,25623,4194,45,True,0
Aaron_Wan-Bissaka_122,0,0,0,0,0.0,122,67,0,0,0.0,0.0,2019-09-30T19:00:00Z,0,1,0,0,0,0,7,0,1608509,1,1,0.0,0,-143055,19950,163005,55,True,0
Abdoulaye_Doucouré_368,0,0,16,0,5.3,368,70,2,0,3.1,16.6,2019-09-28T14:00:00Z,90,20,0,0,0,0,7,0,74127,0,2,9.0,2,-8077,670,8747,57,False,0
Adama_Traoré_417,0,0,9,1,20.5,417,70,0,0,4.3,14.8,2019-09-28T14:00:00Z,86,18,0,0,0,0,7,0,27065,0,2,8.0,3,3405,5359,1954,50,True,0
Adam_Idah_538,0,0,0,0,0.0,538,64,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,7,0,0,0,0,7,0,5915,0,2,0.0,0,2037,2974,937,45,False,0
Adam_Lallana_195,0,0,0,0,0.0,195,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,15,0,0,0,0,7,0,7518,1,0,0.0,0,-205,201,406,58,False,0
Adam_Masina_355,0,0,0,0,0.0,355,70,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,20,0,0,0,0,7,0,4312,0,2,0.0,0,-197,26,223,44,False,0
