assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,543,56,0,0,0.0,0.0,2019-09-21T11:30:00Z,0,9,0,0,0,0,6,0,0,1,2,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,543,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,16,0,0,0,0,7,0,11614,1,2,0.0,0,7377,8129,752,40,True,0
0,0,0,0,0.0,543,72,0,0,0.0,0.0,2019-10-05T11:30:00Z,0,4,0,0,0,0,8,0,17278,0,3,0.0,0,3735,4819,1084,40,False,0
0,0,0,0,0.0,543,89,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,18,0,0,0,0,9,0,20188,1,1,0.0,0,2501,3859,1358,40,True,0
0,0,0,0,0.0,543,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,10,0,0,0,0,10,0,21172,1,2,0.0,0,720,1398,678,40,False,0
0,0,0,0,0.0,543,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,8,0,0,0,0,11,0,23624,1,1,0.0,0,1387,2307,920,40,False,0
0,0,0,0,0.0,543,119,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,15,0,0,0,0,12,0,25089,1,1,0.0,0,772,1718,946,40,True,0
0,0,0,0,0.0,543,130,0,0,0.0,0.0,2019-11-23T12:30:00Z,0,19,0,0,0,0,13,0,28111,3,2,0.0,0,1787,2982,1195,40,False,0
0,0,0,0,0.0,543,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,3,0,0,0,0,14,0,29392,2,3,0.0,0,1043,2004,961,40,True,0
0,0,0,0,0.0,543,144,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,12,0,0,0,0,15,0,29794,1,2,0.0,0,344,1105,761,40,False,0
0,0,0,0,0.0,543,158,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,5,0,0,0,0,16,0,30509,0,5,0.0,0,389,1198,809,40,True,0
0,0,0,0,0.0,543,170,0,0,0.0,0.0,2019-12-15T14:00:00Z,0,20,0,0,0,0,17,0,32022,2,1,0.0,0,623,1886,1263,40,False,0
0,0,0,0,0.0,543,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,6,0,0,0,0,18,0,34653,2,0,0.0,0,716,1746,1030,40,True,0
0,0,0,0,0.0,543,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,34627,1,2,0.0,0,679,1487,808,40,True,0
0,0,0,0,0.0,543,197,0,0,0.0,0.0,2019-12-28T17:30:00Z,0,14,0,0,0,0,20,0,35748,2,2,0.0,0,709,1343,634,40,False,0
0,0,0,0,0.0,543,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,16,0,0,0,0,21,0,37868,0,1,0.0,0,1620,2848,1228,40,False,0
0,0,0,0,0.0,543,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,10,0,0,0,0,22,0,40238,1,0,0.0,0,1637,2896,1259,40,True,0
0,0,0,0,0.0,543,229,0,0,0.0,0.0,2020-01-18T12:30:00Z,0,18,0,0,0,0,23,0,41263,0,0,0.0,0,647,1884,1237,40,False,0
0,0,0,0,0.0,543,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,14,0,0,0,0,24,0,40509,1,2,0.0,0,-784,424,1208,40,True,0
0,0,0,0,0.0,543,248,0,0,0.0,0.0,2020-02-02T16:30:00Z,0,11,0,0,0,0,25,0,39767,0,2,0.0,0,-801,463,1264,40,True,0
0,0,0,0,0.0,543,252,0,0,0.0,0.0,2020-02-16T14:00:00Z,0,2,0,0,0,0,26,0,39279,3,2,0.0,0,-586,270,856,40,False,0
0,0,0,0,0.0,543,263,0,0,0.0,0.0,2020-02-22T12:30:00Z,0,6,0,0,0,0,27,0,38980,1,2,0.0,0,-422,224,646,40,False,0
0,0,0,0,0.0,543,278,0,0,0.0,0.0,2020-03-01T14:00:00Z,0,20,0,0,0,0,28,0,38564,3,2,0.0,0,-521,149,670,40,True,0
0,0,0,0,0.0,543,282,0,0,0.0,0.0,2020-03-07T17:30:00Z,0,5,0,0,0,0,29,0,38206,1,1,0.0,0,-379,192,571,40,False,0
0,0,0,0,0.0,543,298,0,0,0.0,0.0,2020-06-19T19:15:00Z,0,12,0,0,0,0,39,0,36350,1,1,0.0,0,-1735,438,2173,40,True,0
0,0,0,0,0.0,543,309,0,0,0.0,0.0,2020-06-23T19:15:00Z,0,19,0,0,0,0,40,0,36040,0,2,0.0,0,-424,138,562,40,True,0
0,0,0,0,0.0,543,318,0,0,0.0,0.0,2020-07-02T17:00:00Z,0,15,0,0,0,0,41,0,35860,1,3,0.0,0,-218,89,307,40,False,0
0,0,0,0,0.0,543,329,0,0,0.0,0.0,2020-07-06T19:00:00Z,0,8,0,0,0,0,42,0,35720,0,1,0.0,0,-189,118,307,40,True,0
0,0,0,0,0.0,543,333,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,3,0,0,0,0,43,0,35574,0,0,0.0,0,-177,66,243,40,False,0
0,0,0,0,0.0,543,348,0,0,0.0,0.0,2020-07-12T15:30:00Z,0,1,0,0,0,0,44,0,35426,1,2,0.0,0,-205,86,291,40,True,0
0,0,0,0,0.0,543,358,0,0,0.0,0.0,2020-07-15T17:00:00Z,0,13,0,0,0,0,45,0,35345,3,1,0.0,0,-154,98,252,40,False,0
0,0,0,0,0.0,543,368,0,0,0.0,0.0,2020-07-19T15:00:00Z,0,9,0,0,0,0,46,0,35152,0,3,0.0,0,-195,73,268,40,True,0
0,0,0,0,0.0,543,374,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,7,0,0,0,0,47,0,34975,1,1,0.0,0,-232,150,382,40,False,0
