assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,253,10,0,0,0.0,0.0,2019-08-11T13:00:00Z,0,1,0,0,0,0,1,0,3395,1,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,253,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,14,0,0,0,0,2,0,3231,1,3,0.0,0,-439,80,519,45,False,0
0,0,0,0,0.0,253,28,0,0,0.0,0.0,2019-08-25T15:30:00Z,0,17,0,0,0,0,3,0,2929,1,0,0.0,0,-377,55,432,45,False,0
0,0,0,0,0.0,253,38,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,18,0,0,0,0,4,0,2702,1,1,0.0,0,-266,41,307,45,True,0
0,0,0,0,0.0,253,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,10,0,0,0,0,5,0,2494,1,3,0.0,0,-246,36,282,44,False,0
0,0,0,0,0.0,253,58,0,0,0.0,0.0,2019-09-21T16:30:00Z,0,4,0,0,0,0,6,0,2434,0,0,0.0,0,-90,34,124,44,True,0
0,0,3,0,0.3,253,66,1,0,0.2,1.2,2019-09-29T15:30:00Z,16,9,0,0,0,0,7,0,2439,0,5,0.0,1,-49,81,130,44,False,0
0,0,18,1,5.0,253,76,0,0,1.7,7.8,2019-10-06T15:30:00Z,90,12,0,0,0,0,8,0,2724,0,1,4.0,5,130,210,80,44,True,1
0,0,13,0,7.4,253,83,1,0,2.6,18.8,2019-10-19T14:00:00Z,90,6,0,0,0,0,9,0,3447,0,1,0.0,2,501,620,119,44,False,0
0,0,12,0,18.3,253,96,1,0,2.7,8.2,2019-10-27T14:00:00Z,90,20,0,0,0,0,10,0,4354,1,1,0.0,2,746,898,152,44,True,0
0,0,4,0,0.8,253,110,2,0,1.1,10.0,2019-11-02T15:00:00Z,90,19,0,0,0,0,11,0,5613,3,2,0.0,1,1020,1309,289,44,False,0
0,0,20,0,0.8,253,116,1,1,8.0,44.2,2019-11-09T15:00:00Z,90,3,0,0,0,0,12,0,6148,1,2,35.0,8,414,751,337,44,True,0
