assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,31,1,4.8,211,8,0,1,8.0,33.4,2019-08-10T11:30:00Z,68,19,0,0,0,0,1,0,126424,5,0,42.0,6,0,0,0,95,False,0
0,0,3,0,0.8,211,16,0,0,4.7,0.0,2019-08-17T16:30:00Z,24,17,0,0,0,0,2,0,186375,2,2,48.0,1,8297,28060,19763,95,True,0
0,0,0,0,0.0,211,22,0,0,0.0,0.0,2019-08-25T13:00:00Z,0,3,0,0,0,0,3,0,182336,3,1,0.0,0,-13895,18468,32363,95,False,0
0,0,0,0,0.0,211,37,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,4,0,0,0,0,4,0,116769,0,4,0.0,0,-66005,2743,68748,95,True,0
1,0,14,0,12.8,211,46,0,0,8.5,22.8,2019-09-14T16:30:00Z,33,14,0,0,0,0,5,0,100103,2,3,49.0,4,-20271,1160,21431,95,False,0
0,0,0,0,0.0,211,57,0,0,0.0,0.0,2019-09-21T14:00:00Z,0,18,0,0,0,0,6,0,100259,0,8,0.0,0,-2827,2062,4889,95,True,0
0,0,26,0,6.7,211,65,1,1,9.6,30.4,2019-09-28T16:30:00Z,65,8,0,0,0,0,7,0,97812,3,1,59.0,6,-4420,1914,6334,95,False,0
0,0,2,0,2.3,211,75,2,0,1.2,0.0,2019-10-06T13:00:00Z,15,20,0,0,0,0,8,0,102835,2,0,10.0,1,2471,5231,2760,95,True,0
0,1,33,1,24.5,211,84,0,1,19.8,45.8,2019-10-19T16:30:00Z,90,7,0,0,0,0,9,0,102174,2,0,128.0,7,-2147,2539,4686,95,False,0
1,0,7,1,23.6,211,95,0,0,7.7,5.4,2019-10-26T11:30:00Z,90,2,0,0,0,0,10,0,113826,0,3,48.0,5,9503,11859,2356,95,True,0
0,0,1,0,12.8,211,107,0,0,4.6,6.4,2019-11-02T15:00:00Z,45,16,0,0,0,0,11,0,127434,1,2,27.0,1,11204,17840,6636,95,True,0
0,0,-1,0,0.7,211,114,0,0,0.2,0.0,2019-11-10T16:30:00Z,19,10,0,0,0,0,12,0,113917,1,3,2.0,0,-13041,1518,14559,95,False,1
0,0,1,0,1.3,211,127,0,0,0.0,0.0,2019-11-23T17:30:00Z,13,6,0,0,0,0,13,0,107672,1,2,0.0,1,-8032,1649,9681,95,True,0
0,0,1,0,12.6,211,136,1,0,12.2,9.2,2019-11-30T12:30:00Z,83,13,0,0,0,0,14,0,209419,2,2,100.0,2,95637,100816,5179,95,False,0
0,3,53,0,1.5,211,142,1,2,13.2,66.8,2019-12-03T20:15:00Z,90,5,0,0,0,0,15,0,209848,4,1,64.0,13,3410,18155,14745,96,False,0
0,0,1,0,3.9,211,155,2,0,6.0,2.2,2019-12-07T17:30:00Z,90,12,0,0,0,0,16,0,266801,2,1,54.0,2,52758,64091,11333,96,True,0
1,0,11,1,12.9,211,161,0,0,6.2,23.6,2019-12-15T16:30:00Z,90,1,0,0,0,0,17,0,243491,3,0,25.0,5,-22827,22638,45465,96,False,0
