assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,446,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,8835,1,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,446,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,8295,2,1,0.0,0,-1508,101,1609,45,False,0
0,0,0,0,0.0,446,22,0,0,0.0,0.0,2019-08-25T13:00:00Z,0,11,0,0,0,0,3,0,7388,3,1,0.0,0,-1184,193,1377,44,True,0
0,0,0,0,0.0,446,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,9,0,0,0,0,4,0,6949,1,3,0.0,0,-693,127,820,44,False,0
0,0,15,0,1.4,446,42,1,0,1.6,14.6,2019-09-15T13:00:00Z,90,8,0,0,0,0,5,0,6684,1,3,0.0,2,-512,191,703,44,True,0
0,0,6,0,0.8,446,59,1,0,1.7,15.8,2019-09-20T19:00:00Z,90,16,0,0,0,0,6,0,7053,3,1,0.0,1,220,486,266,44,False,1
0,0,16,0,11.5,446,62,2,0,3.3,19.2,2019-09-28T14:00:00Z,88,19,0,0,0,0,7,0,7243,2,2,2.0,1,50,418,368,44,True,0
0,0,3,0,1.0,446,71,1,0,3.4,16.2,2019-10-06T13:00:00Z,78,1,0,0,0,0,8,0,7206,0,1,17.0,1,-116,168,284,44,False,1
0,0,0,0,0.0,446,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,14,0,0,0,0,9,0,7245,0,0,0.0,0,-61,229,290,44,True,0
0,0,0,0,0.0,446,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,18,0,0,0,0,10,0,6998,0,0,0.0,0,-287,37,324,44,False,0
0,0,0,0,0.0,446,103,0,0,0.0,0.0,2019-11-02T12:30:00Z,0,12,0,0,0,0,11,0,6785,0,1,0.0,0,-268,61,329,43,True,0
0,0,0,0,0.0,446,116,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,13,0,0,0,0,12,0,6601,1,2,0.0,0,-231,56,287,43,False,0
0,0,0,0,0.0,446,123,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,20,0,0,0,0,13,0,6435,2,1,0.0,0,-213,74,287,43,True,0
0,0,10,0,2.7,446,139,3,0,1.9,10.0,2019-11-30T15:00:00Z,90,17,0,0,0,0,14,0,6326,2,3,6.0,1,-157,24,181,43,False,0
0,0,0,0,0.0,446,148,0,0,0.0,0.0,2019-12-03T19:30:00Z,0,7,0,0,0,0,15,0,6316,0,1,0.0,0,-42,51,93,43,False,0
0,0,0,0,0.0,446,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,10,0,0,0,0,16,0,6243,3,0,0.0,0,-107,38,145,43,True,0
0,0,25,1,0.9,446,163,0,0,2.9,24.4,2019-12-14T15:00:00Z,90,6,0,0,0,0,17,0,6185,1,0,4.0,6,-120,56,176,43,False,0
0,0,13,0,11.9,446,172,1,0,3.1,13.2,2019-12-21T15:00:00Z,90,5,0,0,0,0,18,0,7208,1,0,6.0,2,633,751,118,43,True,0
1,3,29,0,11.8,446,182,1,0,5.7,37.2,2019-12-26T15:00:00Z,90,1,0,0,0,0,19,0,7058,1,1,8.0,8,106,297,191,43,True,0
0,0,12,0,1.9,446,192,2,0,1.8,13.8,2019-12-28T12:30:00Z,90,4,0,0,0,0,20,0,10358,0,2,2.0,1,2987,3259,272,43,False,0
0,0,0,0,0.0,446,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,9261,0,4,0.0,0,-927,474,1401,43,False,0
0,0,0,0,0.0,446,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,18,0,0,0,0,22,0,7686,3,0,0.0,0,-1575,38,1613,43,True,0
0,0,0,0,0.0,446,227,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,14,0,0,0,0,23,0,6887,0,1,0.0,0,-814,18,832,43,False,0
0,0,0,0,0.0,446,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,6430,1,3,0.0,0,-427,17,444,43,True,0
0,0,0,0,0.0,446,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,2,0,0,0,0,25,0,6115,1,2,0.0,0,-349,7,356,43,True,0
0,0,0,0,0.0,446,258,0,0,0.0,0.0,2020-02-09T14:00:00Z,0,15,0,0,0,0,26,0,5954,,,0.0,0,-173,7,180,43,False,0
