assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,124,4,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,8,0,0,0,0,1,0,769,0,0,0.0,0,0,0,0,50,True,0
0,0,0,0,0.0,124,18,0,0,0.0,0.0,2019-08-18T13:00:00Z,0,15,0,0,0,0,2,0,698,0,1,0.0,0,-137,18,155,50,False,0
0,0,0,0,0.0,124,25,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,12,0,0,0,0,3,0,644,2,1,0.0,0,-72,15,87,50,False,0
0,0,0,0,0.0,124,34,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,2,0,0,0,0,4,0,601,0,1,0.0,0,-55,19,74,50,True,0
0,0,0,0,0.0,124,48,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,17,0,0,0,0,5,0,594,0,4,0.0,0,-29,43,72,50,False,0
0,0,0,0,0.0,124,54,0,0,0.0,0.0,2019-09-22T13:00:00Z,0,20,0,0,0,0,6,0,890,1,1,0.0,0,103,157,54,50,True,0
0,0,0,0,0.0,124,64,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,14,0,0,0,0,7,0,1248,0,2,0.0,0,121,240,119,50,True,0
0,0,0,0,0.0,124,80,0,0,0.0,0.0,2019-10-05T16:30:00Z,0,19,0,0,0,0,8,0,1431,2,1,0.0,0,38,185,147,50,False,0
0,0,9,0,0.1,124,84,2,0,1.7,16.6,2019-10-19T16:30:00Z,82,11,0,0,0,0,9,0,1644,2,0,0.0,1,54,198,144,50,True,0
0,0,11,0,0.2,124,91,2,0,1.3,9.0,2019-10-27T16:30:00Z,90,1,0,0,0,0,10,0,1800,2,2,4.0,1,48,144,96,50,False,0
0,0,6,0,0.1,124,105,2,0,0.8,7.6,2019-11-03T14:00:00Z,90,9,0,0,0,0,11,0,2122,2,0,0.0,0,165,311,146,50,True,1
0,0,13,0,0.2,124,112,2,0,2.7,23.2,2019-11-09T12:30:00Z,90,6,0,0,0,0,12,0,2228,0,2,4.0,1,-15,181,196,50,False,0
0,0,18,0,10.5,124,125,2,0,4.6,31.0,2019-11-23T15:00:00Z,90,10,0,0,0,0,13,0,2421,2,1,4.0,1,33,235,202,50,True,0
