assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,64,2,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,15,0,0,0,0,1,0,6035,1,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,64,12,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,2,0,0,0,0,2,0,4917,2,1,0.0,0,-1308,121,1429,45,False,0
0,0,0,0,0.0,64,22,0,0,0.0,0.0,2019-08-25T13:00:00Z,0,11,0,0,0,0,3,0,4174,3,1,0.0,0,-802,125,927,45,True,0
0,0,0,0,0.0,64,36,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,9,0,0,0,0,4,0,3717,1,3,0.0,0,-528,114,642,44,False,0
0,0,0,0,0.0,64,42,0,0,0.0,0.0,2019-09-15T13:00:00Z,0,8,0,0,0,0,5,0,3465,1,3,0.0,0,-302,258,560,44,True,0
0,0,0,0,0.0,64,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,16,0,0,0,0,6,0,3376,3,1,0.0,0,-143,108,251,44,False,0
0,0,0,0,0.0,64,62,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,19,0,0,0,0,7,0,3457,2,2,0.0,0,-2,272,274,44,True,0
0,0,0,0,0.0,64,71,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,1,0,0,0,0,8,0,3823,0,1,0.0,0,227,495,268,44,False,0
0,0,0,0,0.0,64,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,14,0,0,0,0,9,0,4541,0,0,0.0,0,467,861,394,44,True,0
0,0,0,0,0.0,64,99,0,0,0.0,0.0,2019-10-26T14:00:00Z,0,18,0,0,0,0,10,0,4611,0,0,0.0,0,8,295,287,44,False,0
0,0,0,0,0.0,64,103,0,0,0.0,0.0,2019-11-02T12:30:00Z,0,12,0,0,0,0,11,0,4662,0,1,0.0,0,-78,340,418,44,True,0
0,0,0,0,0.0,64,116,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,13,0,0,0,0,12,0,4634,1,2,0.0,0,-137,236,373,44,False,0
0,0,0,0,0.0,64,123,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,20,0,0,0,0,13,0,4361,2,1,0.0,0,-311,145,456,44,True,0
0,0,0,0,0.0,64,139,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,17,0,0,0,0,14,0,4127,2,3,0.0,0,-246,41,287,44,False,0
0,0,0,0,0.0,64,148,0,0,0.0,0.0,2019-12-03T19:30:00Z,0,7,0,0,0,0,15,0,4008,0,1,0.0,0,-152,47,199,44,False,0
0,0,0,0,0.0,64,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,10,0,0,0,0,16,0,3978,3,0,0.0,0,-43,211,254,44,True,0
0,0,0,0,0.0,64,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,6,0,0,0,0,17,0,4041,1,0,0.0,0,28,483,455,44,False,0
0,0,0,0,0.0,64,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,5,0,0,0,0,18,0,3787,1,0,0.0,0,-239,147,386,44,True,0
0,0,0,0,0.0,64,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,3700,1,1,0.0,0,-126,67,193,44,True,0
0,0,0,0,0.0,64,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,4,0,0,0,0,20,0,3607,0,2,0.0,0,-100,43,143,44,False,0
0,0,0,0,0.0,64,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,3502,0,4,0.0,0,-113,91,204,44,False,0
0,0,0,0,0.0,64,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,18,0,0,0,0,22,0,3395,3,0,0.0,0,-111,63,174,44,True,0
0,0,0,0,0.0,64,227,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,14,0,0,0,0,23,0,3339,0,1,0.0,0,-71,46,117,44,False,0
0,0,0,0,0.0,64,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,3328,1,3,0.0,0,-18,56,74,44,True,0
0,0,0,0,0.0,64,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,2,0,0,0,0,25,0,3462,1,2,0.0,0,60,195,135,44,True,0
0,0,0,0,0.0,64,258,0,0,0.0,0.0,2020-02-09T14:00:00Z,0,15,0,0,0,0,26,0,3402,1,2,0.0,0,-67,36,103,44,False,0
0,0,0,0,0.0,64,262,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,5,0,0,0,0,27,0,3355,0,3,0.0,0,-54,28,82,44,False,0
0,0,0,0,0.0,64,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,6,0,0,0,0,28,0,3311,2,2,0.0,0,-44,17,61,44,True,0
0,0,0,0,0.0,64,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,10,0,0,0,0,29,0,3281,1,2,0.0,0,-31,18,49,44,False,0
0,0,0,0,0.0,64,292,0,0,0.0,0.0,2020-06-20T18:45:00Z,0,7,0,0,0,0,39,0,3898,2,0,0.0,0,501,904,403,44,True,0
0,0,3,0,0.3,64,310,0,0,0.4,1.8,2020-06-24T17:00:00Z,8,20,0,0,0,0,40,0,3932,0,1,2.0,1,-28,103,131,44,False,0
0,0,7,0,2.1,64,313,4,0,1.1,8.8,2020-07-01T17:00:00Z,90,13,0,0,0,0,41,0,3974,4,1,0.0,-1,0,96,96,44,True,1
0,0,8,0,4.3,64,325,5,0,2.1,15.0,2020-07-04T14:00:00Z,90,12,0,0,0,0,42,0,3974,2,5,2.0,0,-17,119,136,44,False,0
0,0,24,1,20.3,64,333,0,0,3.1,8.8,2020-07-09T17:00:00Z,90,17,0,0,0,0,43,0,4070,0,0,2.0,6,48,141,93,44,True,0
0,0,16,0,0.3,64,342,1,0,1.2,9.2,2020-07-12T18:00:00Z,90,9,0,0,0,0,44,0,4467,1,4,2.0,2,310,415,105,44,True,0
0,0,6,0,0.4,64,357,2,0,0.4,3.8,2020-07-15T17:00:00Z,90,11,0,0,0,0,45,0,4525,1,2,0.0,0,73,193,120,44,False,1
0,0,10,0,0.4,64,362,2,0,2.2,9.8,2020-07-19T13:00:00Z,90,16,0,0,0,0,46,0,4754,2,0,12.0,1,180,307,127,44,True,0
0,0,11,0,0.3,64,375,1,0,1.7,16.2,2020-07-26T15:00:00Z,90,8,0,0,0,0,47,0,4863,3,1,0.0,2,86,285,199,44,False,0
