assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,103,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,12,0,0,0,0,1,0,267531,0,4,0.0,0,0,0,0,65,False,0
0,0,0,0,0.0,103,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,240438,1,1,0.0,0,-55672,5617,61289,64,True,0
0,0,2,0,0.0,103,26,0,0,0.4,2.0,2019-08-24T11:30:00Z,1,14,0,0,0,0,3,0,190504,3,2,2.0,1,-56293,2940,59233,63,False,0
0,0,0,0,0.0,103,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,15,0,0,0,0,4,0,168016,2,2,0.0,0,-28439,2220,30659,63,True,0
1,0,26,0,17.6,103,50,2,0,7.3,31.8,2019-09-14T14:00:00Z,90,20,0,0,0,0,5,0,151099,5,2,24.0,4,-21946,4117,26063,62,False,0
0,0,17,0,43.3,103,53,1,0,5.9,13.0,2019-09-22T15:30:00Z,75,10,0,0,0,0,6,0,155099,2,1,3.0,1,-289,6383,6672,62,True,1
0,0,22,1,27.3,103,63,0,0,5.4,12.0,2019-09-28T14:00:00Z,90,4,0,0,0,0,7,0,174929,0,2,15.0,5,14401,24101,9700,62,True,1
1,0,25,0,17.3,103,78,1,0,6.4,38.8,2019-10-06T13:00:00Z,90,16,0,0,0,0,8,0,185899,4,1,8.0,5,7994,14834,6840,62,False,0
0,3,32,1,17.9,103,83,0,1,10.7,46.8,2019-10-19T14:00:00Z,90,13,0,0,0,0,9,0,204804,0,1,42.0,14,13812,21770,7958,62,True,1
0,0,23,1,6.5,103,93,0,0,1.7,10.6,2019-10-26T16:30:00Z,62,5,0,0,0,0,10,0,272623,4,2,0.0,6,60470,66155,5685,62,False,0
0,0,0,0,0.0,103,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,18,0,0,0,0,11,0,329156,2,1,0.0,0,48773,61534,12761,63,False,0
0,0,0,0,0.0,103,112,0,0,0.0,0.0,2019-11-09T12:30:00Z,0,7,0,0,0,0,12,0,303482,0,2,0.0,0,-29498,15865,45363,63,True,0
0,0,0,0,0.0,103,127,0,0,0.0,0.0,2019-11-23T17:30:00Z,0,11,0,0,0,0,13,0,240909,1,2,0.0,0,-60432,5977,66409,62,False,0
