assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,1,14.4,21,10,0,0,3.6,21.2,2019-08-11T13:00:00Z,90,13,0,0,0,0,1,0,257779,1,0,0.0,3,0,0,0,45,False,0
0,0,15,0,3.9,21,11,1,0,4.2,20.8,2019-08-17T11:30:00Z,90,5,0,0,0,0,2,0,432533,1,2,17.0,2,85079,117003,31924,45,True,0
0,0,12,0,1.4,21,24,3,0,2.4,22.4,2019-08-24T16:30:00Z,85,10,0,0,0,0,3,0,435567,1,3,0.0,2,-5221,52918,58139,45,False,0
1,2,27,0,18.1,21,31,2,0,7.6,33.2,2019-09-01T15:30:00Z,90,17,0,0,0,0,4,0,444341,2,2,25.0,7,-4776,47695,52471,45,True,0
0,0,10,0,14.9,21,49,1,0,2.1,5.8,2019-09-15T15:30:00Z,66,18,0,0,0,0,5,0,616605,2,2,0.0,1,138372,184476,46104,46,False,1
1,0,19,0,37.8,21,51,2,0,6.3,12.2,2019-09-22T15:30:00Z,90,2,0,0,0,0,6,0,626037,2,3,13.0,4,13573,51849,38276,46,True,1
0,0,8,0,4.5,21,67,1,0,4.1,19.6,2019-09-30T19:00:00Z,90,12,0,0,0,0,7,0,691483,1,1,17.0,2,55529,95787,40258,46,False,0
0,0,20,1,20.4,21,71,0,0,5.2,17.8,2019-10-06T13:00:00Z,90,3,0,0,0,0,8,0,751976,0,1,14.0,3,54061,87791,33730,46,True,0
0,0,17,0,15.1,21,88,1,0,3.9,18.0,2019-10-21T19:00:00Z,90,15,0,0,0,0,9,0,760314,0,1,6.0,2,6887,48530,41643,47,False,0
0,0,10,0,22.5,21,91,2,0,4.4,12.4,2019-10-27T16:30:00Z,90,7,0,0,0,0,10,0,756253,2,2,9.0,1,-6585,23705,30290,47,True,1
0,0,12,0,12.8,21,101,1,0,4.0,25.6,2019-11-02T15:00:00Z,90,20,0,0,0,0,11,0,728754,1,1,2.0,2,-29472,27737,57209,47,True,0
0,0,13,0,12.6,21,113,2,0,3.1,18.0,2019-11-09T17:30:00Z,90,9,0,0,0,0,12,0,705450,0,2,0.0,2,-22516,16666,39182,47,False,0
0,0,16,0,19.8,21,121,2,0,5.1,29.2,2019-11-23T15:00:00Z,90,16,0,0,0,0,13,0,695630,2,2,2.0,1,-16094,29335,45429,47,True,1
0,0,13,0,15.4,21,137,2,0,4.8,11.2,2019-12-01T14:00:00Z,77,14,0,0,0,0,14,0,657294,2,2,21.0,2,-38595,12015,50610,46,False,0
0,0,0,0,0.0,21,141,0,0,0.0,0.0,2019-12-05T20:15:00Z,0,4,0,0,0,0,15,0,628916,2,1,0.0,0,-30639,4967,35606,46,True,0
0,0,3,0,2.3,21,160,0,0,0.7,4.8,2019-12-09T20:00:00Z,4,19,0,0,0,0,16,0,588275,3,1,0.0,1,-41079,4036,45115,46,False,0
0,0,14,0,6.8,21,161,3,0,3.0,11.0,2019-12-15T16:30:00Z,90,11,0,0,0,0,17,0,556410,3,0,12.0,2,-32917,6853,39770,45,True,0
