assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,574,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,6,0,0,0,0,17,0,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,574,172,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,5,0,0,0,0,18,0,51,1,0,0.0,0,13,21,8,45,True,0
0,0,0,0,0.0,574,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,89,1,1,0.0,0,23,32,9,45,True,0
0,0,0,0,0.0,574,192,0,0,0.0,0.0,2019-12-28T12:30:00Z,0,4,0,0,0,0,20,0,128,0,2,0.0,0,17,32,15,45,False,0
0,0,0,0,0.0,574,210,0,0,0.0,0.0,2020-01-01T17:30:00Z,0,19,0,0,0,0,21,0,156,0,4,0.0,0,5,42,37,45,False,0
0,0,0,0,0.0,574,212,0,0,0.0,0.0,2020-01-12T14:00:00Z,0,18,0,0,0,0,22,0,228,3,0,0.0,0,31,66,35,45,True,0
0,0,0,0,0.0,574,227,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,14,0,0,0,0,23,0,279,0,1,0.0,0,26,59,33,45,False,0
0,0,0,0,0.0,574,232,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,4,0,0,0,0,24,0,321,1,3,0.0,0,22,46,24,45,True,0
0,0,0,0,0.0,574,241,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,2,0,0,0,0,25,0,335,1,2,0.0,0,6,56,50,45,True,0
0,0,0,0,0.0,574,258,0,0,0.0,0.0,2020-02-09T14:00:00Z,0,15,0,0,0,0,26,0,300,1,2,0.0,0,-31,19,50,45,False,0
0,0,0,0,0.0,574,262,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,5,0,0,0,0,27,0,273,0,3,0.0,0,-25,4,29,45,False,0
0,0,0,0,0.0,574,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,6,0,0,0,0,28,0,264,2,2,0.0,0,-11,8,19,45,True,0
0,0,0,0,0.0,574,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,10,0,0,0,0,29,0,265,1,2,0.0,0,1,10,9,45,False,0
0,0,0,0,0.0,574,292,0,0,0.0,0.0,2020-06-20T18:45:00Z,0,7,0,0,0,0,39,0,260,2,0,0.0,0,-2,17,19,44,True,0
0,0,0,0,0.0,574,310,0,0,0.0,0.0,2020-06-24T17:00:00Z,0,20,0,0,0,0,40,0,264,0,1,0.0,0,5,10,5,44,False,0
0,0,0,0,0.0,574,313,0,0,0.0,0.0,2020-07-01T17:00:00Z,0,13,0,0,0,0,41,0,255,4,1,0.0,0,-12,3,15,44,True,0
0,0,0,0,0.0,574,325,0,0,0.0,0.0,2020-07-04T14:00:00Z,0,12,0,0,0,0,42,0,274,2,5,0.0,0,17,37,20,44,False,0
0,0,0,0,0.0,574,333,0,0,0.0,0.0,2020-07-09T17:00:00Z,0,17,0,0,0,0,43,0,294,0,0,0.0,0,20,45,25,44,True,0
0,0,0,0,0.0,574,342,0,0,0.0,0.0,2020-07-12T18:00:00Z,0,9,0,0,0,0,44,0,277,1,4,0.0,0,-17,22,39,44,True,0
0,0,0,0,0.0,574,357,0,0,0.0,0.0,2020-07-15T17:00:00Z,0,11,0,0,0,0,45,0,274,1,2,0.0,0,-4,27,31,44,False,0
0,0,0,0,0.0,574,362,0,0,0.0,0.0,2020-07-19T13:00:00Z,0,16,0,0,0,0,46,0,260,2,0,0.0,0,-14,9,23,44,True,0
0,0,0,0,0.0,574,375,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,8,0,0,0,0,47,0,261,3,1,0.0,0,-2,18,20,44,False,0
