assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
2,3,0,0,0.0,20658,55,36,1,0.0,0.0,2371,0,0,0,1,0,2008/09,55,0.0,75,3
1,1,0,0,0.0,20658,49,24,0,0.0,0.0,2101,0,0,0,1,0,2009/10,55,0.0,64,8
2,5,0,12,0.0,20658,61,13,2,0.0,0.0,1947,0,0,0,1,0,2010/11,60,0.0,102,8
1,5,0,10,0.0,20658,57,10,1,0.0,0.0,1549,0,0,0,0,0,2011/12,60,0.0,85,5
2,14,0,12,0.0,20658,64,32,2,0.0,0.0,2649,0,0,0,0,0,2012/13,60,0.0,124,7
6,14,214,15,0.0,20658,65,33,1,0.0,0.0,3080,0,0,0,0,0,2013/14,60,0.0,146,11
4,8,607,11,0.0,20658,64,30,1,0.0,0.0,2585,1,0,0,1,0,2014/15,65,0.0,106,6
1,5,229,4,0.0,20658,57,16,0,0.0,0.0,1062,0,0,0,0,0,2015/16,60,0.0,41,3
1,5,230,2,167.7,20658,47,18,1,52.1,238.6,1065,0,0,0,0,0,2016/17,50,113.0,45,2
1,6,563,10,293.7,20658,49,62,0,100.7,635.0,3289,1,0,0,0,0,2017/18,50,77.0,90,9
1,4,350,4,163.2,20658,43,35,0,71.8,447.4,2089,0,0,0,0,0,2018/19,45,106.0,56,4
