assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,201,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,14,0,0,0,0,1,0,352,1,4,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,201,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,400,2,1,0.0,0,-21,60,81,45,False,0
0,0,0,0,0.0,201,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,421,1,3,0.0,0,-7,48,55,45,True,0
0,0,0,0,0.0,201,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,5,0,0,0,0,4,0,426,3,0,0.0,0,-17,48,65,45,False,0
0,0,0,0,0.0,201,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,13,0,0,0,0,5,0,406,1,3,0.0,0,-18,34,52,45,True,0
0,0,0,0,0.0,201,53,0,0,0.0,0.0,2019-09-22T15:30:00Z,0,6,0,0,0,0,6,0,429,2,1,0.0,0,6,28,22,45,False,0
0,0,0,0,0.0,201,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,15,0,0,0,0,7,0,428,1,0,0.0,0,-4,28,32,45,False,0
0,0,0,0,0.0,201,74,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,9,0,0,0,0,8,0,426,1,2,0.0,0,-9,15,24,45,True,0
0,0,0,0,0.0,201,87,0,0,0.0,0.0,2019-10-20T15:30:00Z,0,12,0,0,0,0,9,0,420,1,1,0.0,0,-8,20,28,45,False,0
0,0,0,0,0.0,201,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,17,0,0,0,0,10,0,412,1,2,0.0,0,-10,5,15,45,True,0
0,0,0,0,0.0,201,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,2,0,0,0,0,11,0,401,2,1,0.0,0,-13,6,19,45,False,0
0,0,0,0,0.0,201,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,11,0,0,0,0,12,0,405,1,3,0.0,0,1,14,13,45,True,0
0,0,0,0,0.0,201,125,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,7,0,0,0,0,13,0,423,2,1,0.0,0,14,45,31,45,False,0
0,0,0,0,0.0,201,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,4,0,0,0,0,14,0,403,1,2,0.0,0,-21,10,31,45,True,0
0,0,0,0,0.0,201,149,0,0,0.0,0.0,2019-12-04T20:15:00Z,0,8,0,0,0,0,15,0,400,2,5,0.0,0,-5,9,14,45,True,0
0,0,0,0,0.0,201,152,0,0,0.0,0.0,2019-12-07T15:00:00Z,0,3,0,0,0,0,16,0,396,3,0,0.0,0,-4,4,8,45,False,0
0,0,0,0,0.0,201,166,0,0,0.0,0.0,2019-12-14T12:30:00Z,0,18,0,0,0,0,17,0,403,0,2,0.0,0,7,34,27,45,True,0
0,0,0,0,0.0,201,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,417,4,0,0.0,0,7,21,14,45,False,0
0,0,0,0,0.0,201,194,0,0,0.0,0.0,2019-12-29T16:30:00Z,0,20,0,0,0,0,20,0,409,0,1,0.0,0,-9,5,14,45,True,0
0,0,0,0,0.0,201,204,0,0,0.0,0.0,2020-01-02T20:00:00Z,0,15,0,0,0,0,21,0,427,0,2,0.0,0,13,30,17,45,True,0
0,0,0,0,0.0,201,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,17,0,0,0,0,22,0,410,1,0,0.0,0,-16,15,31,45,False,0
0,0,0,0,0.0,201,224,0,0,0.0,0.0,2020-01-19T16:30:00Z,0,12,0,0,0,0,23,0,407,0,2,0.0,0,-3,9,12,45,True,0
0,0,0,0,0.0,201,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,20,0,0,0,0,24,0,400,2,1,0.0,0,-8,2,10,45,False,0
0,0,0,0,0.0,201,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,400,2,0,0.0,0,-8,2,10,45,False,0
0,0,0,0,0.0,201,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,16,0,0,0,0,25,0,402,0,4,0.0,0,2,10,8,45,True,0
0,0,0,0,0.0,201,257,0,0,0.0,0.0,2020-02-15T17:30:00Z,0,14,0,0,0,0,26,0,406,1,0,0.0,0,3,10,7,45,False,0
0,0,0,0,0.0,201,266,0,0,0.0,0.0,2020-02-24T20:00:00Z,0,19,0,0,0,0,27,0,400,2,3,0.0,0,-4,4,8,45,True,0
0,0,0,0,0.0,201,279,0,0,0.0,0.0,2020-02-29T17:30:00Z,0,18,0,0,0,0,28,0,404,0,3,0.0,0,2,8,6,45,False,0
0,0,0,0,0.0,201,286,0,0,0.0,0.0,2020-03-07T12:30:00Z,0,3,0,0,0,0,29,0,426,1,2,0.0,0,5,10,5,45,True,0
0,0,0,0,0.0,201,294,0,0,0.0,0.0,2020-06-21T18:00:00Z,0,8,0,0,0,0,39,0,408,0,0,0.0,0,-6,4,10,45,False,0
0,0,0,0,0.0,201,304,0,0,0.0,0.0,2020-06-24T19:15:00Z,0,7,0,0,0,0,40,0,406,0,4,0.0,0,-3,5,8,45,True,0
0,0,0,0,0.0,201,317,0,0,0.0,0.0,2020-07-02T19:15:00Z,0,11,0,0,0,0,41,0,415,0,4,0.0,0,5,12,7,45,False,0
0,0,0,0,0.0,201,324,0,0,0.0,0.0,2020-07-05T15:30:00Z,0,2,0,0,0,0,42,0,414,0,2,0.0,0,2,8,6,45,True,0
0,0,0,0,0.0,201,334,0,0,0.0,0.0,2020-07-08T19:15:00Z,0,4,0,0,0,0,43,0,417,3,1,0.0,0,2,8,6,45,False,0
0,0,0,0,0.0,201,344,0,0,0.0,0.0,2020-07-11T14:00:00Z,0,5,0,0,0,0,44,0,417,1,1,0.0,0,-1,4,5,45,True,0
0,0,0,0,0.0,201,351,0,0,0.0,0.0,2020-07-15T19:15:00Z,0,1,0,0,0,0,45,0,417,1,2,0.0,0,3,7,4,45,False,0
0,0,0,0,0.0,201,364,0,0,0.0,0.0,2020-07-22T19:15:00Z,0,6,0,0,0,0,46,0,420,3,5,0.0,0,1,9,8,45,True,0
0,0,0,0,0.0,201,378,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,13,0,0,0,0,47,0,418,3,1,0.0,0,-2,11,13,45,False,0
