assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,115,9,0,0,0.0,0.0,2019-08-11T15:30:00Z,0,12,0,0,0,0,1,0,6591,0,4,0.0,0,0,0,0,65,False,0
0,0,0,0,0.0,115,14,0,0,0.0,0.0,2019-08-18T15:30:00Z,0,9,0,0,0,0,2,0,5930,1,1,0.0,0,-1383,148,1531,65,True,0
0,0,0,0,0.0,115,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,14,0,0,0,0,3,0,5230,3,2,0.0,0,-907,77,984,65,False,0
0,0,0,0,0.0,115,33,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,15,0,0,0,0,4,0,4697,2,2,0.0,0,-661,72,733,64,True,0
0,0,0,0,0.0,115,50,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,20,0,0,0,0,5,0,4332,5,2,0.0,0,-456,83,539,64,False,0
0,0,0,0,0.0,115,53,0,0,0.0,0.0,2019-09-22T15:30:00Z,0,10,0,0,0,0,6,0,4189,2,1,0.0,0,-186,67,253,64,True,0
0,0,0,0,0.0,115,63,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,4,0,0,0,0,7,0,4069,0,2,0.0,0,-164,56,220,64,True,0
0,0,0,0,0.0,115,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,16,0,0,0,0,8,0,3983,4,1,0.0,0,-117,46,163,64,False,0
0,0,0,0,0.0,115,83,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,13,0,0,0,0,9,0,3927,0,1,0.0,0,-85,58,143,64,True,0
0,0,0,0,0.0,115,93,0,0,0.0,0.0,2019-10-26T16:30:00Z,0,5,0,0,0,0,10,0,3918,4,2,0.0,0,-30,49,79,64,False,0
0,0,0,0,0.0,115,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,18,0,0,0,0,11,0,3861,2,1,0.0,0,-74,26,100,64,False,0
0,0,0,0,0.0,115,112,0,0,0.0,0.0,2019-11-09T12:30:00Z,0,7,0,0,0,0,12,0,3835,0,2,0.0,0,-36,26,62,64,True,0
0,0,0,0,0.0,115,127,0,0,0.0,0.0,2019-11-23T17:30:00Z,0,11,0,0,0,0,13,0,3810,1,2,0.0,0,-52,36,88,64,False,0
0,0,0,0,0.0,115,132,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,19,0,0,0,0,14,0,3786,1,0,0.0,0,-29,16,45,63,True,0
0,0,0,0,0.0,115,147,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,2,0,0,0,0,15,0,3783,1,2,0.0,0,-14,9,23,63,True,0
0,0,0,0,0.0,115,154,0,0,0.0,0.0,2019-12-07T12:30:00Z,0,8,0,0,0,0,16,0,3775,1,3,0.0,0,-21,16,37,63,False,0
0,0,0,0,0.0,115,163,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,3,0,0,0,0,17,0,3763,1,0,0.0,0,-22,25,47,63,True,0
0,0,0,0,0.0,115,178,0,0,0.0,0.0,2019-12-22T16:30:00Z,0,17,0,0,0,0,18,0,3754,2,0,0.0,0,-20,27,47,63,False,0
0,0,0,0,0.0,115,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,16,0,0,0,0,19,0,3743,2,0,0.0,0,-18,12,30,63,True,0
0,0,0,0,0.0,115,191,0,0,0.0,0.0,2019-12-29T14:00:00Z,0,1,0,0,0,0,20,0,3742,2,1,0.0,0,-8,14,22,63,False,0
0,0,0,0,0.0,115,202,0,0,0.0,0.0,2020-01-01T12:30:00Z,0,4,0,0,0,0,21,0,3730,1,1,0.0,0,-16,24,40,63,False,0
0,0,0,0,0.0,115,213,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,5,0,0,0,0,22,0,3716,0,3,0.0,0,-30,30,60,63,True,0
0,0,0,0,0.0,115,226,0,0,0.0,0.0,2020-01-18T17:30:00Z,0,13,0,0,0,0,23,0,3718,0,1,0.0,0,-8,22,30,63,False,0
0,0,0,0,0.0,115,238,0,0,0.0,0.0,2020-01-21T20:15:00Z,0,1,0,0,0,0,24,0,3719,2,2,0.0,0,0,16,16,63,True,0
0,0,0,0,0.0,115,244,0,0,0.0,0.0,2020-02-01T12:30:00Z,0,9,0,0,0,0,25,0,3742,2,2,0.0,0,8,47,39,63,False,0
0,0,0,0,0.0,115,254,0,0,0.0,0.0,2020-02-17T20:00:00Z,0,12,0,0,0,0,26,0,3820,2,0,0.0,0,66,102,36,63,True,0
0,0,0,0,0.0,115,263,0,0,0.0,0.0,2020-02-22T12:30:00Z,0,17,0,0,0,0,27,0,4387,1,2,0.0,0,532,594,62,63,True,0
0,0,0,0,0.0,115,272,0,0,0.0,0.0,2020-02-29T15:00:00Z,0,3,0,0,0,0,28,0,5546,2,2,0.0,0,977,1142,165,63,False,0
0,0,0,0,0.0,115,283,0,0,0.0,0.0,2020-03-08T14:00:00Z,0,8,0,0,0,0,29,0,5639,0,4,0.0,0,182,687,505,63,True,0
0,0,1,0,3.3,115,291,1,0,0.9,0.0,2020-06-21T15:15:00Z,54,2,0,0,0,0,39,0,13763,2,1,8.0,1,7633,10630,2997,63,False,0
0,0,0,0,0.0,115,302,0,0,0.0,0.0,2020-06-25T19:15:00Z,0,11,0,0,0,0,40,0,12437,1,2,0.0,0,-1195,1168,2363,63,True,0
0,0,1,0,1.9,115,320,1,0,0.9,0.0,2020-07-01T19:15:00Z,27,19,0,0,0,0,41,0,10765,2,3,8.0,1,-1937,362,2299,61,False,0
0,0,0,0,0.7,115,322,0,0,0.9,1.6,2020-07-04T19:00:00Z,14,18,0,0,0,0,42,0,8995,0,3,7.0,1,-1834,317,2151,60,True,0
1,0,16,0,15.3,115,335,1,0,4.3,25.6,2020-07-07T17:00:00Z,25,7,0,0,0,0,43,0,8186,3,2,2.0,4,-950,177,1127,59,False,0
0,0,4,0,0.8,115,347,0,0,0.2,0.8,2020-07-11T16:30:00Z,12,15,0,0,0,0,44,0,8274,0,3,0.0,1,-22,507,529,59,False,0
0,0,12,1,7.1,115,353,0,0,1.7,1.4,2020-07-14T19:15:00Z,66,14,0,0,0,0,45,0,8552,0,1,8.0,3,162,579,417,59,True,0
