assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,454,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,10,0,0,0,0,1,0,8583,1,4,0.0,0,0,0,0,45,False,0
0,0,3,0,0.1,454,17,1,0,0.1,1.0,2019-08-17T14:00:00Z,1,13,0,0,0,0,2,0,8667,1,3,0.0,1,-911,118,1029,45,True,0
0,0,0,0,0.0,454,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,8537,3,2,0.0,0,-541,240,781,45,True,0
0,0,0,0,0.0,454,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,19,0,0,0,0,4,0,8420,0,2,0.0,0,-526,294,820,45,False,0
0,0,11,0,1.0,454,46,2,0,5.7,37.8,2019-09-14T16:30:00Z,90,11,0,0,0,0,5,0,8378,2,3,18.0,0,-396,385,781,44,True,1
0,0,12,0,7.6,454,52,2,0,4.4,30.8,2019-09-21T14:00:00Z,90,5,0,0,0,0,6,0,10090,0,2,6.0,1,1293,1859,566,44,False,0
0,0,0,0,0.0,454,64,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,7,0,0,0,0,7,0,10387,0,2,0.0,0,121,777,656,44,False,0
0,0,0,0,0.0,454,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,2,0,0,0,0,8,0,9958,5,1,0.0,0,-494,224,718,44,True,0
0,0,0,0,0.0,454,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,3,0,0,0,0,9,0,9531,0,0,0.0,0,-534,91,625,44,False,0
0,0,2,0,0.3,454,97,1,0,0.5,2.6,2019-10-27T16:30:00Z,24,12,0,0,0,0,10,0,9294,3,1,2.0,1,-315,56,371,44,True,0
0,0,0,0,0.0,454,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,4,0,0,0,0,11,0,9171,0,2,0.0,0,-220,112,332,44,False,0
0,0,0,0,0.0,454,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,0,18,0,0,0,0,12,0,8826,2,0,0.0,0,-362,49,411,44,True,0
0,0,14,1,2.0,454,126,0,0,5.1,15.2,2019-11-23T15:00:00Z,90,8,0,0,0,0,13,0,8568,2,0,34.0,5,-324,58,382,44,False,1
