assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
3,5,0,0,0.0,20467,83,7,0,0.0,0.0,646,0,0,0,0,0,2006/07,85,0.0,36,0
3,4,0,0,0.0,20467,71,12,4,0.0,0.0,1260,0,0,0,0,0,2007/08,75,0.0,65,0
2,3,0,0,0.0,20467,67,15,2,0.0,0.0,1265,0,0,0,0,0,2008/09,70,0.0,54,0
2,5,0,0,0.0,20467,77,9,3,0.0,0.0,1129,0,0,0,0,0,2009/10,80,0.0,65,0
8,7,0,10,0.0,20467,70,16,9,0.0,0.0,1691,0,0,0,0,0,2010/11,70,0.0,133,0
11,19,0,12,0.0,20467,90,33,8,0.0,0.0,2728,0,0,0,0,0,2011/12,90,0.0,169,1
13,23,0,9,0.0,20467,93,27,14,0.0,0.0,2286,0,0,0,0,0,2012/13,90,0.0,194,3
5,7,70,4,0.0,20467,92,13,5,0.0,0.0,860,0,0,0,0,0,2013/14,95,0.0,72,1
1,3,127,2,0.0,20467,82,4,5,0.0,0.0,447,0,0,0,0,0,2014/15,90,0.0,51,0
3,0,206,8,0.0,20467,80,12,5,0.0,0.0,1373,0,0,0,0,0,2015/16,90,0.0,85,0
3,7,380,8,280.5,20467,72,26,10,184.1,541.8,1916,0,1,0,0,0,2016/17,75,1023.0,122,1
3,3,226,4,234.9,20467,66,17,3,95.9,316.6,1214,0,0,0,0,0,2017/18,75,406.0,62,2
3,4,292,6,342.9,20467,59,33,5,145.7,420.0,2108,0,0,0,0,0,2018/19,65,699.0,101,1
