assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,272,1,0,0,0.0,0.0,2019-08-09T19:00:00Z,0,10,0,0,0,0,1,0,6486,1,4,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,272,17,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,13,0,0,0,0,2,0,5315,1,3,0.0,0,-1198,20,1218,45,True,0
0,0,0,0,0.0,272,26,0,0,0.0,0.0,2019-08-24T11:30:00Z,0,6,0,0,0,0,3,0,4618,3,2,0.0,0,-796,38,834,45,True,0
0,0,0,0,0.0,272,40,0,0,0.0,0.0,2019-08-31T14:00:00Z,0,19,0,0,0,0,4,0,4356,0,2,0.0,0,-531,299,830,45,False,0
0,0,0,0,0.0,272,46,0,0,0.0,0.0,2019-09-14T16:30:00Z,0,11,0,0,0,0,5,0,3528,2,3,0.0,0,-840,64,904,45,True,0
0,0,0,0,0.0,272,52,0,0,0.0,0.0,2019-09-21T14:00:00Z,0,5,0,0,0,0,6,0,3159,0,2,0.0,0,-405,12,417,45,False,0
0,0,0,0,0.0,272,64,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,7,0,0,0,0,7,0,2877,0,2,0.0,0,-310,17,327,44,False,0
0,0,0,0,0.0,272,77,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,2,0,0,0,0,8,0,2701,5,1,0.0,0,-180,11,191,44,True,0
0,0,0,0,0.0,272,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,3,0,0,0,0,9,0,2571,0,0,0.0,0,-146,16,162,44,False,0
0,0,0,0,0.0,272,97,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,12,0,0,0,0,10,0,2479,3,1,0.0,0,-93,7,100,44,True,0
0,0,0,0,0.0,272,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,4,0,0,0,0,11,0,2383,0,2,0.0,0,-99,15,114,44,False,0
0,0,0,0,0.0,272,117,0,0,0.0,0.0,2019-11-08T20:00:00Z,0,18,0,0,0,0,12,0,2317,2,0,0.0,0,-66,12,78,44,True,0
0,0,0,0,0.0,272,126,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,8,0,0,0,0,13,0,2255,2,0,0.0,0,-70,34,104,44,False,0
0,0,0,0,0.0,272,137,0,0,0.0,0.0,2019-12-01T14:00:00Z,0,1,0,0,0,0,14,0,2205,2,2,0.0,0,-54,18,72,44,True,0
0,0,0,0,0.0,272,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,16,0,0,0,0,15,0,2180,1,2,0.0,0,-29,5,34,44,False,0
0,0,0,0,0.0,272,157,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,15,0,0,0,0,16,0,2153,2,1,0.0,0,-27,9,36,44,True,0
0,0,0,0,0.0,272,165,0,0,0.0,0.0,2019-12-14T15:00:00Z,0,9,0,0,0,0,17,0,2130,1,1,0.0,0,-35,32,67,43,False,0
0,0,0,0,0.0,272,177,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,20,0,0,0,0,18,0,2105,2,1,0.0,0,-26,27,53,43,True,0
