first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Mesut,Özil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,67,MID
Sokratis,Papastathopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,DEF
David,Luiz Moreira Marinho,1,0,40,1344,20,45.2,244.6,123.0,0,223,41.0,3,1,1,0.9,54,DEF
Pierre-Emerick,Aubameyang,9,1,108,2007,25,292.4,428.2,731.0,10,306,144.9,7,0,2,9.2,114,MID
Cédric,Soares,0,1,28,744,11,114.8,110.8,66.0,3,125,29.2,2,0,1,0.3,46,DEF
Alexandre,Lacazette,11,3,111,1707,19,272.0,526.0,733.0,18,380,152.8,6,0,3,6.3,82,FWD
Shkodran,Mustafi,0,0,3,45,1,1.0,11.6,0.0,0,16,1.3,0,0,0,0.0,50,DEF
Bernd,Leno,0,0,104,2591,34,0.0,597.4,0.0,8,514,59.8,8,1,0,6.8,50,GK
Granit,Xhaka,1,2,57,2057,25,251.2,355.6,116.0,1,321,72.4,7,1,6,0.4,52,MID
Pablo,Marí,0,0,21,630,7,24.9,118.4,16.0,1,118,15.9,2,0,1,0.1,44,DEF
Héctor,Bellerín,1,3,83,1910,23,327.0,346.4,188.0,15,385,86.2,6,0,8,3.9,50,DEF
Calum,Chambers,0,1,8,270,7,73.8,52.4,10.0,1,43,13.6,0,0,0,0.1,45,DEF
Sead,Kolasinac,0,0,2,90,1,5.4,3.6,4.0,0,9,1.3,0,0,0,0.1,48,DEF
Rob,Holding,0,1,75,1927,22,61.0,436.6,95.0,6,398,59.3,8,0,2,3.2,42,DEF
Kieran,Tierney,1,3,78,2015,25,448.4,395.8,181.0,4,423,102.7,6,0,4,5.7,53,DEF
Nicolas,Pépé,5,2,63,1139,19,143.2,257.0,533.0,3,190,93.1,1,1,1,1.1,76,MID
Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,MID
Reiss,Nelson,0,0,2,70,0,9.7,4.2,10.0,0,2,2.4,0,0,0,0.0,51,MID
Edward,Nketiah,1,1,27,317,6,58.8,74.4,120.0,4,84,24.9,0,0,0,0.5,54,FWD
Emile,Smith Rowe,0,5,46,943,7,283.5,162.6,138.0,0,194,58.5,6,0,0,2.1,42,MID
Bukayo,Saka,5,4,96,2071,27,512.0,428.6,876.0,8,347,181.6,6,0,1,7.2,52,MID
Matteo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,MID
Gabriel Teodoro,Martinelli Silva,0,0,11,229,1,18.7,20.6,76.0,0,24,11.4,2,0,0,0.1,49,MID
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,DEF
Mathew,Ryan,0,0,29,1080,20,0.3,178.0,0.0,0,183,17.8,2,0,1,6.0,42,GK
Willian,Borges Da Silva,0,7,63,1190,16,410.9,187.2,197.0,6,246,79.9,2,0,0,2.8,75,MID
Gabriel,Magalhães,2,0,53,1456,21,25.0,361.4,163.0,6,274,55.0,3,1,2,4.5,49,DEF
Daniel,Ceballos Fernández,0,2,41,1174,14,277.3,267.4,61.0,3,234,60.6,4,0,3,0.7,47,MID
Mohamed Naser,El Sayed Elneny,0,0,30,1104,17,78.3,121.8,29.0,0,174,22.7,3,0,2,1.0,42,MID
Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,40,GK
Rúnar Alex,Rúnarsson,0,0,1,15,0,0.0,16.6,0.0,0,8,1.7,0,0,0,0.0,44,GK
Thomas,Partey,0,1,30,1051,16,138.2,193.2,81.0,0,186,41.4,3,0,3,0.3,49,MID
Martin,Ødegaard,1,0,23,561,11,167.1,94.8,123.0,3,106,38.4,0,0,0,2.1,60,MID
Emiliano,Martínez,0,0,157,2610,31,20.0,784.0,0.0,23,659,80.1,14,0,0,41.1,54,GK
Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Ahmed,El Mohamady,0,0,30,608,4,134.0,117.6,37.0,4,139,29.0,3,0,2,0.4,43,DEF
Henri,Lansbury,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Neil,Taylor,0,0,-1,15,2,0.7,0.8,0.0,0,1,0.2,0,0,1,0.2,42,DEF
Jed,Steer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,39,GK
Conor,Hourihane,1,1,20,225,2,82.9,65.4,33.0,3,70,18.2,2,0,0,0.1,59,MID
José Ignacio,Peleteiro Romallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,MID
Ørjan,Nyland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.5,40,GK
Bjorn,Engels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Jack,Grealish,6,12,129,1977,24,953.2,668.6,871.0,13,495,249.1,12,0,6,17.1,75,MID
John,McGinn,1,6,87,2520,31,433.4,401.4,286.0,2,368,112.0,13,0,7,1.0,55,MID
Kortney,Hause,1,0,28,360,1,1.5,91.0,49.0,3,89,14.2,3,0,1,0.1,44,DEF
Mahmoud Ahmed,Ibrahim Hassan,2,1,54,1076,13,175.3,206.2,454.0,3,144,83.1,6,0,0,0.5,52,MID
Tyrone,Mings,2,2,114,2474,30,83.5,627.0,241.0,8,515,95.6,13,1,4,8.7,54,DEF
Matt,Targett,0,3,118,2594,29,388.3,489.2,96.0,8,563,97.5,15,0,6,14.5,51,DEF
James,Bree,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Marvelous,Nakamba,0,0,16,442,1,29.9,60.4,10.0,0,65,10.1,4,0,2,0.4,43,MID
Anwar,El Ghazi,6,0,71,965,11,286.5,336.8,548.0,9,222,117.1,4,0,1,1.0,53,MID
Ezri,Konsa Ngoyo,2,0,102,2385,31,30.5,533.8,186.0,7,470,75.3,11,0,2,7.0,47,DEF
Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Wesley,Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,FWD
Mbwana,Samatta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,FWD
Keinan,Davis,0,1,12,103,0,42.7,34.4,84.0,0,43,15.9,0,0,0,7.8,42,FWD
Indiana,Vassilev,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,43,FWD
Douglas Luiz,Soares de Paulo,0,2,58,2173,29,246.9,336.6,133.0,0,280,71.9,11,1,6,0.2,48,MID
