assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,199,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,2009,3,4,0.0,0,0,0,0,50,False,0
0,0,0,0,0.0,199,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,8,0,0,0,0,2,0,1293,3,4,0.0,0,-721,33,754,50,True,0
0,0,0,0,0.0,199,25,0,0,0.0,0.0,2020-09-27T11:00:00Z,0,15,0,0,0,0,3,0,978,1,0,0.0,0,-360,37,397,49,False,0
0,0,0,0,0.0,199,33,0,0,0.0,0.0,2020-10-03T16:30:00Z,0,12,0,0,0,0,4,0,836,1,1,0.0,0,-151,8,159,49,True,0
0,0,0,0,0.0,199,42,0,0,0.0,0.0,2020-10-19T19:00:00Z,0,20,0,0,0,0,5,0,732,1,0,0.0,0,-107,15,122,49,True,0
0,0,0,0,0.0,199,50,0,0,0.0,0.0,2020-10-23T19:00:00Z,0,2,0,0,0,0,6,0,695,3,0,0.0,0,-44,26,70,49,False,0
0,0,0,0,0.0,199,62,0,0,0.0,0.0,2020-11-02T20:00:00Z,0,9,0,0,0,0,7,0,649,4,1,0.0,0,-48,5,53,48,True,0
0,0,0,0,0.0,199,72,0,0,0.0,0.0,2020-11-07T15:00:00Z,0,6,0,0,0,0,8,0,640,1,4,0.0,0,-20,14,34,48,False,0
0,0,0,0,0.0,199,82,0,0,0.0,0.0,2020-11-22T16:30:00Z,0,1,0,0,0,0,9,0,617,0,0,0.0,0,-15,36,51,48,True,0
0,0,0,0,0.0,199,93,0,0,0.0,0.0,2020-11-28T17:30:00Z,0,7,0,0,0,0,10,0,602,1,0,0.0,0,-16,16,32,48,False,0
0,0,0,0,0.0,199,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,5,0,0,0,0,11,0,642,1,3,0.0,0,30,63,33,48,False,0
0,0,0,0,0.0,199,113,0,0,0.0,0.0,2020-12-11T20:00:00Z,0,19,0,0,0,0,12,0,597,2,1,0.0,0,-43,28,71,48,True,0
0,0,0,0,0.0,199,122,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,14,0,0,0,0,13,0,579,2,5,0.0,0,-15,11,26,48,True,0
0,0,0,0,0.0,199,134,0,0,0.0,0.0,2020-12-20T16:30:00Z,0,13,0,0,0,0,14,0,580,2,6,0.0,0,-3,8,11,48,False,0
0,0,0,0,0.0,199,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,4,0,0,0,0,15,0,582,0,1,0.0,0,0,13,13,48,True,0
0,0,0,0,0.0,199,158,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,18,0,0,0,0,16,0,582,5,0,0.0,0,-2,8,10,48,False,0
0,0,0,0,0.0,199,167,0,0,0.0,0.0,2021-01-02T12:30:00Z,0,17,0,0,0,0,17,0,581,0,3,0.0,0,-3,7,10,48,False,0
0,0,0,0,0.0,199,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,3,0,0,0,0,19,0,569,1,0,0.0,0,-4,6,10,48,True,0
0,0,0,0,0.0,199,196,0,0,0.0,0.0,2021-01-26T18:00:00Z,0,14,0,0,0,0,20,0,580,2,1,0.0,0,8,23,15,48,False,0
0,0,0,0,0.0,199,204,0,0,0.0,0.0,2021-01-31T14:00:00Z,0,9,0,0,0,0,21,0,576,3,1,0.0,0,-4,11,15,48,False,0
0,0,0,0,0.0,199,212,0,0,0.0,0.0,2021-02-03T19:30:00Z,0,7,0,0,0,0,22,0,569,2,1,0.0,0,-7,5,12,48,True,0
0,0,0,0,0.0,199,222,0,0,0.0,0.0,2021-02-08T20:00:00Z,0,6,0,0,0,0,23,0,574,0,2,0.0,0,5,18,13,48,True,0
0,0,0,0,0.0,199,229,0,0,0.0,0.0,2021-02-14T16:30:00Z,0,1,0,0,0,0,24,0,580,2,4,0.0,0,3,19,16,48,False,0
0,0,0,0,0.0,199,248,0,0,0.0,0.0,2021-02-19T20:00:00Z,0,20,0,0,0,0,25,0,587,0,1,0.0,0,7,20,13,48,False,0
0,0,0,0,0.0,199,172,0,0,0.0,0.0,2021-02-23T18:00:00Z,0,16,0,0,0,0,25,0,587,0,3,0.0,0,7,20,13,48,True,0
0,0,0,0,0.0,199,252,0,0,0.0,0.0,2021-02-27T17:30:00Z,0,2,0,0,0,0,26,0,630,1,0,0.0,0,36,72,36,48,True,0
0,0,0,0,0.0,199,268,0,0,0.0,0.0,2021-03-08T20:00:00Z,0,19,0,0,0,0,27,0,617,0,2,0.0,0,-13,37,50,48,False,0
0,0,0,0,0.0,199,273,0,0,0.0,0.0,2021-03-13T12:30:00Z,0,5,0,0,0,0,28,0,676,0,0,0.0,0,52,99,47,48,True,0
0,0,0,0,0.0,199,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,8,0,0,0,0,29,0,627,2,1,0.0,0,-47,28,75,48,False,0
0,0,0,0,0.0,199,293,0,0,0.0,0.0,2021-04-03T14:00:00Z,0,15,0,0,0,0,30,0,638,1,2,0.0,0,7,30,23,48,True,0
