assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,159,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,10789,1,0,0.0,0,0,0,0,60,False,0
0,0,2,0,6.0,159,12,0,0,0.9,0.0,2020-09-19T11:30:00Z,19,18,0,0,0,0,2,0,11246,2,5,4.0,1,-2245,641,2886,60,True,0
0,0,2,0,0.3,159,21,0,0,0.2,2.0,2020-09-26T14:00:00Z,4,6,0,0,0,0,3,0,10421,2,1,0.0,1,-1782,500,2282,59,False,0
1,0,15,0,13.6,159,32,2,0,4.5,27.2,2020-10-03T14:00:00Z,65,3,0,0,0,0,4,0,10403,2,4,4.0,5,-750,608,1358,59,True,0
0,0,3,0,1.6,159,41,0,0,0.2,0.0,2020-10-17T11:30:00Z,12,11,0,0,0,0,5,0,11514,2,2,0.0,1,31,1328,1297,59,True,0
0,0,6,0,1.2,159,56,2,0,3.0,4.4,2020-10-25T14:00:00Z,45,16,0,0,0,0,6,0,12424,0,2,24.0,1,344,1532,1188,59,False,0
1,0,13,0,13.8,159,65,1,0,1.6,2.2,2020-11-01T14:00:00Z,14,14,0,0,0,0,7,0,12488,1,2,0.0,4,-314,899,1213,59,False,0
0,0,4,0,16.5,159,73,1,0,2.6,7.0,2020-11-07T12:30:00Z,23,13,0,0,0,0,8,0,12468,3,1,2.0,1,-365,659,1024,59,True,0
0,0,19,0,3.5,159,81,2,0,2.5,19.8,2020-11-22T12:00:00Z,90,8,0,0,0,0,9,0,12423,3,2,2.0,2,-436,648,1084,59,False,0
0,0,10,1,11.3,159,93,0,0,3.1,15.4,2020-11-28T17:30:00Z,66,10,0,0,0,0,10,0,13780,1,0,4.0,3,921,1672,751,59,True,0
0,0,18,0,31.6,159,101,1,0,7.7,19.6,2020-12-05T12:30:00Z,90,4,0,0,0,0,11,0,13955,1,1,26.0,2,-55,1014,1069,59,False,0
0,0,11,1,5.1,159,111,0,0,2.4,11.0,2020-12-12T20:00:00Z,85,5,0,0,0,0,12,0,13939,0,1,8.0,3,-208,866,1074,59,True,0
1,0,21,1,36.1,159,123,0,0,8.5,28.4,2020-12-16T18:00:00Z,90,9,0,0,0,0,13,0,14823,2,0,20.0,6,636,1306,670,59,False,0
0,0,11,0,15.8,159,133,1,0,3.9,5.4,2020-12-19T17:30:00Z,82,1,0,0,0,0,14,0,19905,1,2,18.0,2,4574,5502,928,59,True,0
0,0,14,1,10.9,159,146,0,0,4.1,17.0,2020-12-26T20:00:00Z,90,15,0,0,0,0,15,0,22780,1,0,13.0,3,2202,4950,2748,59,False,0
