assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,8,0,0,0,0,1,0,196064,3,0,48.0,7,0,0,0,85,False,0
0,1,29,0,5.7,6,9,1,1,7.0,33.0,2020-09-19T19:00:00Z,76,19,0,0,0,0,2,0,342387,1,2,31.0,7,59951,93434,33483,85,True,0
0,1,22,0,11.4,6,23,2,1,10.7,40.4,2020-09-28T19:00:00Z,73,11,0,0,0,0,3,0,340935,1,3,55.0,7,-21852,47809,69661,85,False,0
0,0,0,0,0.0,6,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,15,0,0,0,0,4,0,395242,1,2,0.0,0,29347,65917,36570,85,True,0
0,0,2,0,0.0,6,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,21,12,0,0,0,0,5,0,339461,0,1,0.0,1,-58733,24370,83103,85,False,0
0,0,-3,0,21.4,6,49,1,0,7.0,2.4,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,0,290288,1,0,46.0,1,-55111,7838,62949,85,True,1
0,0,9,1,22.0,6,64,0,0,3.6,12.0,2020-11-01T16:30:00Z,75,13,0,0,0,0,7,0,256783,1,0,2.0,2,-38142,3406,41548,84,False,0
0,0,0,0,0.6,6,69,1,0,0.1,0.0,2020-11-08T19:15:00Z,64,2,0,0,0,0,8,0,254990,3,0,4.0,2,-5819,16777,22596,84,True,0
0,0,0,0,0.0,6,82,0,0,0.0,0.0,2020-11-22T16:30:00Z,0,10,0,0,0,0,9,0,237159,0,0,0.0,0,-19270,6786,26056,84,False,0
0,0,3,0,0.3,6,89,0,0,0.2,0.0,2020-11-29T19:15:00Z,9,20,0,0,0,0,10,0,218478,2,1,2.0,1,-19886,1759,21645,83,True,0
0,0,5,0,15.1,6,106,2,0,8.3,12.8,2020-12-06T16:30:00Z,90,17,0,0,0,0,11,0,207878,0,2,55.0,1,-12057,4397,16454,83,False,1
0,0,1,0,22.1,6,109,0,0,5.3,7.6,2020-12-13T19:15:00Z,59,4,0,0,0,0,12,0,206347,1,0,23.0,1,-3653,7466,11119,83,True,0
0,0,0,0,0.0,6,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,199418,1,1,0.0,0,-7281,2375,9656,83,True,0
0,0,6,0,10.3,6,133,0,0,2.6,3.2,2020-12-19T17:30:00Z,14,7,0,0,0,0,14,0,191024,1,2,12.0,1,-8941,978,9919,82,False,0
0,2,28,0,4.9,6,139,1,1,8.3,37.8,2020-12-26T17:30:00Z,90,5,0,0,0,0,15,0,184930,1,3,40.0,8,-7144,1896,9040,82,True,0
