assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,177,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,12640,3,0,0.0,0,0,0,0,55,True,0
0,0,0,0,0.0,177,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,10177,3,4,0.0,0,-3198,215,3413,54,False,0
0,0,0,0,0.0,177,22,0,0,0.0,0.0,2020-09-28T16:45:00Z,0,2,0,0,0,0,3,0,7794,3,0,0.0,0,-2618,321,2939,53,True,0
0,0,0,0,0.0,177,38,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,20,0,0,0,0,4,0,6705,0,1,0.0,0,-1241,216,1457,53,False,0
0,0,0,0,0.0,177,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,15,0,0,0,0,5,0,5529,1,1,0.0,0,-1291,149,1440,52,False,0
0,0,0,0,0.0,177,53,0,0,0.0,0.0,2020-10-24T14:00:00Z,0,6,0,0,0,0,6,0,4225,2,1,0.0,0,-1328,14,1342,52,True,0
0,0,0,0,0.0,177,61,0,0,0.0,0.0,2020-11-02T17:30:00Z,0,18,0,0,0,0,7,0,3638,0,2,0.0,0,-631,13,644,51,True,0
0,0,0,0,0.0,177,78,0,0,0.0,0.0,2020-11-07T20:00:00Z,0,19,0,0,0,0,8,0,3290,0,1,0.0,0,-356,6,362,51,False,0
0,0,0,0,0.0,177,81,0,0,0.0,0.0,2020-11-22T12:00:00Z,0,7,0,0,0,0,9,0,3018,3,2,0.0,0,-270,17,287,51,True,0
0,0,0,0,0.0,177,94,0,0,0.0,0.0,2020-11-30T17:30:00Z,0,9,0,0,0,0,10,0,2923,2,1,0.0,0,-108,2,110,51,False,0
0,0,0,0,0.0,177,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,12,0,0,0,0,11,0,2813,0,2,0.0,0,-114,6,120,51,False,0
0,0,0,0,0.0,177,112,0,0,0.0,0.0,2020-12-13T16:30:00Z,0,11,0,0,0,0,12,0,2792,1,1,0.0,0,-23,44,67,51,True,0
0,0,0,0,0.0,177,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,3,0,0,0,0,13,0,2727,0,0,0.0,0,-63,1,64,51,True,0
0,0,0,0,0.0,177,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,14,0,0,0,0,14,0,2688,1,1,0.0,0,-41,2,43,51,False,0
0,0,0,0,0.0,177,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,16,0,0,0,0,15,0,2628,0,0,0.0,0,-62,4,66,51,True,0
