assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,530,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,7,0,0,0,0,2,0,2348,2,5,0.0,0,1337,1991,654,45,False,0
0,0,0,0,0.0,530,27,0,0,0.0,0.0,2020-09-26T16:30:00Z,0,5,0,0,0,0,3,0,4075,3,3,0.0,0,931,1790,859,45,True,0
0,0,0,0,0.0,530,37,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,16,0,0,0,0,4,0,5006,0,2,0.0,0,232,967,735,45,False,0
0,0,25,1,0.1,530,48,0,0,7.9,21.6,2020-10-19T16:30:00Z,90,4,0,0,0,0,5,0,5709,0,0,57.0,6,100,989,889,45,True,0
0,0,12,0,0.4,530,51,1,0,1.4,13.6,2020-10-26T17:30:00Z,90,3,0,0,0,0,6,0,8585,1,1,0.0,2,2243,2870,627,45,False,0
0,0,14,0,10.4,530,61,2,0,3.6,25.8,2020-11-02T17:30:00Z,90,8,0,0,0,0,7,0,11861,0,2,0.0,1,2831,3572,741,45,False,0
0,0,0,0,0.0,530,77,0,0,0.0,0.0,2020-11-08T12:00:00Z,0,17,0,0,0,0,8,0,11165,1,0,0.0,0,-695,819,1514,45,True,0
0,0,7,0,0.2,530,84,1,0,1.0,5.8,2020-11-21T20:00:00Z,78,13,0,0,0,0,9,0,9719,0,1,4.0,2,-1506,270,1776,45,False,0
0,0,16,1,0.0,530,97,0,0,0.0,0.0,2020-11-28T20:00:00Z,90,15,0,0,0,0,10,0,10874,0,1,0.0,5,598,1161,563,45,True,1
0,0,12,0,0.1,530,107,5,0,1.2,12.2,2020-12-06T12:00:00Z,90,6,0,0,0,0,11,0,12075,5,1,0.0,0,853,1533,680,45,True,0
0,0,12,0,0.5,530,116,2,0,1.1,10.4,2020-12-12T15:00:00Z,90,14,0,0,0,0,12,0,11126,1,2,0.0,0,-748,486,1234,45,False,1
0,0,0,0,0.0,530,128,0,0,0.0,0.0,2020-12-15T20:00:00Z,0,12,0,0,0,0,13,0,10552,1,1,0.0,0,-678,434,1112,45,False,0
0,0,4,0,0.1,530,138,2,0,0.3,3.2,2020-12-20T19:15:00Z,12,2,0,0,0,0,14,0,10179,3,0,0.0,0,-506,391,897,45,True,0
0,0,3,0,0.0,530,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,1,11,0,0,0,0,15,0,9556,1,1,0.0,1,-819,360,1179,45,False,0
