assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,552,24,0,0,0.0,0.0,2020-09-27T15:30:00Z,0,9,0,0,0,0,3,0,0,5,2,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,552,33,0,0,0.0,0.0,2020-10-03T16:30:00Z,0,10,0,0,0,0,4,0,416,1,1,0.0,0,201,270,69,45,False,0
0,0,0,0,0.0,552,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,1,0,0,0,0,5,0,642,0,1,0.0,0,56,190,134,45,True,0
0,0,0,0,0.0,552,57,0,0,0.0,0.0,2020-10-24T11:30:00Z,0,19,0,0,0,0,6,0,792,1,1,0.0,0,38,153,115,45,False,0
0,0,0,0,0.0,552,66,0,0,0.0,0.0,2020-10-31T12:30:00Z,0,15,0,0,0,0,7,0,855,1,0,0.0,0,-9,82,91,45,False,0
0,0,0,0,0.0,552,75,0,0,0.0,0.0,2020-11-08T16:30:00Z,0,11,0,0,0,0,8,0,888,1,1,0.0,0,-27,64,91,45,True,0
0,0,0,0,0.0,552,87,0,0,0.0,0.0,2020-11-21T17:30:00Z,0,17,0,0,0,0,9,0,974,0,2,0.0,0,-1,97,98,45,False,0
0,0,0,0,0.0,552,95,0,0,0.0,0.0,2020-11-28T15:00:00Z,0,4,0,0,0,0,10,0,1003,0,5,0.0,0,-29,58,87,45,True,0
0,0,0,0,0.0,552,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,987,0,2,0.0,0,-39,40,79,45,True,0
0,0,0,0,0.0,552,115,0,0,0.0,0.0,2020-12-12T17:30:00Z,0,13,0,0,0,0,12,0,999,0,0,0.0,0,-19,40,59,45,False,0
0,0,0,0,0.0,552,128,0,0,0.0,0.0,2020-12-15T20:00:00Z,0,18,0,0,0,0,13,0,1012,1,1,0.0,0,-16,30,46,45,True,0
0,0,0,0,0.0,552,136,0,0,0.0,0.0,2020-12-19T15:00:00Z,0,16,0,0,0,0,14,0,1038,1,0,0.0,0,2,33,31,45,False,0
0,0,0,0,0.0,552,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,14,0,0,0,0,15,0,1050,0,2,0.0,0,-23,43,66,45,True,0
