assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0,4.6,261,3,2,0,3.5,6.6,2020-09-12T16:30:00Z,57,10,0,0,0,0,1,0,66891,3,4,24.0,1,0,0,0,55,True,0
0,0,14,1,3.8,261,11,0,0,1.4,7.8,2020-09-20T15:30:00Z,63,5,0,0,0,0,2,0,58956,2,0,2.0,3,-13741,3538,17279,55,False,0
0,0,11,0,14.3,261,23,1,0,3.9,2.8,2020-09-28T19:00:00Z,78,1,0,0,0,0,3,0,46684,1,3,22.0,2,-13990,3822,17812,54,True,0
0,0,6,0,3.1,261,30,4,0,4.8,0.4,2020-10-04T18:15:00Z,45,2,0,0,0,0,4,0,45659,2,7,44.0,1,-2724,5332,8056,54,False,0
0,0,0,0,0.0,261,41,0,0,0.0,0.0,2020-10-17T11:30:00Z,0,7,0,0,0,0,5,0,31784,2,2,0.0,0,-14036,1144,15180,54,False,0
0,0,0,0,0.0,261,54,0,0,0.0,0.0,2020-10-24T19:00:00Z,0,15,0,0,0,0,6,0,24629,1,2,0.0,0,-7675,109,7784,53,True,0
0,0,0,0,0.0,261,63,0,0,0.0,0.0,2020-10-31T17:30:00Z,0,19,0,0,0,0,7,0,21189,1,2,0.0,0,-3745,28,3773,53,True,0
0,0,0,0,0.0,261,75,0,0,0.0,0.0,2020-11-08T16:30:00Z,0,12,0,0,0,0,8,0,19163,1,1,0.0,0,-2133,148,2281,52,False,0
0,0,7,0,12.5,261,83,0,0,4.0,8.2,2020-11-22T19:15:00Z,52,9,0,0,0,0,9,0,18694,0,3,19.0,1,-773,594,1367,52,True,0
0,0,0,0,0.0,261,90,0,0,0.0,0.0,2020-11-28T12:30:00Z,0,3,0,0,0,0,10,0,17536,1,1,0.0,0,-1196,179,1375,52,False,0
0,0,2,0,0.1,261,103,0,0,0.0,0.2,2020-12-06T19:15:00Z,9,20,0,0,0,0,11,0,16404,0,4,0.0,1,-1141,47,1188,52,True,0
0,0,0,0,0.0,261,112,0,0,0.0,0.0,2020-12-13T16:30:00Z,0,8,0,0,0,0,12,0,16291,1,1,0.0,0,-257,267,524,52,False,0
0,0,0,0,0.0,261,127,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,17,0,0,0,0,13,0,15955,1,2,0.0,0,-369,89,458,52,True,0
0,0,18,1,16.1,261,132,0,0,3.4,18.2,2020-12-19T12:30:00Z,90,6,0,0,0,0,14,0,15910,7,0,0.0,3,-93,266,359,52,False,0
0,0,0,0,0.0,261,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,18,0,0,0,0,15,0,16432,1,1,0.0,0,351,800,449,52,True,0
