assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,23,1,0.0,455,8,0,0,1.1,11.2,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,1,375930,2,0,0.0,6,0,0,0,55,False,0
0,0,21,0,0.0,455,18,3,0,3.8,38.0,2020-09-21T19:15:00Z,90,12,0,0,0,0,2,6,399744,3,1,0.0,3,-16218,16639,32857,55,True,0
0,0,17,0,0.0,455,28,4,0,3.3,33.4,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,4,483271,0,4,0.0,1,48947,95211,46264,55,False,0
0,0,24,1,0.0,455,38,0,0,1.8,18.2,2020-10-04T13:00:00Z,90,8,0,0,0,0,4,2,489036,0,1,0.0,6,1128,34729,33601,55,True,0
0,0,25,1,0.0,455,42,0,0,1.8,18.4,2020-10-19T19:00:00Z,90,10,0,0,0,0,5,2,540479,1,0,0.0,6,35780,67249,31469,55,False,0
0,0,11,0,0.0,455,58,1,0,0.5,5.4,2020-10-25T16:30:00Z,90,14,0,0,0,0,6,1,562140,1,1,0.0,2,14961,35590,20629,55,True,0
0,0,24,1,0.0,455,68,0,0,0.9,9.0,2020-10-30T20:00:00Z,90,6,0,0,0,0,7,2,550897,0,2,0.0,6,-12752,11124,23876,55,True,0
0,3,26,0,0.0,455,74,1,0,3.4,34.0,2020-11-08T14:00:00Z,90,9,0,0,1,0,8,2,551569,0,1,0.0,10,-2877,17675,20552,55,False,0
0,0,9,0,0.0,455,88,1,0,1.0,10.2,2020-11-23T20:00:00Z,90,16,0,0,0,0,9,1,566846,1,1,0.0,2,6454,21069,14615,55,True,0
0,0,8,0,0.0,455,89,1,0,0.9,8.8,2020-11-29T19:15:00Z,90,1,0,0,0,0,10,1,553302,2,1,0.0,2,-11692,7176,18868,55,False,0
0,0,14,0,0.0,455,103,4,0,2.2,22.0,2020-12-06T19:15:00Z,90,11,0,0,0,0,11,3,527305,0,4,0.0,1,-24594,5892,30486,55,False,0
0,0,8,0,0.0,455,118,1,0,1.0,10.4,2020-12-12T12:30:00Z,90,2,0,0,0,0,12,1,519807,1,0,0.0,2,-14379,5569,19948,55,True,0
0,0,12,0,0.0,455,126,1,0,1.1,11.0,2020-12-15T18:00:00Z,90,5,0,0,0,0,13,2,495722,1,2,0.0,2,-24455,1958,26413,55,True,0
0,0,12,0,0.0,455,130,2,0,1.7,17.2,2020-12-21T17:30:00Z,90,4,0,0,0,0,14,2,490704,1,2,0.0,1,-8159,7487,15646,55,False,0
0,0,12,0,0.0,455,148,1,0,1.8,17.6,2020-12-27T19:15:00Z,90,17,0,0,0,0,15,2,455376,1,1,0.0,2,-33638,921,34559,55,True,0
