assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0,10.3,466,8,0,0,1.6,5.6,2020-09-14T17:00:00Z,14,15,0,0,0,0,1,0,158296,2,0,0.0,1,0,0,0,55,False,0
0,0,15,0,11.6,466,18,3,0,5.1,13.0,2020-09-21T19:15:00Z,90,12,0,0,0,0,2,0,156296,3,1,26.0,2,-19607,6268,25875,55,True,0
0,0,18,0,7.0,466,28,4,0,4.4,21.0,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,0,147330,0,4,16.0,2,-15438,7587,23025,55,False,0
0,0,7,1,2.7,466,38,0,0,2.0,8.2,2020-10-04T13:00:00Z,90,8,0,0,0,0,4,0,146123,0,1,9.0,2,-5498,9875,15373,54,True,1
0,0,4,0,0.0,466,42,0,0,3.1,4.6,2020-10-19T19:00:00Z,8,10,0,0,0,0,5,0,131894,1,0,26.0,1,-15641,3537,19178,54,False,0
0,0,11,1,25.8,466,58,0,0,4.0,12.2,2020-10-25T16:30:00Z,82,14,0,0,0,0,6,0,122290,1,1,2.0,3,-10961,1811,12772,54,True,0
0,0,19,1,44.4,466,68,0,0,8.3,19.8,2020-10-30T20:00:00Z,90,6,0,0,0,0,7,0,117251,0,2,19.0,3,-6456,2163,8619,53,True,0
0,0,15,0,13.8,466,74,1,0,4.9,18.8,2020-11-08T14:00:00Z,90,9,0,0,0,0,8,0,112339,0,1,16.0,1,-5451,2166,7617,53,False,1
0,0,11,0,11.8,466,88,1,0,2.3,11.2,2020-11-23T20:00:00Z,69,16,0,0,0,0,9,0,107256,1,1,0.0,1,-5731,2272,8003,53,True,1
0,0,5,0,0.3,466,89,0,0,1.2,11.4,2020-11-29T19:15:00Z,20,1,0,0,0,0,10,0,103930,2,1,0.0,1,-3873,1298,5171,53,False,0
