assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,14,0,45.5,251,3,3,0,13.4,13.2,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,807314,3,4,75.0,2,0,0,0,120,True,0
0,3,48,1,7.0,251,11,0,2,13.6,79.6,2020-09-20T15:30:00Z,90,5,0,0,0,0,2,0,585445,2,0,49.0,16,-256786,12313,269099,119,False,0
0,1,22,0,26.5,251,23,1,1,15.4,43.0,2020-09-28T19:00:00Z,79,1,0,0,0,0,3,0,704103,1,3,84.0,7,55243,122337,67094,119,True,1
0,0,0,0,0.0,251,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,2,0,0,0,0,4,0,557038,2,7,0.0,0,-160742,185786,346528,119,False,0
0,0,18,0,28.3,251,41,2,1,13.2,46.2,2020-10-17T11:30:00Z,90,7,0,0,0,0,5,0,463038,2,2,57.0,6,-103546,77042,180588,119,False,1
2,0,22,0,30.0,251,54,1,0,8.9,24.0,2020-10-24T19:00:00Z,90,15,0,0,0,0,6,0,651187,1,2,35.0,8,157162,180105,22943,120,True,0
0,0,10,0,29.5,251,63,1,0,7.3,16.6,2020-10-31T17:30:00Z,90,19,0,0,0,0,7,0,734819,1,2,27.0,2,78735,99064,20329,120,True,0
1,0,12,0,12.3,251,75,1,0,3.1,6.6,2020-11-08T16:30:00Z,90,12,0,0,0,0,8,0,693494,1,1,12.0,5,-38091,25243,63334,120,False,0
0,0,-2,1,13.1,251,83,0,0,11.6,10.8,2020-11-22T19:15:00Z,88,9,0,0,0,0,9,0,992835,0,3,92.0,3,261318,315799,54481,121,True,0
0,0,0,0,0.2,251,90,1,0,0.0,0.0,2020-11-28T12:30:00Z,26,3,0,0,0,0,10,0,920989,1,1,0.0,1,-50495,52876,103371,121,False,0
