assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,587,57,0,0,0.0,0.0,2020-10-24T11:30:00Z,0,12,0,0,0,0,6,0,8659,1,1,0.0,0,7630,8549,919,60,True,0
0,0,3,0,0.0,587,63,0,0,0.2,2.2,2020-10-31T17:30:00Z,1,11,0,0,0,0,7,0,11000,1,2,0.0,1,2175,3948,1773,60,False,0
1,0,10,0,11.5,587,78,0,0,8.1,17.4,2020-11-07T20:00:00Z,18,8,0,0,0,0,8,0,14209,0,1,52.0,4,2677,4790,2113,60,True,0
0,0,0,0,0.0,587,86,0,0,0.0,0.0,2020-11-22T14:00:00Z,0,15,0,0,0,0,9,0,18461,1,0,0.0,0,3491,5789,2298,60,False,0
1,0,14,0,10.4,587,98,0,0,4.9,18.8,2020-11-30T20:00:00Z,45,2,0,0,0,0,10,0,15458,1,2,20.0,4,-2835,1120,3955,60,True,0
0,0,3,0,11.3,587,108,1,0,2.7,4.8,2020-12-05T17:30:00Z,15,13,0,0,0,0,11,0,16296,3,1,11.0,1,139,2701,2562,60,True,0
0,0,5,0,14.9,587,113,1,0,3.7,0.6,2020-12-11T20:00:00Z,83,10,0,0,0,0,12,0,16996,2,1,21.0,2,221,2882,2661,60,False,0
0,0,4,0,2.9,587,125,1,0,1.6,6.6,2020-12-16T20:00:00Z,87,6,0,0,0,0,13,0,26825,1,1,6.0,2,9164,10743,1579,60,True,0
0,0,2,0,0.3,587,131,2,0,0.9,4.2,2020-12-21T20:00:00Z,23,5,0,0,0,0,14,0,25816,0,3,4.0,1,-1020,2843,3863,60,False,0
0,0,0,0,0.0,587,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,3,0,0,0,0,15,0,24763,2,2,0.0,0,-1512,2797,4309,60,True,0
0,0,0,0,1.3,587,156,0,0,3.8,3.0,2020-12-29T18:00:00Z,30,16,0,0,0,0,16,0,20833,0,0,34.0,1,-4097,722,4819,60,False,0
0,0,8,1,15.3,587,163,0,0,3.1,9.8,2021-01-01T17:30:00Z,90,7,0,0,0,0,17,0,17267,1,0,6.0,3,-3795,665,4460,60,False,0
0,0,9,1,6.1,587,187,0,0,2.4,8.6,2021-01-16T15:00:00Z,67,4,0,0,0,0,19,0,16599,0,1,9.0,3,1108,2749,1641,60,True,0
0,0,16,0,12.2,587,175,1,0,5.2,12.4,2021-01-19T18:00:00Z,61,18,0,0,0,0,19,0,16599,1,2,27.0,2,1108,2749,1641,60,True,0
0,0,13,0,34.0,587,195,1,0,8.6,13.8,2021-01-26T18:00:00Z,86,6,0,0,0,0,20,0,15406,3,2,38.0,2,-1249,1267,2516,60,False,0
0,0,11,0,29.3,587,208,3,0,5.1,10.0,2021-01-31T16:30:00Z,90,11,0,0,0,0,21,0,14207,3,1,12.0,2,-1353,781,2134,60,True,0
1,0,19,0,40.5,587,209,1,0,7.8,24.6,2021-02-03T20:15:00Z,87,2,0,0,0,0,22,0,14442,3,1,13.0,5,46,1201,1155,60,False,0
0,0,5,0,11.3,587,221,0,0,1.8,4.6,2021-02-06T17:30:00Z,55,8,0,0,0,0,23,0,19342,0,0,2.0,1,4353,5358,1005,60,False,0
1,0,13,0,10.3,587,238,0,0,3.3,18.2,2021-02-15T18:00:00Z,8,15,0,0,0,0,24,0,17573,0,3,4.0,4,-1923,1541,3464,60,True,0
0,0,2,0,1.0,587,247,0,0,0.4,3.4,2021-02-21T12:00:00Z,25,17,0,0,0,0,25,0,16319,1,2,0.0,1,-1574,756,2330,60,True,0
0,0,3,0,0.3,587,254,0,0,0.1,0.2,2021-02-27T12:30:00Z,6,12,0,0,0,0,26,0,14382,1,2,0.0,1,-2096,574,2670,60,False,0
0,0,7,1,11.3,587,268,0,0,3.1,6.2,2021-03-08T20:00:00Z,72,10,0,0,0,0,27,0,14430,0,2,13.0,3,-232,812,1044,60,True,0
0,0,3,0,2.5,587,275,0,0,1.4,3.8,2021-03-14T19:15:00Z,28,13,0,0,0,0,28,0,15063,0,1,8.0,1,437,1347,910,60,False,0
0,0,14,0,26.8,587,288,2,0,4.8,15.6,2021-03-21T15:00:00Z,78,1,0,0,0,0,29,0,17569,3,3,6.0,2,1449,2169,720,60,True,0
0,0,0,0,0.3,587,298,0,0,0.1,0.4,2021-04-05T19:15:00Z,12,20,0,0,0,0,30,0,15584,3,2,0.0,1,-1158,350,1508,60,False,0
