assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,1.3,405,4,0,0,0.5,3.8,2020-09-13T15:30:00Z,14,7,0,0,0,0,1,0,12879,1,0,0.0,1,0,0,0,60,True,0
0,0,2,0,1.5,405,17,1,0,0.4,2.2,2020-09-20T11:00:00Z,45,16,0,0,0,0,2,0,14674,5,2,0.0,0,-1682,1261,2943,60,False,1
0,0,3,0,5.1,405,26,1,0,1.1,2.0,2020-09-27T13:00:00Z,13,14,0,0,0,0,3,0,15690,1,1,4.0,1,-1369,2510,3879,60,True,0
0,0,30,0,14.1,405,35,1,1,10.2,44.4,2020-10-04T15:30:00Z,68,13,0,0,0,0,4,0,16143,6,1,43.0,7,-927,1746,2673,59,False,0
0,0,12,1,3.3,405,47,0,0,1.5,9.6,2020-10-18T15:30:00Z,72,19,0,0,0,0,5,0,22838,3,3,2.0,3,3588,6220,2632,59,True,0
0,0,15,1,19.3,405,52,0,0,4.8,11.0,2020-10-26T20:00:00Z,78,4,0,0,0,0,6,0,24417,1,0,18.0,3,627,3360,2733,59,False,0
0,0,0,0,5.0,405,67,1,0,1.1,0.2,2020-11-01T19:15:00Z,63,3,0,0,0,0,7,0,26761,1,2,6.0,1,1263,3669,2406,59,True,1
0,0,11,1,43.2,405,77,0,0,5.3,7.8,2020-11-08T12:00:00Z,63,18,0,0,0,0,8,0,26222,1,0,2.0,3,-1003,2238,3241,59,False,0
1,0,23,1,14.0,405,87,0,0,4.0,22.2,2020-11-21T17:30:00Z,64,12,0,0,0,0,9,0,21913,0,2,4.0,6,-4391,475,4866,59,True,0
0,0,11,1,1.0,405,91,0,0,1.9,16.0,2020-11-29T16:30:00Z,64,5,0,0,0,0,10,0,27397,0,0,2.0,3,4265,5517,1252,59,False,0
0,0,0,0,0.0,405,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,1,0,0,0,0,11,0,32472,0,2,0.0,0,3863,6265,2402,59,True,0
0,0,6,1,15.3,405,110,0,0,6.6,14.2,2020-12-13T14:15:00Z,66,6,0,0,0,0,12,0,30203,1,1,36.0,3,-2277,2409,4686,59,False,0
0,0,0,0,0.0,405,127,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,11,0,0,0,0,13,0,31400,1,2,0.0,0,725,2583,1858,59,False,0
0,0,4,0,1.7,405,137,1,0,0.9,3.0,2020-12-20T14:15:00Z,45,9,0,0,0,0,14,0,30704,2,0,4.0,1,-957,1574,2531,59,True,0
0,3,28,1,25.9,405,148,0,1,7.8,45.2,2020-12-27T19:15:00Z,69,20,0,0,0,0,15,0,30010,1,1,7.0,11,-1292,1605,2897,59,False,0
0,0,7,1,2.3,405,167,0,0,4.8,12.8,2021-01-02T12:30:00Z,77,10,0,0,0,0,17,0,38852,0,3,33.0,3,1660,4601,2941,59,True,0
0,0,20,0,28.8,405,157,1,0,5.0,18.2,2021-01-13T20:15:00Z,80,8,0,0,0,0,18,0,49784,1,1,3.0,2,3689,9356,5667,59,True,0
0,2,34,0,8.2,405,186,1,1,8.6,53.0,2021-01-17T14:00:00Z,90,15,0,0,0,0,19,0,39910,3,1,25.0,9,-3349,1950,5299,59,False,0
0,0,15,0,7.4,405,198,3,0,1.9,9.4,2021-01-28T20:00:00Z,90,11,0,0,0,0,20,0,53636,3,1,2.0,2,9491,14655,5164,59,True,0
0,0,15,0,4.3,405,200,1,0,2.0,15.2,2021-01-31T19:15:00Z,73,3,0,0,0,0,21,0,55670,0,1,0.0,2,1559,6258,4699,59,False,0
0,0,9,0,1.4,405,218,1,0,0.6,2.6,2021-02-04T20:00:00Z,68,5,0,0,0,0,22,0,48532,1,0,2.0,2,-7204,1434,8638,59,True,0
0,0,13,1,7.3,405,227,0,0,2.3,8.0,2021-02-07T12:00:00Z,90,18,0,0,0,0,23,0,46289,0,2,8.0,3,-2905,2422,5327,59,True,0
0,0,6,0,0.9,405,235,2,0,4.2,6.0,2021-02-13T17:30:00Z,63,12,0,0,0,0,24,0,43503,0,3,35.0,2,-3327,1788,5115,59,False,0
0,0,15,0,3.8,405,247,2,0,1.7,10.8,2021-02-21T12:00:00Z,90,19,0,0,0,0,25,0,41980,1,2,2.0,2,-2194,1148,3342,59,False,0
0,0,21,1,13.9,405,257,0,0,3.4,19.8,2021-02-28T14:00:00Z,90,4,0,0,0,0,26,0,45715,0,4,0.0,3,2842,5698,2856,59,True,0
0,0,10,1,2.2,405,321,0,0,1.0,7.6,2021-03-04T18:00:00Z,74,8,0,0,0,0,26,0,45715,1,0,0.0,3,2842,5698,2856,59,False,0
0,0,0,0,0.0,405,266,0,0,0.0,0.0,2021-03-07T19:15:00Z,0,6,0,0,0,0,27,0,45448,1,4,0.0,0,-535,2366,2901,59,True,0
0,0,5,0,0.8,405,269,1,0,0.9,8.4,2021-03-14T16:30:00Z,61,1,0,0,0,0,28,0,43280,1,2,0.0,2,-2443,1234,3677,59,False,0
0,0,19,1,2.5,405,170,0,0,1.8,12.4,2021-03-21T19:30:00Z,80,2,0,0,0,0,29,0,53226,2,0,3.0,3,5480,7048,1568,59,False,0
1,2,29,0,18.7,405,296,2,0,5.5,30.0,2021-04-04T13:05:00Z,90,14,0,0,0,0,30,0,46437,2,2,6.0,7,-2964,898,3862,59,False,0
