pens_made,sca,carries,pens_att,blocks,dayofweek,gca,comp,assists,progressive_passes,touches,xg,position,date,pressures,shots_on_target,passes_completed,game_started,squad,shots_total,dribbles,xa,npxg,passes_pct,cards_yellow,passes,match_report,minutes,dribbles_completed,result,cards_red,bench_explain,progressive_carries,tackles,venue,goals,round,opponent,interceptions
,,,,,Mon,,Premier League,,,,,,2021-08-23,,,,N,Leicester City,,,,,,,,,,,L 1–4,,"On matchday squad, but did not play",,,Away,,Matchweek 2,West Ham,
0,0,28,0,0,Sat,0,Premier League,0,1,58,0.0,RB,2021-08-28,17,0,43,N,Leicester City,0,0,0.0,0.0,86.0,0,50,,80,0,W 2–1,0,,4,4,Away,0,Matchweek 3,Norwich City,0
,,,,,Thu,,WCQ,,,,,,2021-09-02,,,,N,Belgium,,,,,,,,,,,W 5–2,,"On matchday squad, but did not play",,,Away,,First round,Estonia,
0,,,0,,Sun,,WCQ,0,,,,RM,2021-09-05,,0,,Y,Belgium,0,,,,,0,,,90,,W 3–0,0,,,,Home,0,First round,Czech Republic,2
0,,,0,,Wed,,WCQ,0,,,,LM,2021-09-08,,0,,Y,Belgium,1,,,,,0,,,90,,W 1–0,0,,,,Away,0,First round,Belarus,1
0,2,22,0,1,Sat,0,Premier League,0,2,37,0.0,RB,2021-09-11,20,0,26,Y,Leicester City,0,0,0.0,0.0,86.7,0,30,,90,0,L 0–1,0,,0,2,Home,0,Matchweek 4,Manchester City,0
0,1,33,0,4,Thu,0,Europa Lg,0,1,62,0.0,RB,2021-09-16,14,0,44,Y,Leicester City,0,0,0.1,0.0,84.6,0,52,,90,0,D 2–2,0,,6,2,Home,0,Group stage,Napoli,0
0,0,24,0,0,Sun,0,Premier League,0,4,33,0.0,LB,2021-09-19,3,0,28,N,Leicester City,0,1,0.0,0.0,87.5,0,32,,23,1,L 1–2,0,,4,1,Away,0,Matchweek 5,Brighton,0
,,,,,Wed,,EFL Cup,,,,,,2021-09-22,,,,N,Leicester City,,,,,,,,,,,W 2–0,,"On matchday squad, but did not play",,,Away,,Third round,Millwall,
0,2,30,0,1,Sat,0,Premier League,0,1,43,0.0,RB,2021-09-25,8,0,31,N,Leicester City,0,1,0.1,0.0,88.6,0,35,,45,1,D 2–2,0,,1,2,Home,0,Matchweek 6,Burnley,0
0,3,52,0,0,Thu,0,Europa Lg,0,1,73,0.0,"WB,RB",2021-09-30,8,0,57,Y,Leicester City,0,2,0.0,0.0,83.8,0,68,,90,0,L 0–1,0,,3,2,Away,0,Group stage,Legia Warsaw,1
0,0,23,0,4,Sun,0,Premier League,0,1,62,0.0,RB,2021-10-03,32,0,31,Y,Leicester City,0,2,0.0,0.0,70.5,0,44,,90,2,D 2–2,0,,4,5,Away,0,Matchweek 7,Crystal Palace,5
0,,,0,,Thu,,UEFA Nations League,0,,,,RM,2021-10-07,,0,,Y,Belgium,0,,,,,0,,,89,,L 2–3,0,,,,Neutral,0,Semi-finals,France,0
0,,,0,,Sun,,UEFA Nations League,0,,,,RM,2021-10-10,,0,,Y,Belgium,0,,,,,0,,,90,,L 1–2,0,,,,Neutral,0,Third-place match,Italy,0
0,3,38,0,1,Sat,1,Premier League,0,7,58,0.1,WB,2021-10-16,17,0,42,Y,Leicester City,1,3,0.0,0.1,82.4,0,51,,90,3,W 4–2,0,,5,1,Home,0,Matchweek 8,Manchester Utd,2
,,,,,Wed,,Europa Lg,,,,,,2021-10-20,,,,N,Leicester City,,,,,,,,,,,W 4–3,,"On matchday squad, but did not play",,,Away,,Group stage,Spartak Moscow,
0,0,23,0,4,Sun,0,Premier League,0,1,42,0.0,WB,2021-10-24,9,0,26,Y,Leicester City,0,1,0.0,0.0,81.3,0,32,,90,1,W 2–1,0,,0,2,Away,0,Matchweek 9,Brentford,2
,,,,,Wed,,EFL Cup,,,,,,2021-10-27,,,,N,Leicester City,,,,,,,,,,,D 2 ,,"On matchday squad, but did not play",,,Home,,Fourth round,Brighton,
0,2,61,0,1,Sat,0,Premier League,0,7,83,0.0,"RB,WB",2021-10-30,6,0,65,Y,Leicester City,0,1,0.1,0.0,86.7,0,75,,90,0,L 0–2,0,,2,1,Home,0,Matchweek 10,Arsenal,0
0,2,99,0,1,Thu,0,Europa Lg,0,8,121,0.0,WB,2021-11-04,10,0,96,Y,Leicester City,0,2,0.1,0.0,83.5,0,115,,90,2,D 1–1,0,,12,1,Home,0,Group stage,Spartak Moscow,0
0,0,27,0,2,Sun,0,Premier League,0,2,59,0.0,"LB,WB",2021-11-07,15,0,27,Y,Leicester City,0,1,0.0,0.0,71.1,0,38,,90,1,D 1–1,0,,2,4,Away,0,Matchweek 11,Leeds United,7
0,,,0,,Sat,,WCQ,0,,,,CB,2021-11-13,,0,,Y,Belgium,0,,,,,0,,,90,,W 3–1,0,,,,Home,0,First round,Estonia,1
0,,,0,,Tue,,WCQ,0,,,,CB,2021-11-16,,0,,Y,Belgium,0,,,,,0,,,58,,D 1–1,0,,,,Away,0,First round,Wales,0
0,0,25,0,5,Sat,0,Premier League,0,0,63,0.0,WB,2021-11-20,21,0,36,Y,Leicester City,0,3,0.0,0.0,80.0,0,45,,90,2,L 0–3,0,,3,6,Home,0,Matchweek 12,Chelsea,2
0,0,39,0,1,Thu,0,Europa Lg,0,3,63,0.0,RB,2021-11-25,15,0,48,Y,Leicester City,0,0,0.0,0.0,92.3,0,52,,90,0,W 3–1,0,,4,4,Home,0,Group stage,Legia Warsaw,3
0,1,24,0,4,Sun,0,Premier League,0,4,71,0.0,RB,2021-11-28,17,0,36,Y,Leicester City,0,0,0.1,0.0,62.1,0,58,,90,0,W 4–2,0,,2,3,Home,0,Matchweek 13,Watford,0
0,0,28,0,1,Wed,0,Premier League,0,2,61,0.0,RB,2021-12-01,9,0,35,Y,Leicester City,0,0,0.0,0.0,68.6,0,51,,90,0,D 2–2,0,,3,1,Away,0,Matchweek 14,Southampton,1
0,3,50,0,3,Sun,0,Premier League,0,5,78,0.0,RB,2021-12-05,14,0,58,Y,Leicester City,0,0,0.0,0.0,84.1,0,69,,90,0,L 1–2,0,,11,1,Away,0,Matchweek 15,Aston Villa,1
0,2,37,0,3,Thu,0,Europa Lg,0,3,65,0.3,RB,2021-12-09,9,0,48,Y,Leicester City,1,0,0.2,0.3,84.2,0,57,,90,0,L 2–3,0,,2,2,Away,0,Group stage,Napoli,0
0,0,25,0,2,Sun,0,Premier League,0,2,49,0.0,RB,2021-12-12,10,0,31,Y,Leicester City,0,0,0.0,0.0,83.8,1,37,,90,0,W 4–0,0,,2,2,Home,0,Matchweek 16,Newcastle Utd,1
0,0,14,0,0,Sun,0,Premier League,0,0,22,0.0,CB,2021-12-26,3,0,16,N,Leicester City,0,0,0.0,0.0,88.9,0,18,,45,0,L 3–6,0,,0,0,Away,0,Matchweek 19,Manchester City,1
